term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
LegalMeasure,class,https://w3id.org/dpv/2.0#LegalMeasure,Legal Measure,Legal measures used to safeguard and ensure good practices in connection with data and technologies,,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,,2023-12-10,2023-12-10,dpv,https://w3id.org/dpv/2.0
OrganisationalMeasure,class,https://w3id.org/dpv/2.0#OrganisationalMeasure,Organisational Measure,Organisational measures used to safeguard and ensure good practices in connection with data and technologies,,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,,2019-04-05,2023-12-10,dpv,https://w3id.org/dpv/2.0
PhysicalMeasure,class,https://w3id.org/dpv/2.0#PhysicalMeasure,Physical Measure,Physical measures used to safeguard and ensure good practices in connection with data and technologies,,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,,2023-12-10,2023-12-10,dpv,https://w3id.org/dpv/2.0
TechnicalMeasure,class,https://w3id.org/dpv/2.0#TechnicalMeasure,Technical Measure,Technical measures used to safeguard and ensure good practices in connection with data and technologies,,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,,2019-04-05,2023-12-10,dpv,https://w3id.org/dpv/2.0
TechnicalOrganisationalMeasure,class,https://w3id.org/dpv/2.0#TechnicalOrganisationalMeasure,Technical and Organisational Measure,Technical and Organisational measures used to safeguard and ensure good practices in connection with data and technologies,,,,,2019-04-05,2023-12-10,dpv,https://w3id.org/dpv/2.0
hasAssessment,property,https://w3id.org/dpv/2.0#hasAssessment,has assessment,Indicates a relevant assessment associated with the specific context,,,https://w3id.org/dpv/2.0#hasOrganisationalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
hasEntityControl,property,https://w3id.org/dpv/2.0#hasEntityControl,has entity control,Indicates a control or measure provided for an entity to perform the specified action,,,https://w3id.org/dpv/2.0#hasTechnicalOrganisationalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
hasLegalMeasure,property,https://w3id.org/dpv/2.0#hasLegalMeasure,has legal measure,Indicates use or applicability of Legal measure,,,https://w3id.org/dpv/2.0#hasOrganisationalMeasure,,2023-12-10,,dpv,https://w3id.org/dpv/2.0
hasNotice,property,https://w3id.org/dpv/2.0#hasNotice,has notice,Indicates the use or applicability of a Notice for the specified context,,,https://w3id.org/dpv/2.0#hasOrganisationalMeasure,,2022-06-22,,dpv,https://w3id.org/dpv/2.0
hasOrganisationalMeasure,property,https://w3id.org/dpv/2.0#hasOrganisationalMeasure,has organisational measure,Indicates use or applicability of Organisational measure,,,https://w3id.org/dpv/2.0#hasTechnicalOrganisationalMeasure,,2022-02-09,,dpv,https://w3id.org/dpv/2.0
hasPhysicalMeasure,property,https://w3id.org/dpv/2.0#hasPhysicalMeasure,has physical measure,Indicates use or applicability of Physical measure,,,https://w3id.org/dpv/2.0#hasTechnicalOrganisationalMeasure,,2023-12-10,,dpv,https://w3id.org/dpv/2.0
hasPolicy,property,https://w3id.org/dpv/2.0#hasPolicy,has policy,Indicates policy applicable or used,,,https://w3id.org/dpv/2.0#hasTechnicalOrganisationalMeasure,,2022-01-26,,dpv,https://w3id.org/dpv/2.0
hasRecordOfActivity,property,https://w3id.org/dpv/2.0#hasRecordOfActivity,has record of activity,Indicates a relevant record of activity,,,https://w3id.org/dpv/2.0#hasOrganisationalMeasure,,2024-05-05,,dpv,https://w3id.org/dpv/2.0
hasTechnicalMeasure,property,https://w3id.org/dpv/2.0#hasTechnicalMeasure,has technical measure,Indicates use or applicability of Technical measure,,,https://w3id.org/dpv/2.0#hasTechnicalOrganisationalMeasure,,2022-02-09,,dpv,https://w3id.org/dpv/2.0
hasTechnicalOrganisationalMeasure,property,https://w3id.org/dpv/2.0#hasTechnicalOrganisationalMeasure,has technical and organisational measure,Indicates use or applicability of Technical or Organisational measure,,,,,2019-04-04,2020-11-04,dpv,https://w3id.org/dpv/2.0
isPolicyFor,property,https://w3id.org/dpv/2.0#isPolicyFor,is policy for,Indicates the context or application of policy,,,,,2022-01-26,,dpv,https://w3id.org/dpv/2.0
supportsComplianceWith,property,https://w3id.org/dpv/2.0#supportsComplianceWith,supports Compliance With,Indicate the measure is required for meeting specified requirement or satisfying specified condition/constraint,,,,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
