term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
Consent,class,https://w3id.org/dpv/2.0#Consent,Consent,Consent of the Data Subject for specified process or activity,https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#LegalBasis,,2021-04-07,,dpv,https://w3id.org/dpv/2.0
Contract,class,https://w3id.org/dpv/2.0#Contract,Contract,"Creation, completion, fulfilment, or performance of a contract involving specified processing of data or technologies",https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#LegalAgreement,,2021-04-07,,dpv,https://w3id.org/dpv/2.0
ContractPerformance,class,https://w3id.org/dpv/2.0#ContractPerformance,Contract Performance,Fulfilment or performance of a contract involving specified processing of data or technologies,https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#Contract,,2021-04-07,,dpv,https://w3id.org/dpv/2.0
DataControllerContract,class,https://w3id.org/dpv/2.0#DataControllerContract,Data Controller Contract,"Creation, completion, fulfilment, or performance of a contract, with Data Controllers as parties being Joint Data Controllers, and involving specified processing of data or technologies",https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#Contract,,2023-12-10,,dpv,https://w3id.org/dpv/2.0
DataProcessorContract,class,https://w3id.org/dpv/2.0#DataProcessorContract,Data Processor Contract,"Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Data Processor as parties, and involving specified processing of data or technologies",https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#Contract,,2023-12-10,,dpv,https://w3id.org/dpv/2.0
DataSubjectContract,class,https://w3id.org/dpv/2.0#DataSubjectContract,Data Subject Contract,"Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Data Subject as parties, and involving specified processing of data or technologies",https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#Contract,,2023-12-10,,dpv,https://w3id.org/dpv/2.0
DataTransferLegalBasis,class,https://w3id.org/dpv/2.0#DataTransferLegalBasis,Data Transfer Legal Basis,Specific or special categories and instances of legal basis intended for justifying data transfers,https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#LegalBasis,,2021-09-08,,dpv,https://w3id.org/dpv/2.0
EnterIntoContract,class,https://w3id.org/dpv/2.0#EnterIntoContract,Enter Into Contract,Processing necessary to enter into contract,https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#Contract,,2021-04-07,,dpv,https://w3id.org/dpv/2.0
LegalBasis,class,https://w3id.org/dpv/2.0#LegalBasis,Legal Basis,Legal basis used to justify processing of data or use of technology in accordance with a law,,,,"Legal basis (plural: legal bases) are defined by legislations and regulations, whose applicability is usually restricted to specific jurisdictions which can be represented using dpv:hasJurisdiction or dpv:hasLaw. Legal basis can be used without such declarations, e.g. 'Consent', however their interpretation will require association with a law, e.g. 'EU GDPR'.;Legal basis (plural: legal bases) are defined by legislations and regulations, whose applicability is usually restricted to specific jurisdictions which can be represented using dpv:hasJurisdiction or dpv:hasLaw. Legal basis can be used without such declarations, e.g. 'Consent', however their interpretation will require association with a law, e.g. 'EU GDPR'.",2019-04-05,2020-11-04,dpv,https://w3id.org/dpv/2.0
LegalObligation,class,https://w3id.org/dpv/2.0#LegalObligation,Legal Obligation,Legal Obligation to conduct the specified activities,https://w3id.org/dpv/2.0#LegalBasis,,https://w3id.org/dpv/2.0#LegalBasis,,2021-04-07,,dpv,https://w3id.org/dpv/2.0
