term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
AILiteracy,class,https://w3id.org/dpv#AILiteracy,AI Literacy,"Providing skills, knowledge, and understanding to enable reading, writing, analysing, reasoning, and communicating regarding AI",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#DigitalLiteracy,,2024-05-17,,dpv,https://w3id.org/dpv
Assessment,class,https://w3id.org/dpv#Assessment,Assessment,"The document, plan, or process for assessment or determination towards a purpose e.g. assessment of legality or impact assessments",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#OrganisationalMeasure,,2021-09-08,,dpv,https://w3id.org/dpv
AssetManagementProcedures,class,https://w3id.org/dpv#AssetManagementProcedures,Asset Management Procedures,Procedures related to management of assets,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#GovernanceProcedures,,2022-08-17,,dpv,https://w3id.org/dpv
AuthorisationProcedure,class,https://w3id.org/dpv#AuthorisationProcedure,Authorisation Procedure,Procedures for determining authorisation through permission or authority,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#SecurityProcedure,"non-technical authorisation procedures: How is it described on an organisational level, who gets access to the data",2019-04-05,,dpv,https://w3id.org/dpv
BackgroundChecks,class,https://w3id.org/dpv#BackgroundChecks,Background Checks,Procedure where the background of an entity is assessed to identity vulnerabilities and threats due to their current or intended role,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#SecurityProcedure,,2022-08-17,,dpv,https://w3id.org/dpv
Certification,class,https://w3id.org/dpv#Certification,Certification,"Certification mechanisms, seals, and marks for the purpose of demonstrating compliance",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#CertificationSeal,,2019-04-05,,dpv,https://w3id.org/dpv
CertificationSeal,class,https://w3id.org/dpv#CertificationSeal,Certification and Seal,"Certifications, seals, and marks indicating compliance to regulations or practices",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#OrganisationalMeasure,,2019-04-05,,dpv,https://w3id.org/dpv
CodeOfConduct,class,https://w3id.org/dpv#CodeOfConduct,Code of Conduct,A set of rules or procedures outlining the norms and practices for conducting activities,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#GuidelinesPrinciple,,2019-04-05,,dpv,https://w3id.org/dpv
ComplianceAssessment,class,https://w3id.org/dpv#ComplianceAssessment,Compliance Assessment,"Assessment regarding compliance (e.g. internal policy, regulations)",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Assessment,,2024-04-14,,dpv,https://w3id.org/dpv
ComplianceMonitoring,class,https://w3id.org/dpv#ComplianceMonitoring,Compliance Monitoring,"Monitoring of compliance (e.g. internal policy, regulations)",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#GovernanceProcedures,,2022-08-17,,dpv,https://w3id.org/dpv
ConformanceAssessment,class,https://w3id.org/dpv#ConformanceAssessment,Conformance Assessment,Assessment regarding conformance with standards or norms or guidelines or similar instruments,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Assessment,,2024-04-14,,dpv,https://w3id.org/dpv
ConsentManagement,class,https://w3id.org/dpv#ConsentManagement,Consent Management,"Methods to obtain, provide, modify, and withdraw consent along with maintaining a record of consent, retrieving records, and processing changes in consent states",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#PermissionManagement,,2024-04-14,,dpv,https://w3id.org/dpv
