term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
EnvironmentalProtection,class,https://w3id.org/dpv/2.0#EnvironmentalProtection,Environmental Protection,"Physical protection against environmental threats such as fire, floods, storms, etc.",https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalAccessControlMethod,class,https://w3id.org/dpv/2.0#PhysicalAccessControlMethod,Physical Access Control Method,Access control applied for physical access e.g. premises or equipment,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#AccessControlMethod,,2022-06-15,,dpv,https://w3id.org/dpv/2.0
PhysicalAuthentication,class,https://w3id.org/dpv/2.0#PhysicalAuthentication,Physical Authentication,Physical implementation of authentication e.g. by matching the person to their ID card,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalAuthorisation,class,https://w3id.org/dpv/2.0#PhysicalAuthorisation,Physical Authorisation,Physical implementation of authorisation e.g. by stamping a visitor pass,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalDeviceSecurity,class,https://w3id.org/dpv/2.0#PhysicalDeviceSecurity,Physical Device Security,Physical protection for devices and equipment,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalInterceptionProtection,class,https://w3id.org/dpv/2.0#PhysicalInterceptionProtection,Physical Interception Protection,Physical protection against interception e.g. by posting a guard,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalInterruptionProtection,class,https://w3id.org/dpv/2.0#PhysicalInterruptionProtection,Physical Interruption Protection,Physical protection against interruptions e.g. electrical supply interruption,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalNetworkSecurity,class,https://w3id.org/dpv/2.0#PhysicalNetworkSecurity,Physical Network Security,Physical protection for networks and networking related infrastructure e.g. by isolating networking equipments,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalSecureStorage,class,https://w3id.org/dpv/2.0#PhysicalSecureStorage,Physical Secure Storage,Physical protection for storage of information or equipment e.g. secure storage for files,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalSupplySecurity,class,https://w3id.org/dpv/2.0#PhysicalSupplySecurity,Physical Supply Security,Physically securing the supply of resources,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
PhysicalSurveillance,class,https://w3id.org/dpv/2.0#PhysicalSurveillance,Physical Surveillance,Physically monitoring areas via surveillance,https://w3id.org/dpv/2.0#PhysicalMeasure,,https://w3id.org/dpv/2.0#PhysicalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv/2.0
