term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
DataSubjectScale,class,https://w3id.org/dpv#DataSubjectScale,Data Subject Scale,Scale of Data Subject(s),,https://w3id.org/dpv#Scale,https://w3id.org/dpv#Scale,,2022-06-15,,dpv,https://w3id.org/dpv
DataVolume,class,https://w3id.org/dpv#DataVolume,Data Volume,Volume or Scale of Data,,https://w3id.org/dpv#Scale,https://w3id.org/dpv#Scale,,2022-06-15,,dpv,https://w3id.org/dpv
GeographicCoverage,class,https://w3id.org/dpv#GeographicCoverage,Geographic Coverage,Indicate of scale in terms of geographic coverage,,https://w3id.org/dpv#Scale,https://w3id.org/dpv#Scale,,2022-06-15,,dpv,https://w3id.org/dpv
GlobalScale,class,https://w3id.org/dpv#GlobalScale,Global Scale,Geographic coverage spanning the entire globe,https://w3id.org/dpv#GeographicCoverage,,https://w3id.org/dpv#GeographicCoverage,,2022-06-15,,dpv,https://w3id.org/dpv
HugeDataVolume,class,https://w3id.org/dpv#HugeDataVolume,Huge Data Volume,Data volume that is considered huge or more than large within the context,https://w3id.org/dpv#DataVolume,,https://w3id.org/dpv#DataVolume,,2022-06-15,,dpv,https://w3id.org/dpv
HugeScaleOfDataSubjects,class,https://w3id.org/dpv#HugeScaleOfDataSubjects,Huge Scale Of Data Subjects,Scale of data subjects considered huge or more than large within the context,https://w3id.org/dpv#DataSubjectScale,,https://w3id.org/dpv#DataSubjectScale,,2022-06-15,,dpv,https://w3id.org/dpv
LargeDataVolume,class,https://w3id.org/dpv#LargeDataVolume,Large Data Volume,Data volume that is considered large within the context,https://w3id.org/dpv#DataVolume,,https://w3id.org/dpv#DataVolume,,2022-06-15,,dpv,https://w3id.org/dpv
LargeScaleOfDataSubjects,class,https://w3id.org/dpv#LargeScaleOfDataSubjects,Large Scale Of Data Subjects,Scale of data subjects considered large within the context,https://w3id.org/dpv#DataSubjectScale,,https://w3id.org/dpv#DataSubjectScale,,2022-06-15,,dpv,https://w3id.org/dpv
LargeScaleProcessing,class,https://w3id.org/dpv#LargeScaleProcessing,Large Scale Processing,Processing that takes place at large scales (as specified by some criteria),https://w3id.org/dpv#ProcessingScale,,https://w3id.org/dpv#ProcessingScale,"The exact definition of what constitutes ""large scale"" depends on use of jurisdictional, domain-specific, or other forms of externally defined criterias. Where possible, this should be reflected by extending this term with the appropriate context.",2020-11-04,2022-09-07,dpv,https://w3id.org/dpv
LocalEnvironmentScale,class,https://w3id.org/dpv#LocalEnvironmentScale,Local Environment Scale,Geographic coverage spanning a specific environment within the locality,https://w3id.org/dpv#GeographicCoverage,,https://w3id.org/dpv#GeographicCoverage,"For example, geographic scale of an event take place in a specific building or room",2022-06-15,,dpv,https://w3id.org/dpv
LocalityScale,class,https://w3id.org/dpv#LocalityScale,Locality Scale,Geographic coverage spanning a specific locality,https://w3id.org/dpv#GeographicCoverage,,https://w3id.org/dpv#GeographicCoverage,"For example, geographic scale of a city or an area within a city",2022-06-15,,dpv,https://w3id.org/dpv
MediumDataVolume,class,https://w3id.org/dpv#MediumDataVolume,Medium Data Volume,Data volume that is considered medium i.e. neither large nor small within the context,https://w3id.org/dpv#DataVolume,,https://w3id.org/dpv#DataVolume,,2022-06-15,,dpv,https://w3id.org/dpv
