term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
ActiveRight,class,https://w3id.org/dpv/2.0#ActiveRight,Active Right,"The right(s) applicable, provided, or expected that need to be (actively) exercised",https://w3id.org/dpv/2.0#Right,,https://w3id.org/dpv/2.0#Right,"Active rights require the entity to expressly exercise them. For example, a Data Subject exercising their right to withdraw their consent.;Active rights require the entity to expressly exercise them. For example, a Data Subject exercising their right to withdraw their consent.;Active rights require the entity to expressly exercise them. For example, a Data Subject exercising their right to withdraw their consent.",2022-10-22,,dpv,https://w3id.org/dpv/2.0
DataSubjectRight,class,https://w3id.org/dpv/2.0#DataSubjectRight,Data Subject Right,The rights applicable or provided to a Data Subject,https://w3id.org/dpv/2.0#Right,,https://w3id.org/dpv/2.0#Right,"Based on use of definitions, the notion of 'Data Subject Right' can be equivalent to 'Individual Right' or 'Right of a Person';Based on use of definitions, the notion of 'Data Subject Right' can be equivalent to 'Individual Right' or 'Right of a Person';Based on use of definitions, the notion of 'Data Subject Right' can be equivalent to 'Individual Right' or 'Right of a Person'",2020-11-18,,dpv,https://w3id.org/dpv/2.0
PassiveRight,class,https://w3id.org/dpv/2.0#PassiveRight,Passive Right,"The right(s) applicable, provided, or expected that are always (passively) applicable",https://w3id.org/dpv/2.0#Right,,https://w3id.org/dpv/2.0#Right,"Passive rights do not require the entity to request or exercise them. They are considered to be always applicable. For example, the Right to Privacy (in EU) does not require an exercise for it to be fulfilled.;Passive rights do not require the entity to request or exercise them. They are considered to be always applicable. For example, the Right to Privacy (in EU) does not require an exercise for it to be fulfilled.;Passive rights do not require the entity to request or exercise them. They are considered to be always applicable. For example, the Right to Privacy (in EU) does not require an exercise for it to be fulfilled.",2022-10-22,,dpv,https://w3id.org/dpv/2.0
Right,class,https://w3id.org/dpv/2.0#Right,Right,"The right(s) applicable, provided, or expected",,,,"A 'right' is a legal, social, or ethical principle of freedom or entitlement which dictate the norms regarding what is allowed or owed. Rights as a concept encompass a broad area of norms and entities, and are not specific to Individuals or Data Protection / Privacy. For individual specific rights, see dpv:DataSubjectRight;A 'right' is a legal, social, or ethical principle of freedom or entitlement which dictate the norms regarding what is allowed or owed. Rights as a concept encompass a broad area of norms and entities, and are not specific to Individuals or Data Protection / Privacy. For individual specific rights, see dpv:DataSubjectRight",2020-11-18,,dpv,https://w3id.org/dpv/2.0
RightExerciseActivity,class,https://w3id.org/dpv/2.0#RightExerciseActivity,Right Exercise Activity,An activity representing an exercising of an active right,https://w3id.org/dpv/2.0#OrganisationalMeasure,,https://w3id.org/dpv/2.0#OrganisationalMeasure,There may be multiple activities associated with exercising and fulfilling rights. See the RightExerciseRecord concept for record-keeping of such activities in a cohesive manner.;There may be multiple activities associated with exercising and fulfilling rights. See the RightExerciseRecord concept for record-keeping of such activities in a cohesive manner.;There may be multiple activities associated with exercising and fulfilling rights. See the RightExerciseRecord concept for record-keeping of such activities in a cohesive manner.,2022-11-02,,dpv,https://w3id.org/dpv/2.0
RightExerciseNotice,class,https://w3id.org/dpv/2.0#RightExerciseNotice,Right Exercise Notice,"Information associated with exercising of an active right such as where and how to exercise the right, information required for it, or updates on an exercised rights request",https://w3id.org/dpv/2.0#OrganisationalMeasure,,https://w3id.org/dpv/2.0#RightNotice,"This concept is intended for providing information regarding a right exercise. For specific instances of such exercises, see RightExerciseActivity and RightExerciseRecord.;This concept is intended for providing information regarding a right exercise. For specific instances of such exercises, see RightExerciseActivity and RightExerciseRecord.;This concept is intended for providing information regarding a right exercise. For specific instances of such exercises, see RightExerciseActivity and RightExerciseRecord.",2022-10-22,,dpv,https://w3id.org/dpv/2.0
RightExerciseRecord,class,https://w3id.org/dpv/2.0#RightExerciseRecord,Right Exercise Record,Record of a Right being exercised,https://w3id.org/dpv/2.0#OrganisationalMeasure,,https://w3id.org/dpv/2.0#Record,"This concept represents a record of one or more right exercise activities, such as those associated with a single data subject or service or entity;This concept represents a record of one or more right exercise activities, such as those associated with a single data subject or service or entity;This concept represents a record of one or more right exercise activities, such as those associated with a single data subject or service or entity",2022-11-02,,dpv,https://w3id.org/dpv/2.0
RightFulfilmentNotice,class,https://w3id.org/dpv/2.0#RightFulfilmentNotice,Right Fulfilment Notice,Notice provided regarding fulfilment of a right,https://w3id.org/dpv/2.0#OrganisationalMeasure,,https://w3id.org/dpv/2.0#RightExerciseNotice,"This notice is associated with situations where information is provided with the intention of progressing the fulfilment of a right. For example, a notice asking for more information regarding the scope of the right, or providing information on where to access the data provided under a right.;This notice is associated with situations where information is provided with the intention of progressing the fulfilment of a right. For example, a notice asking for more information regarding the scope of the right, or providing information on where to access the data provided under a right.;This notice is associated with situations where information is provided with the intention of progressing the fulfilment of a right. For example, a notice asking for more information regarding the scope of the right, or providing information on where to access the data provided under a right.",2022-11-02,,dpv,https://w3id.org/dpv/2.0
RightNonFulfilmentNotice,class,https://w3id.org/dpv/2.0#RightNonFulfilmentNotice,Right Non-Fulfilment Notice,Notice provided regarding non-fulfilment of a right,https://w3id.org/dpv/2.0#OrganisationalMeasure,,https://w3id.org/dpv/2.0#RightExerciseNotice,"This notice is associated with situations where information is provided with the intention of communicating non-fulfilment of a right. For example, to provide justifications on why a right could not be fulfilled or providing information about another entity  who should be approached for exercising this right.;This notice is associated with situations where information is provided with the intention of communicating non-fulfilment of a right. For example, to provide justifications on why a right could not be fulfilled or providing information about another entity  who should be approached for exercising this right.;This notice is associated with situations where information is provided with the intention of communicating non-fulfilment of a right. For example, to provide justifications on why a right could not be fulfilled or providing information about another entity  who should be approached for exercising this right.",2022-11-02,,dpv,https://w3id.org/dpv/2.0
RightNotice,class,https://w3id.org/dpv/2.0#RightNotice,Right Notice,"Information associated with rights, such as which rights exist, when and where they are applicable, and other relevant information",https://w3id.org/dpv/2.0#OrganisationalMeasure,,https://w3id.org/dpv/2.0#Notice,"This concept also covers information about rights exercise, with dpv:RightExerciseNotice specifically representing information provided in connection with exercising of rights. Both notices may be needed, e.g. RightNotice for providing information about existence and exercise of rights, and RightExerciseNotice for providing additional information specifically about exercise of rights - such as to request more information or provide updates on an exercised rights request;This concept also covers information about rights exercise, with dpv:RightExerciseNotice specifically representing information provided in connection with exercising of rights. Both notices may be needed, e.g. RightNotice for providing information about existence and exercise of rights, and RightExerciseNotice for providing additional information specifically about exercise of rights - such as to request more information or provide updates on an exercised rights request;This concept also covers information about rights exercise, with dpv:RightExerciseNotice specifically representing information provided in connection with exercising of rights. Both notices may be needed, e.g. RightNotice for providing information about existence and exercise of rights, and RightExerciseNotice for providing additional information specifically about exercise of rights - such as to request more information or provide updates on an exercised rights request",2024-06-16,,dpv,https://w3id.org/dpv/2.0
