term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
Consequence,class,https://w3id.org/dpv#Consequence,Consequence,The consequence(s) possible or arising from specified context,,,,,2022-01-26,,dpv,https://w3id.org/dpv
ConsequenceAsSideEffect,class,https://w3id.org/dpv#ConsequenceAsSideEffect,Consequence as Side-Effect,The consequence(s) possible or arising as a side-effect of specified context,,https://w3id.org/dpv#Consequence,https://w3id.org/dpv#Consequence,,2022-03-30,,dpv,https://w3id.org/dpv
ConsequenceOfFailure,class,https://w3id.org/dpv#ConsequenceOfFailure,Consequence of Failure,The consequence(s) possible or arising from failure of specified context,,https://w3id.org/dpv#Consequence,https://w3id.org/dpv#Consequence,,2022-03-23,,dpv,https://w3id.org/dpv
ConsequenceOfSuccess,class,https://w3id.org/dpv#ConsequenceOfSuccess,Consequence of Success,The consequence(s) possible or arising from success of specified context,,https://w3id.org/dpv#Consequence,https://w3id.org/dpv#Consequence,,2022-03-23,,dpv,https://w3id.org/dpv
CybersecurityAssessment,class,https://w3id.org/dpv#CybersecurityAssessment,Cybersecurity Assessment,Assessment of cybersecurity capabilities in terms of vulnerabilities and effectiveness of controls,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#SecurityAssessment,,2022-08-17,,dpv,https://w3id.org/dpv
DPIA,class,https://w3id.org/dpv#DPIA,Data Protection Impact Assessment (DPIA),Impact assessment determining the potential and actual impact of processing activities on individuals or groups of individuals and taking into account the impacts of activities on their rights and freedoms,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#RightsImpactAssessment,Specific requirements and procedures for DPIA are defined in GDPR Art.35,2020-11-04,2024-04-14,dpv,https://w3id.org/dpv
DataBreachImpactAssessment,class,https://w3id.org/dpv#DataBreachImpactAssessment,Data Breach Impact Assessment (DBIA),Impact Assessment concerning the consequences and impacts of a data breach,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#RightsImpactAssessment,Data Breach assessments can require additional non-security related assessments such as GDPR Art.34 Rights Impact Assessment,2024-04-15,,dpv,https://w3id.org/dpv
DataTransferImpactAssessment,class,https://w3id.org/dpv#DataTransferImpactAssessment,Data Transfer Impact Assessment,Impact Assessment for conducting data transfers,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#ImpactAssessment,,2021-09-08,,dpv,https://w3id.org/dpv
FRIA,class,https://w3id.org/dpv#FRIA,Fundamental Rights Impact Assessment (FRIA),Impact assessment which assesses the potential and actual impact on fundamental rights occuring due to processing activities,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#RightsImpactAssessment,"The fundamental rights and freedoms may be those defined in law or other norms, and may be bound to a jurisdiction - for example see EU Charter of Fundamental Rights",2024-04-14,,dpv,https://w3id.org/dpv
Impact,class,https://w3id.org/dpv#Impact,Impact,The impact(s) possible or arising as a consequence from specified context,,https://w3id.org/dpv#Consequence,https://w3id.org/dpv#Consequence,"Impact is a stronger notion of consequence in terms of influence, change, or effect on something e.g. for impact assessments",2022-03-23,,dpv,https://w3id.org/dpv
ImpactAssessment,class,https://w3id.org/dpv#ImpactAssessment,Impact Assessment,"Calculating or determining the likelihood of impact of an existing or proposed process, which can involve risks or detriments.",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#RiskAssessment,,2020-11-04,,dpv,https://w3id.org/dpv
