term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
ActivelyInvolved,class,https://w3id.org/dpv#ActivelyInvolved,Actively Involved,Status indicating the specified context is 'actively' involved,https://w3id.org/dpv#InvolvementStatus,,https://w3id.org/dpv#InvolvementStatus,An example of active involvement is a person directly using a system to enter information,2024-05-10,,dpv,https://w3id.org/dpv
ActivityCompleted,class,https://w3id.org/dpv#ActivityCompleted,Activity Completed,State of an activity that has completed i.e. is fully in the past,https://w3id.org/dpv#ActivityStatus,,https://w3id.org/dpv#ActivityStatus,,2022-05-18,,dpv,https://w3id.org/dpv
ActivityHalted,class,https://w3id.org/dpv#ActivityHalted,Activity Halted,"State of an activity that was occuring in the past, and has been halted or paused or stopped",https://w3id.org/dpv#ActivityStatus,,https://w3id.org/dpv#ActivityStatus,,2022-05-18,,dpv,https://w3id.org/dpv
ActivityNotCompleted,class,https://w3id.org/dpv#ActivityNotCompleted,Activity Not Completed,"State of an activity that could not be completed, but has reached some end state",https://w3id.org/dpv#ActivityStatus,,https://w3id.org/dpv#ActivityStatus,This relates to a 'Stop' state as distinct from a 'Halt' state. It makes no comments on whether the Activity can be resumed or continued towards completion.,2022-11-30,,dpv,https://w3id.org/dpv
ActivityOngoing,class,https://w3id.org/dpv#ActivityOngoing,Activity Ongoing,State of an activity occurring in continuation i.e. currently ongoing,https://w3id.org/dpv#ActivityStatus,,https://w3id.org/dpv#ActivityStatus,,2022-05-18,,dpv,https://w3id.org/dpv
ActivityPlanned,class,https://w3id.org/dpv#ActivityPlanned,Activity Planned,State of an activity being planned with concrete plans for implementation,https://w3id.org/dpv#ActivityStatus,,https://w3id.org/dpv#ActivityStatus,,2024-05-19,,dpv,https://w3id.org/dpv
ActivityProposed,class,https://w3id.org/dpv#ActivityProposed,Activity Proposed,State of an activity being proposed without any concrete plans for implementation,https://w3id.org/dpv#ActivityStatus,,https://w3id.org/dpv#ActivityStatus,,2022-05-18,2024-05-19,dpv,https://w3id.org/dpv
ActivityStatus,class,https://w3id.org/dpv#ActivityStatus,Activity Status,Status associated with activity operations and lifecycles,,https://w3id.org/dpv#Status,https://w3id.org/dpv#Status,,2022-05-18,,dpv,https://w3id.org/dpv
AuditApproved,class,https://w3id.org/dpv#AuditApproved,Audit Approved,State of being approved through the audit,https://w3id.org/dpv#AuditStatus,,https://w3id.org/dpv#AuditStatus,,2022-05-18,,dpv,https://w3id.org/dpv
AuditConditionallyApproved,class,https://w3id.org/dpv#AuditConditionallyApproved,Audit Conditionally Approved,State of being conditionally approved through the audit,https://w3id.org/dpv#AuditStatus,,https://w3id.org/dpv#AuditStatus,"A ""conditional approval"" is intended to reflect states where the audit has identified further changes which must be implemented before considering the audit has been 'passed', without requiring another audit to validate them. This is distinct from the case where an audit has state 'rejected', which means changes must be made and submitted for review. The requirements of a 'conditional acceptance' are expected to be minor or not significant enough to warrant another audit to review them.",2022-06-29,,dpv,https://w3id.org/dpv
