term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
AccessControlMethod,class,https://w3id.org/dpv/2.0#AccessControlMethod,Access Control Method,Methods which restrict access to a place or resource,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2019-04-05,,dpv,https://w3id.org/dpv/2.0
ActivityMonitoring,class,https://w3id.org/dpv/2.0#ActivityMonitoring,Activity Monitoring,Monitoring of activities including assessing whether they have been successfully initiated and completed,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
Anonymisation,class,https://w3id.org/dpv/2.0#Anonymisation,Anonymisation,"Anonymisation is the process by which data is irreversibly altered in such a way that a data subject can no longer be identified directly or indirectly, either by the entity holding the data alone or in collaboration with other entities and information sources",https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#Deidentification,,2019-04-05,2022-11-24,dpv,https://w3id.org/dpv/2.0
AsymmetricCryptography,class,https://w3id.org/dpv/2.0#AsymmetricCryptography,Asymmetric Cryptography,Use of public-key cryptography or asymmetric cryptography involving a public and private pair of keys,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#CryptographicMethods,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
AsymmetricEncryption,class,https://w3id.org/dpv/2.0#AsymmetricEncryption,Asymmetric Encryption,Use of asymmetric cryptography to encrypt data,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#Encryption,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
Authentication-ABC,class,https://w3id.org/dpv/2.0#Authentication-ABC,Authentication using ABC,Use of Attribute Based Credentials (ABC) to perform and manage authentication,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#CryptographicAuthentication,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
Authentication-PABC,class,https://w3id.org/dpv/2.0#Authentication-PABC,Authentication using PABC,Use of Privacy-enhancing Attribute Based Credentials (ABC) to perform and manage authentication,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#CryptographicAuthentication,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
AuthenticationProtocols,class,https://w3id.org/dpv/2.0#AuthenticationProtocols,Authentication Protocols,Protocols involving validation of identity i.e. authentication of a person or information,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2019-04-05,,dpv,https://w3id.org/dpv/2.0
AuthorisationProtocols,class,https://w3id.org/dpv/2.0#AuthorisationProtocols,Authorisation Protocols,"Protocols involving authorisation of roles or profiles to determine permission, rights, or privileges",https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
BiometricAuthentication,class,https://w3id.org/dpv/2.0#BiometricAuthentication,Biometric Authentication,Use of biometric data for authentication,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#AuthenticationProtocols,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
CryptographicAuthentication,class,https://w3id.org/dpv/2.0#CryptographicAuthentication,Cryptographic Authentication,Use of cryptography for authentication,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#AuthenticationProtocols;https://w3id.org/dpv/2.0#CryptographicMethods,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
CryptographicKeyManagement,class,https://w3id.org/dpv/2.0#CryptographicKeyManagement,Cryptographic Key Management,"Management of cryptographic keys, including their generation, storage, assessment, and safekeeping",https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#CryptographicMethods,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
CryptographicMethods,class,https://w3id.org/dpv/2.0#CryptographicMethods,Cryptographic Methods,Use of cryptographic methods to perform tasks,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
DataBackupProtocols,class,https://w3id.org/dpv/2.0#DataBackupProtocols,Data Backup Protocols,Protocols or plans for backing up of data,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2022-06-15,,dpv,https://w3id.org/dpv/2.0
DataRedaction,class,https://w3id.org/dpv/2.0#DataRedaction,Data Redaction,Removal of sensitive information from a data or document,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#DataSanitisationTechnique,,2020-10-01,,dpv,https://w3id.org/dpv/2.0
DataSanitisationTechnique,class,https://w3id.org/dpv/2.0#DataSanitisationTechnique,Data Sanitisation Technique,Cleaning or any removal or re-organisation of elements in data based on selective criteria,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
Deidentification,class,https://w3id.org/dpv/2.0#Deidentification,De-Identification,Removal of identity or information to reduce identifiability,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#DataSanitisationTechnique,,2019-04-05,2022-11-24,dpv,https://w3id.org/dpv/2.0
DeterministicPseudonymisation,class,https://w3id.org/dpv/2.0#DeterministicPseudonymisation,Deterministic Pseudonymisation,Pseudonymisation achieved through a deterministic function,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#Pseudonymisation,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
DifferentialPrivacy,class,https://w3id.org/dpv/2.0#DifferentialPrivacy,Differential Privacy,Utilisation of differential privacy where information is shared as patterns or groups to withhold individual elements,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#CryptographicMethods,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
DigitalRightsManagement,class,https://w3id.org/dpv/2.0#DigitalRightsManagement,Digital Rights Management,"Management of access, use, and other operations associated with digital content",https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
DigitalSignatures,class,https://w3id.org/dpv/2.0#DigitalSignatures,Digital Signatures,Expression and authentication of identity through digital information containing cryptographic signatures,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#CryptographicMethods,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
DistributedSystemSecurity,class,https://w3id.org/dpv/2.0#DistributedSystemSecurity,Distributed System Security,Security implementations provided using or over a distributed system,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#SecurityMethod,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
DocumentRandomisedPseudonymisation,class,https://w3id.org/dpv/2.0#DocumentRandomisedPseudonymisation,Document Randomised Pseudonymisation,Use of randomised pseudonymisation where the same elements are assigned different values in the same document or database,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#Pseudonymisation,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
DocumentSecurity,class,https://w3id.org/dpv/2.0#DocumentSecurity,Document Security,Security measures enacted over documents to protect against tampering or restrict access,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#SecurityMethod,,2022-08-17,,dpv,https://w3id.org/dpv/2.0
Encryption,class,https://w3id.org/dpv/2.0#Encryption,Encryption,Technical measures consisting of encryption,https://w3id.org/dpv/2.0#TechnicalMeasure,,https://w3id.org/dpv/2.0#TechnicalMeasure,,2019-04-05,,dpv,https://w3id.org/dpv/2.0
