term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
AIDeployer,class,https://w3id.org/dpv/legal/eu/aiact#AIDeployer,AI Deployer,"Any natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity",,https://w3id.org/dpv/tech#Deployer;https://w3id.org/dpv/legal/eu/aiact#AIOperator,https://w3id.org/dpv/tech#Deployer;https://w3id.org/dpv/legal/eu/aiact#AIOperator,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AIDistributor,class,https://w3id.org/dpv/legal/eu/aiact#AIDistributor,AI Distributor,"Any natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market",,https://w3id.org/dpv/tech#Distributor;https://w3id.org/dpv/legal/eu/aiact#AIOperator,https://w3id.org/dpv/tech#Distributor;https://w3id.org/dpv/legal/eu/aiact#AIOperator,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AIImporter,class,https://w3id.org/dpv/legal/eu/aiact#AIImporter,AI Importer,Any natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established outside the Union,,https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Importer,https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Importer,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AILiteracy,class,https://w3id.org/dpv/legal/eu/aiact#AILiteracy,AI Literacy,"Skills, knowledge and understanding that allows providers, users and affected persons, taking into account their respective rights and obligations in the context of this Regulation, to make an informed deployment of AI systems, as well as to gain awareness about the opportunities and risks of AI and possible harm it can cause.",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#AILiteracy,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AIOffice,class,https://w3id.org/dpv/legal/eu/aiact#AIOffice,Artificial Intelligence Office,"Commission’s function of contributing to the implementation, monitoring and supervision of AI systems and AI governance. References in this Regulation to the Artificial Intelligence office shall be understood as references to the Commission.",,https://w3id.org/dpv#Authority,https://w3id.org/dpv#Authority,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AIOperator,class,https://w3id.org/dpv/legal/eu/aiact#AIOperator,AI Operator,"The provider, the product manufacturer, the deployer, the authorised representative, the importer or the distributor;",,https://w3id.org/dpv/tech#Operator,https://w3id.org/dpv/tech#Operator,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AIProductManufacturer,class,https://w3id.org/dpv/legal/eu/aiact#AIProductManufacturer,AI Product Manufacturer,Entity that manufactures an AI Product,,https://w3id.org/dpv/tech#Manufacturer,https://w3id.org/dpv/tech#Manufacturer,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AIProvider,class,https://w3id.org/dpv/legal/eu/aiact#AIProvider,AI Provider,"Natural or legal person, public authority, agency or other body that develops an AI system or a general purpose AI model or that has an AI system or a general purpose AI model developed and places them on the market or puts the system into service under its own name or trademark, whether for payment or free of charge",,https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Provider,https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Provider,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AIRegulatorySandbox,class,https://w3id.org/dpv/legal/eu/aiact#AIRegulatorySandbox,AI Regulatory Sandbox,"A concrete and controlled framework set up by a competent authority which offers providers or prospective providers of AI systems the possibility to develop, train, validate and test, where appropriate in real world conditions, an innovative AI system, pursuant to a sandbox plan for a limited time under regulatory supervision.",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#RegulatorySandbox,,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
AISystem,class,https://w3id.org/dpv/legal/eu/aiact#AISystem,AI System,"A machine-based system designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments",,https://w3id.org/dpv/ai#AISystem,https://w3id.org/dpv/ai#AISystem,Note All references to the AI Act referred to the provisional agreement published in Feb 2024,2024-04-10,,eu-aiact,https://w3id.org/dpv/legal/eu/aiact
