term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
DISPEUApproval,class,https://w3id.org/dpv/legal/eu/dga#DISPEUApproval,EU Approval for Data Intermediation Service Provider,Confirmation and approval by a competent authority for the Data Intermediation Service Provider's compliance with Article 11 and Article 12 of the DGA,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#CertificationSeal,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
DISPNotice,class,https://w3id.org/dpv/legal/eu/dga#DISPNotice,Data Intermediation Service Notification,Notification by a Data Intermediation Service Provider to a competent authority concerning changes to details regarding its Data Intermediation Service,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
DataAltruismAnnualReport,class,https://w3id.org/dpv/legal/eu/dga#DataAltruismAnnualReport,Data Altruism Annual Activity Report,Document containing the annual activities reported by a Data Altruism organisation,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#RecordsOfActivities,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
DataAltruismNotice,class,https://w3id.org/dpv/legal/eu/dga#DataAltruismNotice,Data Altruism Notice,Notice providing information regarding the processing of data for data altruistic purposes,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
DataAltruismRecord,class,https://w3id.org/dpv/legal/eu/dga#DataAltruismRecord,Record of Data Altruism Activity,Document that logs the activity of the data altruism organisation,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#RecordsOfActivities,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
DataAssetList,class,https://w3id.org/dpv/legal/eu/dga#DataAssetList,Data Asset List,Searchable asset list which contains available data resources including their data format and size and the conditions for their re-use,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#OrganisationalMeasure,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
DataIntermediationRecord,class,https://w3id.org/dpv/legal/eu/dga#DataIntermediationRecord,Record of Data Intermediation Activity,Document that logs the activity of the data intermediation service provider,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#RecordsOfActivities,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
DataReuseRequest,class,https://w3id.org/dpv/legal/eu/dga#DataReuseRequest,Data Reuse Request,Procedure to handle requests and provide data for reuse via single information point,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#OrganisationalMeasure,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
EUDataAltruismConsentForm,class,https://w3id.org/dpv/legal/eu/dga#EUDataAltruismConsentForm,European Data Altruism Consent Form,A form provided by the European Commission for collecting consent,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#ConsentManagement,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
NationalDataAltruismPolicy,class,https://w3id.org/dpv/legal/eu/dga#NationalDataAltruismPolicy,National Data Altruism Policy,A Policy established at National level regarding Data Altruism,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Policy,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
PersonalDataReuseNotice,class,https://w3id.org/dpv/legal/eu/dga#PersonalDataReuseNotice,Personal Data Reuse Notice,"Notice for data subjects to provide consent based on information and advise regarding intended use of data, exercise of rights, and applicable terms and conditions",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#ConsentNotice,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
SecureProcessingEnvironment,class,https://w3id.org/dpv/legal/eu/dga#SecureProcessingEnvironment,Secure Processing Environment,Physical or virtual environment to ensure compliance with EU law and allow the entity providing the secure processing environment to determine and supervise all data processing actions,https://w3id.org/dpv#TechnicalMeasure,,https://w3id.org/dpv#SecureProcessingEnvironment,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
ThirdCountryDataRequestNotice,class,https://w3id.org/dpv/legal/eu/dga#ThirdCountryDataRequestNotice,Third Country Data Request Notice,Notice regarding a request of a third-country administrative authority to access data,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#DataTransferNotice,,2024-02-14,,eu-dga,https://w3id.org/dpv/legal/eu/dga
