term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
Actor,class,https://w3id.org/dpv/2.0/tech#Actor,Actor,"Actors and Entities involved in provision, use, and management of Technology",,https://w3id.org/dpv/2.0#Entity,https://w3id.org/dpv/2.0#Entity,,2022-06-15,,tech,https://w3id.org/dpv/2.0/tech
Capability,class,https://w3id.org/dpv/2.0/tech#Capability,Capability,Expression of what the technology is capable of achieving or providing,,,,"Examples of capabilities are image recognition, sentiment analysis, machine translation;Examples of capabilities are image recognition, sentiment analysis, machine translation",2024-05-09,,tech,https://w3id.org/dpv/2.0/tech
CommunicationMechanism,class,https://w3id.org/dpv/2.0/tech#CommunicationMechanism,Communication Mechanism,Communication mechanism used or provided by Technology,,https://w3id.org/dpv/2.0#Technology,https://w3id.org/dpv/2.0#Technology,,2022-06-15,,tech,https://w3id.org/dpv/2.0/tech
DeploymentLocation,class,https://w3id.org/dpv/2.0/tech#DeploymentLocation,Deployment Location,Location for where technology is deployed and used,,https://w3id.org/dpv/2.0#Location,https://w3id.org/dpv/2.0#Location,,2022-06-15,,tech,https://w3id.org/dpv/2.0/tech
Documentation,class,https://w3id.org/dpv/2.0/tech#Documentation,Documentation,"Information describing use, functionality, design, or other technical aspects of the Technology",,,,,2024-05-09,,tech,https://w3id.org/dpv/2.0/tech
Function,class,https://w3id.org/dpv/2.0/tech#Function,Function,Expression of what goals or purposes the technology's capabilities are being used towards or developed for,,,,"Function is a broad concept that can include purposes such as identify verification, capability such as image recognition, or specific security measures such as encryption;Function is a broad concept that can include purposes such as identify verification, capability such as image recognition, or specific security measures such as encryption",2024-05-09,,tech,https://w3id.org/dpv/2.0/tech
IntendedUse,class,https://w3id.org/dpv/2.0/tech#IntendedUse,Intended Use,Describes the 'intended' use of the technology,,,,"Intended use can be used to describe how the developer or provider of technology intends it to be used e.g. use a database to store data, and to describe the plan or 'intent' to use the technology by a user or operator e.g. use a database to store and analyse data. Intended Use can involve any concept e.g. DPV's purpose, processing, tech/org measures, and can be low-level purely technical uses such as store data or high-level goals such as legal compliance. Intended Use only describes the intent or ex-ante intention, and may be different from how the technology is being actually used - which is indicated by using isImplementedUsingTechnology in a process or other relevant context.;Intended use can be used to describe how the developer or provider of technology intends it to be used e.g. use a database to store data, and to describe the plan or 'intent' to use the technology by a user or operator e.g. use a database to store and analyse data. Intended Use can involve any concept e.g. DPV's purpose, processing, tech/org measures, and can be low-level purely technical uses such as store data or high-level goals such as legal compliance. Intended Use only describes the intent or ex-ante intention, and may be different from how the technology is being actually used - which is indicated by using isImplementedUsingTechnology in a process or other relevant context.",2024-05-22,,tech,https://w3id.org/dpv/2.0/tech
ProvisionMethod,class,https://w3id.org/dpv/2.0/tech#ProvisionMethod,Provision Method,Method associated with provision or use of technology,,https://w3id.org/dpv/2.0#Technology,https://w3id.org/dpv/2.0#Technology,,2022-06-15,2024-05-09,tech,https://w3id.org/dpv/2.0/tech
hasActor,property,https://w3id.org/dpv/2.0/tech#hasActor,has actor,Indicates an actor associated with technology,,,,,2022-10-21,2024-05-17,tech,https://w3id.org/dpv/2.0/tech
hasCapability,property,https://w3id.org/dpv/2.0/tech#hasCapability,has capability,Indicates the capability of the technology,,,,,2024-05-09,,tech,https://w3id.org/dpv/2.0/tech
hasCommunicationMechanism,property,https://w3id.org/dpv/2.0/tech#hasCommunicationMechanism,has communication mechanism,Indicates communication mechanisms used or provided by technology,,,,,2022-07-02,,tech,https://w3id.org/dpv/2.0/tech
hasDeploymentLocation,property,https://w3id.org/dpv/2.0/tech#hasDeploymentLocation,has deployment location,Specifies the location of technology deployment and use,,,,,2024-05-09,,tech,https://w3id.org/dpv/2.0/tech
hasFunction,property,https://w3id.org/dpv/2.0/tech#hasFunction,has function,Indicates the function of the technology,,,,,2024-05-09,,tech,https://w3id.org/dpv/2.0/tech
hasIntendedUse,property,https://w3id.org/dpv/2.0/tech#hasIntendedUse,has intended use,Indicates the intended use of technology,,,,,2024-05-22,,tech,https://w3id.org/dpv/2.0/tech
hasProvisionMethod,property,https://w3id.org/dpv/2.0/tech#hasProvisionMethod,has provision method,Specifies the provision or usage method of technology,,,,,2022-07-02,,tech,https://w3id.org/dpv/2.0/tech
