term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
PDC,class,https://w3id.org/dpv/standards/p7012#PDC,Personal Data Contribution,Term that indicates access is proactively provided by the person,,,,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
PDC-AI,class,https://w3id.org/dpv/standards/p7012#PDC-AI,Personal Data Contribution for AI Training and Development,Term that indicates access to data is being provided for the purposes of Training and Operating AI technologies,https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#PDC,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
PDC-GOOD,class,https://w3id.org/dpv/standards/p7012#PDC-GOOD,Personal Data Contribution for Public Good,Term that indicates access to data is being provided for the purposes of Public Good,https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#PDC,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
PDC-INTENT,class,https://w3id.org/dpv/standards/p7012#PDC-INTENT,Personal Data Contribution for Intent Casting,Term that indicates access to data is being provided for the purposes of Intent Casting,https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#PDC,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY,class,https://w3id.org/dpv/standards/p7012#SD-BY,SD-BY,"Term that requires Service Delivery, and prohibits Analytics, Tracking, or Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#Agreement,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-A,class,https://w3id.org/dpv/standards/p7012#SD-BY-A,SD BY-A,"Term that requires Service Delivery and permits Analytics, and prohibits Analytics by 3rd Party, prohibits Tracking, or Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-A-DP,class,https://w3id.org/dpv/standards/p7012#SD-BY-A-DP,SD BY-A-DP,"Term that requires Service Delivery and permits Analytics, with an obligation for Data Portability, and prohibits Analytics by 3rd Party, prohibits Tracking or Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY-DP;https://w3id.org/dpv/standards/p7012#SD-BY-A,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-AT,class,https://w3id.org/dpv/standards/p7012#SD-BY-AT,SD BY-AT,"Term that requires Service Delivery, and permits Analytics and Tracking by the 2nd Party, and prohibits Analytics, or Tracking by 3rd Party, prohibits Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY-A,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-AT-DP,class,https://w3id.org/dpv/standards/p7012#SD-BY-AT-DP,SD BY-AT-DP,"Term that requires Service Delivery, and permits Analytics and Tracking by the 2nd Party, with an obligation for Data Portability, and prohibits Analytics or Tracking by 3rd Party, prohibits Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY-DP;https://w3id.org/dpv/standards/p7012#SD-BY-AT,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-ATP,class,https://w3id.org/dpv/standards/p7012#SD-BY-ATP,SD BY-ATP,"Term that requires Service Delivery, and permits Analytics, Tracking, or Profiling by the 2nd party, and prohibits Analytics, Tracking, or Profiling by 3rd Party, and prohibits sharing any data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY-AT,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-ATP-DP,class,https://w3id.org/dpv/standards/p7012#SD-BY-ATP-DP,SD BY-ATP-DP,"Term that requires Service Delivery, and permits Analytics, Tracking, or Profiling by the 2nd Party, with an obligation for Data Portability, and prohibits Analytics, Tracking, or Profiling by 3rd Party, and prohibits sharing any data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY-ATP;https://w3id.org/dpv/standards/p7012#SD-BY-DP,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-ATP-S3P,class,https://w3id.org/dpv/standards/p7012#SD-BY-ATP-S3P,SD BY-ATP-S3P,"Term that requires Service Delivery, and permits Analytics, Tracking, or Profiling by the 2nd Party, and permits sharing data that has been fully anonymised with 3rd Party, and prohibits Analytics, Tracking, or Profiling by 3rd Party, and prohibits sharing on non-anonymised data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY-ATP,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-ATP-S3P-DP,class,https://w3id.org/dpv/standards/p7012#SD-BY-ATP-S3P-DP,SD BY-ATP-S3P-DP,"Term that requires Service Delivery, and permits Analytics, Tracking, or Profiling by the 2nd Party, and permits sharing data that has been fully anonymised with 3rd Party, with an obligation for Data Portability, and prohibits Analytics, Tracking, Profiling by 3rd Party, and prohibits sharing on non-anonymised data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY-ATP-S3P;https://w3id.org/dpv/standards/p7012#SD-BY-DP,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
SD-BY-DP,class,https://w3id.org/dpv/standards/p7012#SD-BY-DP,SD BY-DP,"Term that requires Service Delivery, with an obligation for Data Portability, and prohibits Analytics, Tracking, or Profiling by 2nd and 3rd Party, and prohibits sharing any data with 3rd Party",https://w3id.org/dpv/standards/p7012#Agreement,,https://w3id.org/dpv/standards/p7012#SD-BY,,2024-12-17,,p7012,https://w3id.org/dpv/standards/p7012
