term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
ProvidedAsAlgorithmic,class,https://w3id.org/dpv/tech#ProvidedAsAlgorithmic,Provided as AlgorithmicProvision,Technology provided as an algorithm or method,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsCaaS,class,https://w3id.org/dpv/tech#ProvidedAsCaaS,Provided as Compute as a Service (CaaS)Provision,Technology provided as a cloud service consisting of managed compute resources,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvidedAsCloudService,,2024-05-09,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsCloudService,class,https://w3id.org/dpv/tech#ProvidedAsCloudService,Provided as Cloud ServiceProvision,Technology provided as a cloud service,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvidedAsService,,2024-05-09,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsComponent,class,https://w3id.org/dpv/tech#ProvidedAsComponent,Provided as ComponentProvision,Technology provided as a component,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsFixedUse,class,https://w3id.org/dpv/tech#ProvidedAsFixedUse,Provided as Fixed UseProvision,Technology provided for using a fixed number of times,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsGoods,class,https://w3id.org/dpv/tech#ProvidedAsGoods,Provided as GoodsProvision,Technology provided or used as goods,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsHybridCloudService,class,https://w3id.org/dpv/tech#ProvidedAsHybridCloudService,Provided as Hybrid Cloud ServiceProvision,Technology provided as a cloud service that is both private and public in parts,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvidedAsPrivateCloudService;https://w3id.org/dpv/tech#ProvidedAsPublicCloudService,,2024-05-09,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsIaaS,class,https://w3id.org/dpv/tech#ProvidedAsIaaS,Provided as Infrastructure as a Service (IaaS)Provision,Technology provided as a cloud service consisting of managed infrastructure resources,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvidedAsCloudService,,2024-05-09,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsMBaaS,class,https://w3id.org/dpv/tech#ProvidedAsMBaaS,Provided as Mobile backend as a ServiceProvision,Technology provided as a cloud service consisting of managed 'backend' services for mobile users,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvidedAsCloudService,,2024-05-09,2024-12-01,tech,https://w3id.org/dpv/tech
ProvidedAsPaaS,class,https://w3id.org/dpv/tech#ProvidedAsPaaS,Provided as Platform as a Service (PaaS)Provision,Technology provided as a cloud service consisting of managed platform resources,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvidedAsCloudService,,2024-05-09,2024-12-01,tech,https://w3id.org/dpv/tech
