"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"ContractActivationStatus","class","https://w3id.org/dpv#ContractActivationStatus","Contract Activation Status","Status associated with activation of a contract i.e. whether its terms are active and are required to be performed","","https://w3id.org/dpv#ContractStatus","https://w3id.org/dpv#ContractStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractActive","class","https://w3id.org/dpv#ContractActive","Contract Active","Status representing contract that has been fully executed and whose terms are considered active i.e. they are applicable and are required to be performed","https://w3id.org/dpv#ContractActivationStatus","","https://w3id.org/dpv#ContractActivationStatus","A contract being active only refers to its terms now being required to be fulfilled, while dpv:ContractBeingPerformed states that they are being performed","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractAmended","class","https://w3id.org/dpv#ContractAmended","Contract Amended","Status representing contract that has been fully executed and whose terms have been amended through mutual agreement or other means such that the contract is still required to be performed","https://w3id.org/dpv#ContractPerformanceStatus","","https://w3id.org/dpv#ContractPerformanceStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractApproved","class","https://w3id.org/dpv#ContractApproved","Contract Approved","Status representing contract has been approved and can be used for signing","https://w3id.org/dpv#ContractPreparationStatus","","https://w3id.org/dpv#ContractPreparationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractBeingPerformed","class","https://w3id.org/dpv#ContractBeingPerformed","Contract Being Performed","Status representing contract that has been fully executed and whose terms are being carried out i.e. the contract is being performed","https://w3id.org/dpv#ContractPerformanceStatus","","https://w3id.org/dpv#ContractPerformanceStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractBreached","class","https://w3id.org/dpv#ContractBreached","Contract Breached","Status representing contract being breached where its terms are not fulfilled or are violated with legal consequences","https://w3id.org/dpv#ContractTerminationStatus","","https://w3id.org/dpv#ContractTerminationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractDisputed","class","https://w3id.org/dpv#ContractDisputed","Contract Disputed","Status representing contract being disputed where one or more parties have an issue regarding the interpretation and performance of the contract","https://w3id.org/dpv#ContractTerminationStatus","","https://w3id.org/dpv#ContractTerminationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractDrafted","class","https://w3id.org/dpv#ContractDrafted","Contract Drafted","Status representing the drafting of contract text has been completed and it can now be offered for signing","https://w3id.org/dpv#ContractPreparationStatus","","https://w3id.org/dpv#ContractPreparationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractExecutionStatus","class","https://w3id.org/dpv#ContractExecutionStatus","Contract Execution Status","Status associated with execution of a contract (i.e. signing and procedural aspects before the contract terms come in to effect)","","https://w3id.org/dpv#ContractStatus","https://w3id.org/dpv#ContractStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractExpired","class","https://w3id.org/dpv#ContractExpired","Contract Expired","Status representing reaching the expiry defined in the contract, such as when the stated duration or the stated obligations have been completed","https://w3id.org/dpv#ContractTerminationStatus","","https://w3id.org/dpv#ContractTerminationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractExtended","class","https://w3id.org/dpv#ContractExtended","Contract Extended","Status representing the duration associated with a contract being extended through mutual agreement or by a party","https://w3id.org/dpv#ContractTerminationStatus","","https://w3id.org/dpv#ContractTerminationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractFulfilled","class","https://w3id.org/dpv#ContractFulfilled","Contract Fulfilled","Status representing contract where all its terms have been fulfilled in a manner that does not constitute a violation or breach of the contract","https://w3id.org/dpv#ContractFulfilmentStatus","","https://w3id.org/dpv#ContractFulfilmentStatus","","2025-01-09","2025-08-06","dpv","https://w3id.org/dpv"
"ContractFulfilmentStatus","class","https://w3id.org/dpv#ContractFulfilmentStatus","Contract Fulfilment Status","Status associated with fulfilment of a contract","","https://w3id.org/dpv#ContractStatus","https://w3id.org/dpv#ContractStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractFullyExecuted","class","https://w3id.org/dpv#ContractFullyExecuted","Contract Fully Executed","Status representing contract has been fully executed i.e. it has been signed by all parties and all other procedural aspects such as exchange of signed contract copies have been completed","https://w3id.org/dpv#ContractExecutionStatus","","https://w3id.org/dpv#ContractExecutionStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractFullySigned","class","https://w3id.org/dpv#ContractFullySigned","Contract Fully Signed","Status representing contract has been signed by all concerned parties","https://w3id.org/dpv#ContractExecutionStatus","","https://w3id.org/dpv#ContractExecutionStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractInactive","class","https://w3id.org/dpv#ContractInactive","Contract Inactive","Status representing contract that has been fully executed and whose terms are not yet active i.e. they need to be performed at a later time","https://w3id.org/dpv#ContractActivationStatus","","https://w3id.org/dpv#ContractActivationStatus","An example of an inactive contract is where its terms need to be fulfilled at a later date, at which point the contract will become active","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractNegotiated","class","https://w3id.org/dpv#ContractNegotiated","Contract Negotiated","Status representing contract has been successfully negotiated by involved parties","https://w3id.org/dpv#ContractPreparationStatus","","https://w3id.org/dpv#ContractPreparationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractNotFulfilled","class","https://w3id.org/dpv#ContractNotFulfilled","Contract Not Fulfilled","Status representing contract where none of its terms have been fulfilled in a manner that does not constitute a violation or breach of the contract i.e. there is still time and opportunity to complete the terms","https://w3id.org/dpv#ContractFulfilmentStatus","","https://w3id.org/dpv#ContractFulfilmentStatus","","2025-01-09","2025-08-06","dpv","https://w3id.org/dpv"
"ContractOffered","class","https://w3id.org/dpv#ContractOffered","Contract Offered","Status representing contract has been offered to a party or to parties for reviewing and signing","https://w3id.org/dpv#ContractPreparationStatus","","https://w3id.org/dpv#ContractPreparationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractPartiallyFulfilled","class","https://w3id.org/dpv#ContractPartiallyFulfilled","Contract Partially Fulfilled","Status representing contract where some of its terms have been fulfilled, and others are yet to be fulfilled in a manner that does not constitute a violation or breach of the contract i.e. there is still time and opportunity to complete the terms","https://w3id.org/dpv#ContractFulfilmentStatus","","https://w3id.org/dpv#ContractFulfilmentStatus","","2025-01-09","2025-08-06","dpv","https://w3id.org/dpv"
"ContractPartiallySigned","class","https://w3id.org/dpv#ContractPartiallySigned","Contract Partially Signed","Status representing contract has been partially signed by parties i.e. some parties have signed the contract and others are yet to make a decision to sign it","https://w3id.org/dpv#ContractExecutionStatus","","https://w3id.org/dpv#ContractExecutionStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractPerformanceStatus","class","https://w3id.org/dpv#ContractPerformanceStatus","Contract Performance Status","Status associated with performance of a contract","","https://w3id.org/dpv#ContractStatus","https://w3id.org/dpv#ContractStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractPreparationStatus","class","https://w3id.org/dpv#ContractPreparationStatus","Contract Preparation Status","Status associated with preparation of contracts before they are signed or accepted or executed","","https://w3id.org/dpv#ContractStatus","https://w3id.org/dpv#ContractStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractRejected","class","https://w3id.org/dpv#ContractRejected","Contract Rejected","Status representing contract has been rejected and cannot be used for signing","https://w3id.org/dpv#ContractPreparationStatus","","https://w3id.org/dpv#ContractPreparationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractRenewed","class","https://w3id.org/dpv#ContractRenewed","Contract Renewed","Status representing contract being renewed with new duration and/or applicability where the contract has been fully executed in the past","https://w3id.org/dpv#ContractPerformanceStatus","","https://w3id.org/dpv#ContractPerformanceStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractSignedByParty","class","https://w3id.org/dpv#ContractSignedByParty","Contract Signed By Party","Status representing contract has been signed by the indicated signing party","https://w3id.org/dpv#ContractExecutionStatus","","https://w3id.org/dpv#ContractExecutionStatus","The signing party can be expressed using dpv:hasParty with the status along with metadata such as a timestamp, or the status can be used to list whether each party in the contract has signed or not e.g. it is reviewing the contract","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractStatus","class","https://w3id.org/dpv#ContractStatus","Contract Status","Status associated with a contract","","https://w3id.org/dpv#Status","https://w3id.org/dpv#Status","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractTemporarilySuspended","class","https://w3id.org/dpv#ContractTemporarilySuspended","Contract Temporarily Suspended","Status representing contract that has been temporarily suspended through mutual agreement or by some parties","https://w3id.org/dpv#ContractPerformanceStatus","","https://w3id.org/dpv#ContractPerformanceStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractTerminated","class","https://w3id.org/dpv#ContractTerminated","Contract Terminated","Status representing contract being terminated by one or more parties","https://w3id.org/dpv#ContractTerminationStatus","","https://w3id.org/dpv#ContractTerminationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractTerminationStatus","class","https://w3id.org/dpv#ContractTerminationStatus","Contract Termination Status","Status associated with termination of a contract","","https://w3id.org/dpv#ContractStatus","https://w3id.org/dpv#ContractStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractUnderNegotiation","class","https://w3id.org/dpv#ContractUnderNegotiation","Contract Under Negotiation","Status representing contract is under negotiation between parties","https://w3id.org/dpv#ContractPreparationStatus","","https://w3id.org/dpv#ContractPreparationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractUnderReview","class","https://w3id.org/dpv#ContractUnderReview","Contract Under Review","Status representing contract is under review and is being considered for signing","https://w3id.org/dpv#ContractPreparationStatus","","https://w3id.org/dpv#ContractPreparationStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
"ContractViolated","class","https://w3id.org/dpv#ContractViolated","Contract Violated","Status representing contract where one or more terms have not been fulfilled or have been fulfilled, where either is considered a violation of the terms","https://w3id.org/dpv#ContractFulfilmentStatus","","https://w3id.org/dpv#ContractFulfilmentStatus","","2025-01-09","","dpv","https://w3id.org/dpv"
