"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"B2B2CContract","class","https://w3id.org/dpv#B2B2CContract","Business-to-Business-to-Consumer Contract","A contract between two businesses who partner together to provide services to a consumer","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#B2BContract;https://w3id.org/dpv#B2CContract","","2024-08-27","","dpv","https://w3id.org/dpv"
"B2BContract","class","https://w3id.org/dpv#B2BContract","Business-to-Business Contract","A contract between two businesses","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#ContractByEntityType","","2024-08-27","","dpv","https://w3id.org/dpv"
"B2CContract","class","https://w3id.org/dpv#B2CContract","Business-to-Consumer Contract","A contract between a business and a consumer where the business provides goods or services to the consumer","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#ContractByEntityType","","2024-08-27","","dpv","https://w3id.org/dpv"
"C2BContract","class","https://w3id.org/dpv#C2BContract","Consumer-to-Business Contract","A contract between a consumer and a business where the business purchases goods or services from the consumer","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#ContractByEntityType","","2024-08-27","","dpv","https://w3id.org/dpv"
"C2CContract","class","https://w3id.org/dpv#C2CContract","Consumer-to-Consumer Contract","A contract between two consumers","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#ContractByEntityType","","2024-08-27","","dpv","https://w3id.org/dpv"
"ConsumerStandardFormContract","class","https://w3id.org/dpv#ConsumerStandardFormContract","Consumer Standard Form Contract","A contract where the terms and conditions are determined by parties in the role of a 'consumer' - whether an entity or an individual, and the other parties have negligible or no ability to negotiate the terms and conditions","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#StandardFormContract","","2024-08-27","","dpv","https://w3id.org/dpv"
"ContractByDomain","class","https://w3id.org/dpv#ContractByDomain","Contract by Domain","A generic concept representing contracts categorised by specific domains which dictate the drafting and interpretation of contracts","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#Contract","","2024-12-17","","dpv","https://w3id.org/dpv"
"ContractByEntityType","class","https://w3id.org/dpv#ContractByEntityType","Contract by Entity Type","A generic concept representing contracts categorised by the type of entities involved - such as Businesses (B), Consumers (C), and Governments (G)","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#Contract","","2024-12-17","","dpv","https://w3id.org/dpv"
"ContractByNegotiationType","class","https://w3id.org/dpv#ContractByNegotiationType","Contract by Negotiation Type","A generic concept representing contracts categorised based on their use or absence of negotiation in the contract forming process","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#Contract","","2024-12-17","","dpv","https://w3id.org/dpv"
"ControllerDataSubjectAgreement","class","https://w3id.org/dpv#ControllerDataSubjectAgreement","Controller-Data Subject Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data between a Data Controller and a Data Subject","https://w3id.org/dpv#LegalBasis;https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#DataSubjectContract","","2024-08-27","2024-08-27","dpv","https://w3id.org/dpv"
"ControllerProcessorAgreement","class","https://w3id.org/dpv#ControllerProcessorAgreement","Controller-Processor Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data between a Data Controller and a Data Processor","https://w3id.org/dpv#LegalBasis;https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#DataProcessorContract","","2022-01-26","2024-08-27","dpv","https://w3id.org/dpv"
"DataControllerContract","class","https://w3id.org/dpv#DataControllerContract","Data Controller Contract","Creation, completion, fulfilment, or performance of a contract, with Data Controllers as parties being Joint Data Controllers, and involving specified processing of data or technologies. NOTE: This concept is being deprecated - use dpv:JointDataControllersAgreement which has a more explicit definition of the entities involved and the intent of the contract","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#DataProcessingAgreement","","2023-12-10","2024-08-27","dpv","https://w3id.org/dpv"
"DataProcessingAgreement","class","https://w3id.org/dpv#DataProcessingAgreement","Data Processing Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data","https://w3id.org/dpv#LegalBasis;https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#Contract","For specific role-based data processing agreements, see concepts for Processors and JointDataController agreements.","2022-01-26","2024-12-17","dpv","https://w3id.org/dpv"
"DataProcessorContract","class","https://w3id.org/dpv#DataProcessorContract","Data Processor Contract","Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Data Processor as parties, and involving specified processing of data or technologies. NOTE: This concept is being deprecated - use dpv:ControllerProcessorAgreement which has a more explicit definition of the entities involved and the intent of the contract","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#DataProcessingAgreement","","2023-12-10","2024-08-27","dpv","https://w3id.org/dpv"
"DataSubjectContract","class","https://w3id.org/dpv#DataSubjectContract","Data Subject Contract","Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Data Subject as parties, and involving specified processing of data or technologies. NOTE: This concept is being deprecated - use dpv:ControllerDataSubjectAgreement which has a more explicit definition of the entities involved and the intent of the contract","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#DataProcessingAgreement","","2023-12-10","2024-08-27","dpv","https://w3id.org/dpv"
"DistributionAgreement","class","https://w3id.org/dpv#DistributionAgreement","Distribution Agreement","A contract regarding supply of data or technologies between a distributor and a supplier","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#ContractByDomain","","2024-08-27","","dpv","https://w3id.org/dpv"
"EULA","class","https://w3id.org/dpv#EULA","End User License Agreement (EULA)","End User License Agreement is a contract entered into between a software (or service) developer or provider with the (end-)user","https://w3id.org/dpv#LegalBasis","","https://w3id.org/dpv#LicenseAgreement","","2024-08-27","","dpv","https://w3id.org/dpv"
