term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
AcademicScientificOrganisation,class,https://w3id.org/dpv#AcademicScientificOrganisation,Academic or Scientific Organisation,"Organisations related to academia or scientific pursuits e.g. Universities, Schools, Research Bodies",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2022-02-02,2020-10-05,dpv,https://w3id.org/dpv
AmbulanceProvider,class,https://w3id.org/dpv#AmbulanceProvider,Ambulance Provider,An organisation that that offers transportation and medical care to patients requiring urgent medical attention,,https://w3id.org/dpv#EmergencyServiceProvider,https://w3id.org/dpv#EmergencyServiceProvider,,2024-12-01,,dpv,https://w3id.org/dpv
CharityOrganisation,class,https://w3id.org/dpv#CharityOrganisation,Charity Organisation,"A nonprofit entity dedicated to providing assistance or raising funds for social, educational, religious, or other philanthropic purposes",,https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#LegalEntity,,2024-12-01,,dpv,https://w3id.org/dpv
Clinic,class,https://w3id.org/dpv#Clinic,Clinic,An organisation that is a smaller healthcare facility offering outpatient medical services for diagnosis and treatment,,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-12-01,,dpv,https://w3id.org/dpv
EducationalOrganisation,class,https://w3id.org/dpv#EducationalOrganisation,Educational Organisation,"An organisation focused on delivering formal or informal education, training, or research",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-12-01,,dpv,https://w3id.org/dpv
EmergencyHealthcareProvider,class,https://w3id.org/dpv#EmergencyHealthcareProvider,Emergency Healthcare Provider,An organisation that is an emergency service provider focused on delivering immediate medical care to patients in critical or life-threatening situations,,https://w3id.org/dpv#EmergencyServiceProvider,https://w3id.org/dpv#EmergencyServiceProvider,,2024-12-01,,dpv,https://w3id.org/dpv
EmergencyServiceProvider,class,https://w3id.org/dpv#EmergencyServiceProvider,Emergency Service Provider,"An organisation tasked with providing emergency services such as by responding rapidly to urgent situations to protect lives, property, and the environment",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-12-01,,dpv,https://w3id.org/dpv
FireDepartment,class,https://w3id.org/dpv#FireDepartment,Fire Department,"An organisation that is an emergency service provider for fire prevention, firefighting, and rescue services",,https://w3id.org/dpv#EmergencyServiceProvider,https://w3id.org/dpv#EmergencyServiceProvider,,2024-12-01,,dpv,https://w3id.org/dpv
ForProfitOrganisation,class,https://w3id.org/dpv#ForProfitOrganisation,For-Profit Organisation,An organisation that aims to achieve profit as its primary goal,,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2022-02-02,2020-10-05,dpv,https://w3id.org/dpv
GovernmentalOrganisation,class,https://w3id.org/dpv#GovernmentalOrganisation,Governmental Organisation,An organisation managed or part of government,,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2022-02-02,2020-10-05,dpv,https://w3id.org/dpv
HealthcareOrganisation,class,https://w3id.org/dpv#HealthcareOrganisation,Healthcare Organisation,"An organisation that delivers medical services, promotes health, and provides care for individuals and communities",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-12-01,,dpv,https://w3id.org/dpv
Hospital,class,https://w3id.org/dpv#Hospital,Hospital,"An organisation that provides comprehensive medical treatment, including emergency care, surgeries, and inpatient services",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-12-01,,dpv,https://w3id.org/dpv
IndustryConsortium,class,https://w3id.org/dpv#IndustryConsortium,Industry Consortium,A consortium established and comprising on industry organisations,,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2022-02-02,2020-10-05,dpv,https://w3id.org/dpv
InternationalOrganisation,class,https://w3id.org/dpv#InternationalOrganisation,International Organisation,"An organisation and its subordinate bodies governed by public international law, or any other body which is set up by, or on the basis of, an agreement between two or more countries",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2022-03-23,2020-10-05,dpv,https://w3id.org/dpv
JudicialOrganisation,class,https://w3id.org/dpv#JudicialOrganisation,Judicial Organisation,"An organisation involved in interpreting and applying the law, resolving disputes, and administering justice as part of the judicial system",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-12-01,,dpv,https://w3id.org/dpv
LawEnforcementOrganisation,class,https://w3id.org/dpv#LawEnforcementOrganisation,Law Enforcement Organisation,"An organisation that is an agency responsible for enforcing laws, maintaining public order, and ensuring public safety",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-12-01,,dpv,https://w3id.org/dpv
NonGovernmentalOrganisation,class,https://w3id.org/dpv#NonGovernmentalOrganisation,Non-Governmental Organisation,An organisation not part of or independent from the government,,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2022-02-02,2020-10-05,dpv,https://w3id.org/dpv
NonProfitOrganisation,class,https://w3id.org/dpv#NonProfitOrganisation,Non-Profit Organisation,An organisation that does not aim to achieve profit as its primary goal,,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2022-02-02,2020-10-05,dpv,https://w3id.org/dpv
Organisation,class,https://w3id.org/dpv#Organisation,Organisation,A general term reflecting a company or a business or a group acting as a unit,,https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#LegalEntity,,2022-02-02,,dpv,https://w3id.org/dpv
OrganisationalUnit,class,https://w3id.org/dpv#OrganisationalUnit,Organisational Unit,Entity within an organisation that does not constitute as a separate legal entity,,https://w3id.org/dpv#Entity,https://w3id.org/dpv#Entity,,2022-03-23,,dpv,https://w3id.org/dpv
PrivateSectorBody,class,https://w3id.org/dpv#PrivateSectorBody,Private Sector Body,An organisation owned and operated by private individuals or companies,,https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#LegalEntity,,2024-12-01,,dpv,https://w3id.org/dpv
PublicSectorBody,class,https://w3id.org/dpv#PublicSectorBody,Public Sector Body,A government-controlled organisation that provides services or goods to the public,,https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#LegalEntity,,2024-12-01,,dpv,https://w3id.org/dpv
ReligiousAssociations,class,https://w3id.org/dpv#ReligiousAssociations,Religious Associations,"An organisations that supports the practice, promotion, and management of religious activities and beliefs",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-12-01,,dpv,https://w3id.org/dpv
SMEOrganisation,class,https://w3id.org/dpv#SMEOrganisation,SME Organisation,An organisation that is characterised as a Small or Medium-sized Enterprise based on limited staff and revenue,,https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#LegalEntity,,2024-12-01,,dpv,https://w3id.org/dpv
StartupOrganisation,class,https://w3id.org/dpv#StartupOrganisation,Startup Organisation,An organisation that is newly established and is nascent in terms of available resources,,https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#LegalEntity,,2024-12-01,,dpv,https://w3id.org/dpv
