term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
ConsentNotice,class,https://w3id.org/dpv#ConsentNotice,Consent Notice,A Notice for information provision associated with Consent,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#PrivacyNotice,,2022-06-21,,dpv,https://w3id.org/dpv
DashboardNotice,class,https://w3id.org/dpv#DashboardNotice,Dashboard Notice,A notice that is provided within a dashboard also used for other purposes,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-08-17,,dpv,https://w3id.org/dpv
DataBreachNotice,class,https://w3id.org/dpv#DataBreachNotice,Data Breach Notice,"A notice providing information about data breach(es) i.e. unauthorised transfer, access, use, or modification of data",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#SecurityIncidentNotice,,2024-04-14,,dpv,https://w3id.org/dpv
DataTransferNotice,class,https://w3id.org/dpv#DataTransferNotice,Data Transfer Notice,Notice for the legal entity for the transfer of its data,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-04-14,,dpv,https://w3id.org/dpv
DeviceNotice,class,https://w3id.org/dpv#DeviceNotice,Device Notice,A notice provided using the functionality provided by a device e.g. using the popup or alert feature,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-08-17,,dpv,https://w3id.org/dpv
GraphicalNotice,class,https://w3id.org/dpv#GraphicalNotice,Graphical Notice,A notice that uses graphical elements such as visualisations and icons,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-08-17,,dpv,https://w3id.org/dpv
JITNotice,class,https://w3id.org/dpv#JITNotice,Just-in-time Notice,"A notice that is provided ""just in time"" when collecting information or performing an activity",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-08-17,,dpv,https://w3id.org/dpv
LayeredNotice,class,https://w3id.org/dpv#LayeredNotice,Layered Notice,A notice that contains layered elements,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-08-17,,dpv,https://w3id.org/dpv
Notice,class,https://w3id.org/dpv#Notice,Notice,"A notice is an artefact for providing information, choices, or controls",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#OrganisationalMeasure,"Notice refers to the information whereas Notification refers to the provision of that notice. In several cases, they are used interchangeably - for example Privacy Notice as a measure or control refers to both the information as well as the act of making it available. For 'active' contexts where this distinction is important, e.g. data breach notifications, see Notification concept.",2021-09-08,,dpv,https://w3id.org/dpv
NoticeCommunicated,class,https://w3id.org/dpv#NoticeCommunicated,Notice Communicated,Status indicating the notice has been communicated,https://w3id.org/dpv#NoticeStatus,,https://w3id.org/dpv#NoticeStatus,,2024-12-01,,dpv,https://w3id.org/dpv
