term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
DPA-DE,class,https://w3id.org/dpv/legal/de#DPA-DE,The Federal Commissioner for Data Protection and Freedom of Information,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-BB,class,https://w3id.org/dpv/legal/de#DPA-DE-BB,The state representative for data protection and the right to inspect files in Brandenburg,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-BE,class,https://w3id.org/dpv/legal/de#DPA-DE-BE,Berlin Commissioner for Data Protection and Freedom of Information,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-BY-non-public,class,https://w3id.org/dpv/legal/de#DPA-DE-BY-non-public,Bavarian State Office for Data Protection Supervision,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-BY-public,class,https://w3id.org/dpv/legal/de#DPA-DE-BY-public,The Bavarian State Commissioner for Data Protection,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-HB,class,https://w3id.org/dpv/legal/de#DPA-DE-HB,The State Commissioner for Data Protection and Freedom of Information of the Free Hanseatic City of Bremen,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-HE,class,https://w3id.org/dpv/legal/de#DPA-DE-HE,The Hessian Commissioner for Data Protection and Freedom of Information,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-HH,class,https://w3id.org/dpv/legal/de#DPA-DE-HH,The Hamburg Commissioner for Data Protection and Freedom of Information,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-MV,class,https://w3id.org/dpv/legal/de#DPA-DE-MV,The State Commissioner for Data Protection and Freedom of Information Mecklenburg-West Pomerania,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-NI,class,https://w3id.org/dpv/legal/de#DPA-DE-NI,The State Commissioner for Data Protection Lower Saxony,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-NW,class,https://w3id.org/dpv/legal/de#DPA-DE-NW,State Commissioner for Data Protection and Freedom of Information North Rhine-Westphalia,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-RP,class,https://w3id.org/dpv/legal/de#DPA-DE-RP,The state commissioner for data protection and freedom of information in Rhineland-Palatinate,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-SH,class,https://w3id.org/dpv/legal/de#DPA-DE-SH,Independent State Center for Data Protection Schleswig-Holstein,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-SL,class,https://w3id.org/dpv/legal/de#DPA-DE-SL,Independent Data Protection Center Saarland - State Commissioner for Data Protection and Freedom of Information,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-SN,class,https://w3id.org/dpv/legal/de#DPA-DE-SN,The Saxon data protection officer,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-ST,class,https://w3id.org/dpv/legal/de#DPA-DE-ST,State representative for data protection in Saxony-Anhalt,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
DPA-DE-TH,class,https://w3id.org/dpv/legal/de#DPA-DE-TH,Thuringia state commissioner for data protection and freedom of information,,https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,https://w3id.org/dpv#Law;https://w3id.org/dpv/legal/eu/gdpr#DataProtectionAuthority,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-BDSG,class,https://w3id.org/dpv/legal/de#law-BDSG,Federal Data Protection Act (BDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-BE-BbgDSG,class,https://w3id.org/dpv/legal/de#law-BE-BbgDSG,Brandenburg Data Protection Act (BbgDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-BE-BlnDSG,class,https://w3id.org/dpv/legal/de#law-BE-BlnDSG,Berlin Data Protection Act (BlnDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-BW-LDSG,class,https://w3id.org/dpv/legal/de#law-BW-LDSG,State Data Protection Act (LDSG) (BW),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-BY-BayDSG,class,https://w3id.org/dpv/legal/de#law-BY-BayDSG,Bavarian Data Protection Act (BayDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-HB-BremDSGVOAG,class,https://w3id.org/dpv/legal/de#law-HB-BremDSGVOAG,Bremen Implementing Act for the EU General Data Protection Regulation (BremDSGVOAG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-HE-HDISG,class,https://w3id.org/dpv/legal/de#law-HE-HDISG,Hessian Data Protection and Freedom of Information Act (HDSIG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-HH-HmbDSG,class,https://w3id.org/dpv/legal/de#law-HH-HmbDSG,Hamburg Data Protection Act (HmbDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-LSA-DSG,class,https://w3id.org/dpv/legal/de#law-LSA-DSG,Law on the protection of personal data of citizens (Saxony-Anhalt Data Protection Act - DSG LSA),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-MV-DSG,class,https://w3id.org/dpv/legal/de#law-MV-DSG,Act to adapt the State Data Protection Act and other data protection regulations in the area of ​​responsibility of the Ministry of the Interior and Europe Mecklenburg-West Pomerania to Regulation (EU) 2016/679 and to implement Directive (EU) 2016/680,,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-NI-NDSG,class,https://w3id.org/dpv/legal/de#law-NI-NDSG,Lower Saxony Data Protection Act (NDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-NW-DSG,class,https://w3id.org/dpv/legal/de#law-NW-DSG,North Rhine-Westphalia Data Protection Act (DSG NRW),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-RP-LDSG,class,https://w3id.org/dpv/legal/de#law-RP-LDSG,State Data Protection Act (LDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-SH-LDSG,class,https://w3id.org/dpv/legal/de#law-SH-LDSG,Schleswig-Holstein law for the protection of personal data (state data protection law - LDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-SL-SDSG,class,https://w3id.org/dpv/legal/de#law-SL-SDSG,Saarland Data Protection Act,,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
law-SN-SächsDSG,class,https://w3id.org/dpv/legal/de#law-SN-SächsDSG,Law for the Protection of Informational Self-Determination in the Free State of Saxony (Saxon Data Protection Act - SächsDSG),,https://w3id.org/dpv#Law,,https://w3id.org/dpv#Law,,2022-03-30,,legal-de,https://w3id.org/dpv/legal/de
