term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
A13,class,https://w3id.org/dpv/legal/eu/gdpr#A13,A13 Right to be Informed,information to be provided where personal data is directly collected from data subject,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A14,class,https://w3id.org/dpv/legal/eu/gdpr#A14,A14 Right to be Informed,information to be provided where personal data is collected from other sources,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A15,class,https://w3id.org/dpv/legal/eu/gdpr#A15,A15 Right of Access,Right of access,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A16,class,https://w3id.org/dpv/legal/eu/gdpr#A16,A16 Right to Rectification,Right to rectification,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A17,class,https://w3id.org/dpv/legal/eu/gdpr#A17,A17 Right to Erasure,Right to erasure ('Right to be forgotten'),https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A18,class,https://w3id.org/dpv/legal/eu/gdpr#A18,A18 Right to Restrict Processing,Right to restriction of processing,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A19,class,https://w3id.org/dpv/legal/eu/gdpr#A19,A19 Right to Rectification Notification,Right to be notified in case of rectification or erasure of personal data or restriction of processing,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,2024-04-14,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A20,class,https://w3id.org/dpv/legal/eu/gdpr#A20,A20 Right to Data Portability,Right to data portability,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A21,class,https://w3id.org/dpv/legal/eu/gdpr#A21,A21 Right to object,Right to object to processing of personal data,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A22,class,https://w3id.org/dpv/legal/eu/gdpr#A22,A22 Right to object to automated decision making,"Right not to be subject to a decision based solely on automated processing including profiling, and for the data subject to obtain human intervention on the part of the controller for the contested or objected activity, and for the data subject to express his or her point of view, and for the data subject to contest the decision",https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,2024-12-17,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A22-3-a,class,https://w3id.org/dpv/legal/eu/gdpr#A22-3-a,A22 Right to human intervention,Right of the data subject to obtain human intervention on the part of the controller for the contested or objected activity,https://w3id.org/dpv#Right,,https://w3id.org/dpv/legal/eu/gdpr#A22,,2020-11-04,2024-12-17,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A22-3-b,class,https://w3id.org/dpv/legal/eu/gdpr#A22-3-b,A22 Right to express point of view,Right of the data subject to express his or her point of view,https://w3id.org/dpv#Right,,https://w3id.org/dpv/legal/eu/gdpr#A22,,2020-11-04,2024-12-17,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A22-3-c,class,https://w3id.org/dpv/legal/eu/gdpr#A22-3-c,A22 Right to contest decision,Right of the data subject to contest the decision,https://w3id.org/dpv#Right,,https://w3id.org/dpv/legal/eu/gdpr#A22,,2020-11-04,2024-12-17,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A7-3,class,https://w3id.org/dpv/legal/eu/gdpr#A7-3,A7-3 Right to Withdraw Consent,Right to withdraw consent at any time,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
