"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"AD","class","https://w3id.org/dpv/loc#AD","Andorra","Concept representing Country of Andorra","https://w3id.org/dpv#Country","","https://w3id.org/dpv#Country","","2022-03-30","","loc","https://w3id.org/dpv/loc"
"AD-02","class","https://w3id.org/dpv/loc#AD-02","Canillo (parish)","Concept representing region Canillo (parish) in country Andorra","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AD","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AD-03","class","https://w3id.org/dpv/loc#AD-03","Encamp (parish)","Concept representing region Encamp (parish) in country Andorra","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AD","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AD-04","class","https://w3id.org/dpv/loc#AD-04","La Massana (parish)","Concept representing region La Massana (parish) in country Andorra","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AD","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AD-05","class","https://w3id.org/dpv/loc#AD-05","Ordino (parish)","Concept representing region Ordino (parish) in country Andorra","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AD","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AD-06","class","https://w3id.org/dpv/loc#AD-06","Sant Julià de Lòria (parish)","Concept representing region Sant Julià de Lòria (parish) in country Andorra","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AD","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AD-07","class","https://w3id.org/dpv/loc#AD-07","Andorra la Vella","Concept representing region Andorra la Vella in country Andorra","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AD","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AD-08","class","https://w3id.org/dpv/loc#AD-08","Escaldes-Engordany","Concept representing region Escaldes-Engordany in country Andorra","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AD","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AE","class","https://w3id.org/dpv/loc#AE","United Arab Emirates","Concept representing Country of United Arab Emirates","https://w3id.org/dpv#Country","","https://w3id.org/dpv#Country","","2022-03-30","","loc","https://w3id.org/dpv/loc"
"AE-AJ","class","https://w3id.org/dpv/loc#AE-AJ","Emirate of Ajman","Concept representing region Emirate of Ajman in country United Arab Emirates","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AE","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AE-AZ","class","https://w3id.org/dpv/loc#AE-AZ","Emirate of Abu Dhabi","Concept representing region Emirate of Abu Dhabi in country United Arab Emirates","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AE","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AE-DU","class","https://w3id.org/dpv/loc#AE-DU","Emirate of Dubai","Concept representing region Emirate of Dubai in country United Arab Emirates","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AE","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AE-FU","class","https://w3id.org/dpv/loc#AE-FU","Emirate of Fujairah","Concept representing region Emirate of Fujairah in country United Arab Emirates","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AE","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AE-RK","class","https://w3id.org/dpv/loc#AE-RK","Ras al-Khaimah","Concept representing region Ras al-Khaimah in country United Arab Emirates","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AE","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AE-SH","class","https://w3id.org/dpv/loc#AE-SH","Emirate of Sharjah","Concept representing region Emirate of Sharjah in country United Arab Emirates","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AE","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AE-UQ","class","https://w3id.org/dpv/loc#AE-UQ","Emirate of Umm al-Quwain","Concept representing region Emirate of Umm al-Quwain in country United Arab Emirates","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AE","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF","class","https://w3id.org/dpv/loc#AF","Afghanistan","Concept representing Country of Afghanistan","https://w3id.org/dpv#Country","","https://w3id.org/dpv#Country","","2022-03-30","","loc","https://w3id.org/dpv/loc"
"AF-BAL","class","https://w3id.org/dpv/loc#AF-BAL","Balkh Province","Concept representing region Balkh Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-BAM","class","https://w3id.org/dpv/loc#AF-BAM","Bamyan Province","Concept representing region Bamyan Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-BDG","class","https://w3id.org/dpv/loc#AF-BDG","Badghis Province","Concept representing region Badghis Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-BDS","class","https://w3id.org/dpv/loc#AF-BDS","Badakhshan Province","Concept representing region Badakhshan Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-BGL","class","https://w3id.org/dpv/loc#AF-BGL","Baghlan Province","Concept representing region Baghlan Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-DAY","class","https://w3id.org/dpv/loc#AF-DAY","Daykundi Province","Concept representing region Daykundi Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-FRA","class","https://w3id.org/dpv/loc#AF-FRA","Farah Province","Concept representing region Farah Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-FYB","class","https://w3id.org/dpv/loc#AF-FYB","Faryab Province","Concept representing region Faryab Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-GHA","class","https://w3id.org/dpv/loc#AF-GHA","Ghazni Province","Concept representing region Ghazni Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-GHO","class","https://w3id.org/dpv/loc#AF-GHO","Ghor Province","Concept representing region Ghor Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-HEL","class","https://w3id.org/dpv/loc#AF-HEL","Helmand Province","Concept representing region Helmand Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-HER","class","https://w3id.org/dpv/loc#AF-HER","Herat Province","Concept representing region Herat Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-JOW","class","https://w3id.org/dpv/loc#AF-JOW","Jowzjan Province","Concept representing region Jowzjan Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-KAB","class","https://w3id.org/dpv/loc#AF-KAB","Kabul Province","Concept representing region Kabul Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-KAN","class","https://w3id.org/dpv/loc#AF-KAN","Kandahar Province","Concept representing region Kandahar Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-KAP","class","https://w3id.org/dpv/loc#AF-KAP","Kapisa Province","Concept representing region Kapisa Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-KDZ","class","https://w3id.org/dpv/loc#AF-KDZ","Kunduz Province","Concept representing region Kunduz Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-KHO","class","https://w3id.org/dpv/loc#AF-KHO","Khost Province","Concept representing region Khost Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-KNR","class","https://w3id.org/dpv/loc#AF-KNR","Kunar Province","Concept representing region Kunar Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-LAG","class","https://w3id.org/dpv/loc#AF-LAG","Laghman Province","Concept representing region Laghman Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-LOG","class","https://w3id.org/dpv/loc#AF-LOG","Logar Province","Concept representing region Logar Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-NAN","class","https://w3id.org/dpv/loc#AF-NAN","Nangarhar Province","Concept representing region Nangarhar Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AF-NIM","class","https://w3id.org/dpv/loc#AF-NIM","Nimroz Province","Concept representing region Nimroz Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
