"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"API","class","https://w3id.org/dpv/tech#API","API","A set of rules and protocols to communicate and exchange data between applications","https://w3id.org/dpv#Technology","","https://w3id.org/dpv/tech#Algorithm","","2024-12-01","","tech","https://w3id.org/dpv/tech"
"Action","class","https://w3id.org/dpv/tech#Action","Action","A process or activity, which could be physical or virtual","","https://w3id.org/dpv/tech#InputOutput","https://w3id.org/dpv/tech#InputOutput","Action is a concept referring to activities or tasks in the context of technologies producing or using them as inputs or outputs","2024-12-01","","tech","https://w3id.org/dpv/tech"
"Actor","class","https://w3id.org/dpv/tech#Actor","Actor","Actors and Entities involved in provision, use, and management of Technology","","https://w3id.org/dpv#Entity","https://w3id.org/dpv#Entity","","2022-06-15","","tech","https://w3id.org/dpv/tech"
"Algorithm","class","https://w3id.org/dpv/tech#Algorithm","Algorithm","A step-by-step set of instructions used to solve a problem or perform a computation","https://w3id.org/dpv#Technology","","https://w3id.org/dpv#Technology","","2024-12-01","","tech","https://w3id.org/dpv/tech"
"Android","class","https://w3id.org/dpv/tech#Android","Android","Android operating system","https://w3id.org/dpv#Technology","","https://w3id.org/dpv/tech#OS","","2022-06-15","","tech","https://w3id.org/dpv/tech"
"AppStore","class","https://w3id.org/dpv/tech#AppStore","Application Store","An application or platform for distribution of other applications","https://w3id.org/dpv#Technology","","https://w3id.org/dpv/tech#Application","","2022-06-15","","tech","https://w3id.org/dpv/tech"
"Application","class","https://w3id.org/dpv/tech#Application","Application","Application or Application Software","https://w3id.org/dpv#Technology","","https://w3id.org/dpv/tech#Software","","2022-06-15","","tech","https://w3id.org/dpv/tech"
"ApplicationSpecificIntegratedCircuit","class","https://w3id.org/dpv/tech#ApplicationSpecificIntegratedCircuit","ApplicationSpecificIntegratedCircuit","A custom-designed integrated circuit optimised for a specific task","https://w3id.org/dpv#Technology","","https://w3id.org/dpv/tech#IntegratedCircuit","","2024-12-01","","tech","https://w3id.org/dpv/tech"
"AudioContent","class","https://w3id.org/dpv/tech#AudioContent","Audio Content","Content that is or has an audio component","","https://w3id.org/dpv/tech#Content","https://w3id.org/dpv/tech#Content","","2024-12-01","","tech","https://w3id.org/dpv/tech"
"Auditor","class","https://w3id.org/dpv/tech#Auditor","Auditor","Actor that audits Technology for conformance to policies, standards, or legal requirements","https://w3id.org/dpv/tech#Actor","","https://w3id.org/dpv/tech#Partner","","2024-05-09","","tech","https://w3id.org/dpv/tech"
"Bluetooth","class","https://w3id.org/dpv/tech#Bluetooth","Bluetooth","Technology utilising bluetooth","https://w3id.org/dpv/tech#CommunicationMechanism","","https://w3id.org/dpv/tech#Networking","","2024-05-09","","tech","https://w3id.org/dpv/tech"
"Capability","class","https://w3id.org/dpv/tech#Capability","Capability","Expression of what the technology is capable of achieving or providing","","","","Examples of capabilities are image recognition, sentiment analysis, machine translation","2024-05-09","","tech","https://w3id.org/dpv/tech"
"CellularNetwork","class","https://w3id.org/dpv/tech#CellularNetwork","Cellular Network","Technology utilising cellular networking","https://w3id.org/dpv/tech#CommunicationMechanism","","https://w3id.org/dpv/tech#Networking","","2024-05-09","","tech","https://w3id.org/dpv/tech"
"CloudService","class","https://w3id.org/dpv/tech#CloudService","Cloud Service Provision","A remotely accessible service delivered over the internet for providing resources, software, or infrastructure","https://w3id.org/dpv#Technology","","https://w3id.org/dpv#Technology","","2024-12-01","","tech","https://w3id.org/dpv/tech"
