Term,Label,Definition,ParentTerm,ParentType,Value,HumanDescription,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ServiceDeliveryTerm,Service Delivery Term,Term related to Service Delivery,dpv:ContractualClause,sc,,,,,,,,,,,,,,,,,,,,,,,,,,
ServiceDeliveryRequired,Service Delivery Required,Term that indicates the delivery of associated service is required and obligated,,"ieee-7012:ServiceDeliveryTerm,dpv:Obligation",,,,,,,,,,,,,,,,,,,,,,,,,,
AnalyticsTerm,Analytics Term,Term related to Analytics,dpv:ContractualClause,sc,,,,,,,,,,,,,,,,,,,,,,,,,,
AnalyticsAllowed,Analytics Allowed,Term that indicates analytics by 2nd and 3rd parties is allowed,,"ieee-7012:AnalyticsTerm,dpv:Permission",,,,,,,,,,,,,,,,,,,,,,,,,,
AnalyticsDisallowed,Analytics Disallowed,Term that indicates analytics by 2nd and 3rd parties is disallowed,,"ieee-7012:AnalyticsTerm,dpv:Prohibition",,,,,,,,,,,,,,,,,,,,,,,,,,
Analytics2PAllowed,Analytics by 2nd Party Allowed,Term that indicates analytics by 2nd Party is allowed,ieee-7012:AnalyticsAllowed,"ieee-7012:AnalyticsTerm,dpv:Permission",,,,,,,,,,,,,,,,,,,,,,,,,,
Analytics3PDisallowed,Analytics by 3rd Party Allowed,Term that indicates analytics by 3rd Party is disallowed,ieee-7012:AnalyticsDisallowed,"ieee-7012:AnalyticsTerm,dpv:Prohibition",,,,,,,,,,,,,,,,,,,,,,,,,,
TrackingTerm,Tracking Term,Term related to Tracking,dpv:ContractualClause,sc,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingAllowed,Tracking Allowed,Term that indicates Tracking by 2nd and 3rd parties is allowed,,"ieee-7012:TrackingTerm,dpv:Permission",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Tracking2PAllowed,Tracking by 2nd Party Allowed,Term that indicates Tracking 2nd Party is allowed,ieee-7012:TrackingAllowed,"ieee-7012:TrackingTerm,dpv:Permission",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingDisallowed,Tracking Disallowed,Term that indicates Tracking by 2nd and 3rd parties is disallowed,,"ieee-7012:TrackingTerm,dpv:Prohibition",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Tracking3PDisallowed,Tracking by 3rd Party Disallowed,Term that indicates Tracking 3rd Party is disallowed,ieee-7012:TrackingDisallowed,"ieee-7012:TrackingTerm,dpv:Prohibition",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingWithoutPIIAllowed,Tracking Without PII Allowed,Term that indicates Tracking is allowed but only if it does not use any PII,ieee-7012:TrackingAllowed,"ieee-7012:TrackingTerm,dpv:Permission",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingWithoutFPAllowed,Tracking Without FP Allowed,Term that indicates Tracking is allowed but only if it does not involve Fingerprinting,ieee-7012:TrackingAllowed,"ieee-7012:TrackingTerm,dpv:Permission",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingWithPIIDisallowed,Tracking With PII Disallowed,Term that indicates Tracking involving use of PII is not allowed,ieee-7012:TrackingDisallowed,"ieee-7012:TrackingTerm,dpv:Prohibition",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingWithFPDisallowed,Tracking With FP Disallowed,Term that indicates Tracking involving use of Fingerprinting is not allowed,ieee-7012:TrackingDisallowed,"ieee-7012:TrackingTerm,dpv:Prohibition",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingTerm,Profiling Term,Term related to Profiling,dpv:ContractualClause,sc,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingAllowed,Profiling Allowed,Term that indicates Profiling is allowed,,"ieee-7012:ProfilingTerm,dpv:Permission",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Profiling2PAllowed,Profiling Allowed Only First Party,Term that indicates Profiling is allowed but only by the 1st Party,ieee-7012:ProfilingAllowed,"ieee-7012:ProfilingTerm,dpv:Permission",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingDisallowed,Profiling Disallowed,Term that indicates Profiling is not allowed,,"ieee-7012:ProfilingTerm,dpv:Prohibition",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Profiling3PDisallowed,Profiling Disallowed For Third Party,Term that indicates Profiling is not allowed by 3rd Parties,ieee-7012:ProfilingDisallowed,"ieee-7012:ProfilingTerm,dpv:Prohibition",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ProfilingWithoutPIIAllowed,Profiling Allowed Only Non PII,Term that indicates Profiling is allowed but only if it uses non-PII,ieee-7012:ProfilingAllowed,"ieee-7012:ProfilingTerm,dpv:Permission",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
