Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Context,Context,Contextually relevant information,dpv:Concept,a,,,,"Context is a catch-all concept for information of relevance not possible to represent through other core concepts. DPV offers specific contextual concepts such as Necessity, Frequency, and Duration. More can be created by extending Context within use-cases.",,2019-04-05,2022-06-15,accepted,"Harshvardhan J. Pandit, Javier Fernández, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,
Importance,Importance,An indication of 'importance' within a context,dpv:Context,sc,,,,"Importance can be used to express importance, desirability, relevance, or significance as a context.",,2022-02-09,,accepted,"Harshvardhan J. Pandit, Paul Ryan, Georg P. Krog, Julian Flake, Beatriz Esteves",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,,,
PrimaryImportance,Primary Importance,Indication of 'primary' or 'main' or 'core' importance,,dpv:Importance,,,,,,2022-02-10,,accepted,"Harshvardhan J. Pandit, Paul Ryan, Georg P. Krog, Julian Flake, Beatriz Esteves",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,,,
SecondaryImportance,Secondary Importance,Indication of 'secondary' or 'minor' or 'auxiliary' importance,,dpv:Importance,,,,,,2022-02-11,,accepted,"Harshvardhan J. Pandit, Paul Ryan, Georg P. Krog, Julian Flake, Beatriz Esteves",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,,,
Necessity,Necessity,An indication of 'necessity' within a context,dpv:Context,sc,,,,"Necessity can be used to express need, essentiality, requirement, or compulsion.",,2022-02-12,,accepted,"Harshvardhan J. Pandit, Paul Ryan, Georg P. Krog, Julian Flake, Beatriz Esteves",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,,,
Required,Required,Indication of 'required' or 'necessary',,dpv:Necessity,,,,,,2022-02-13,,accepted,"Harshvardhan J. Pandit, Paul Ryan, Georg P. Krog, Julian Flake, Beatriz Esteves",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,,,
StatutoryRequirement,Statutory Requirement,Indication that the requirement arises from a statutory or legal obligation,dpv:Required,dpv:Necessity,,,,,,,,proposed,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,
ContractualRequirement,Contractual Requirement,Indication that the requirement arises from a contractual obligation,dpv:Required,dpv:Necessity,,,,,,,,proposed,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,
EnteringIntoContractRequirement,Entering into Contract Requirement,Indication that the requirement arises as a necessity to enter into a contract,dpv:Required,dpv:Necessity,,,,,,,,proposed,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,
Optional,Optional,Indication of 'optional' or 'voluntary',,dpv:Necessity,,,,,,2022-02-14,,accepted,"Harshvardhan J. Pandit, Paul Ryan, Georg P. Krog, Julian Flake, Beatriz Esteves",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,,,
NotRequired,Not Required,Indication of neither being required nor optional i.e. not relevant or needed,,dpv:Necessity,,,,,,2022-02-15,,accepted,"Harshvardhan J. Pandit, Paul Ryan, Georg P. Krog, Julian Flake, Beatriz Esteves",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,,,
Scope,Scope,Indication of the extent or range or boundaries associated with(in) a context,dpv:Context,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
Justification,Justification,"A form of documentation providing reasons, explanations, or justifications",dpv:Context,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
