Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
ContractStatus,Contract Status,Status associated with a contract,dpv:Status,sc,,,,,,2024-08-27,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,
ContractPreparationStatus,Contract Preparation Status,Status associated with preparation of contracts before they are signed or accepted or executed,dpv:ContractStatus,sc,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractDrafted,Contract Drafted,Status representing the drafting of contract text has been completed and it can now be offered for signing,,dpv:ContractPreparationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractOffered,Contract Offered,Status representing contract has been offered to a party or to parties for reviewing and signing,,dpv:ContractPreparationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractUnderReview,Contract Under Review,Status representing contract is under review and is being considered for signing,,dpv:ContractPreparationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractReviewed,Contract Reviewed,Status representing contract has been reviewed,,dpv:ContractPreparationStatus,,,,,,2025-01-09,,,,,,,,,,,,,,,,,,,,,
ContractUnderNegotiation,Contract Under Negotiation,Status representing contract is under negotiation between parties,,dpv:ContractPreparationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractNegotiated,Contract Negotiated,Status representing contract has been successfully negotiated by involved parties,,dpv:ContractPreparationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractRejected,Contract Rejected,Status representing contract has been rejected and cannot be used for signing,,dpv:ContractPreparationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractApproved,Contract Approved,Status representing contract has been approved and can be used for signing,,dpv:ContractPreparationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractExecutionStatus,Contract Execution Status,Status associated with execution of a contract (i.e. signing and procedural aspects before the contract terms come in to effect),dpv:ContractStatus,sc,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractPartiallySigned,Contract Partially Signed,Status representing contract has been partially signed by parties i.e. some parties have signed the contract and others are yet to make a decision to sign it,,dpv:ContractExecutionStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractFullySigned,Contract Fully Signed,Status representing contract has been signed by all concerned parties,,dpv:ContractExecutionStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractSignedByParty,Contract Signed By Party,Status representing contract has been signed by the indicated signing party,,dpv:ContractExecutionStatus,,,,"The signing party can be expressed using dpv:hasParty with the status along with metadata such as a timestamp, or the status can be used to list whether each party in the contract has signed or not e.g. it is reviewing the contract",,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractFullyExecuted,Contract Fully Executed,Status representing contract has been fully executed i.e. it has been signed by all parties and all other procedural aspects such as exchange of signed contract copies have been completed,,dpv:ContractExecutionStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractActivationStatus,Contract Activation Status,Status associated with activation of a contract i.e. whether its terms are active and are required to be performed,dpv:ContractStatus,sc,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
