Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
ContractTypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSubjectContract,Data Subject Contract,"Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Data Subject as parties, and involving specified processing of data or technologies. NOTE: This concept is being deprecated - use dpv:ControllerDataSubjectAgreement which has a more explicit definition of the entities involved and the intent of the contract",dpv:DataProcessingAgreement,dpv:LegalBasis,,,,,,2023-12-10,2024-08-27,sunset,,,,,,,,,,,,,,,,,,,
DataProcessorContract,Data Processor Contract,"Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Data Processor as parties, and involving specified processing of data or technologies. NOTE: This concept is being deprecated - use dpv:ControllerProcessorAgreement which has a more explicit definition of the entities involved and the intent of the contract",dpv:DataProcessingAgreement,dpv:LegalBasis,,,,,,2023-12-10,2024-08-27,sunset,,,,,,,,,,,,,,,,,,,
DataControllerContract,Data Controller Contract,"Creation, completion, fulfilment, or performance of a contract, with Data Controllers as parties being Joint Data Controllers, and involving specified processing of data or technologies. NOTE: This concept is being deprecated - use dpv:JointDataControllersAgreement which has a more explicit definition of the entities involved and the intent of the contract",dpv:DataProcessingAgreement,dpv:LegalBasis,,,,,,2023-12-10,2024-08-27,sunset,,,,,,,,,,,,,,,,,,,
ThirdPartyContract,Third Party Contract,"Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Third Party as parties, and involving specified processing of data or technologies. NOTE: This concept is being deprecated - use dpv:ThirdPartyAgreement which has a more explicit definition of the entities involved and the intent of the contract",dpv:DataProcessingAgreement,dpv:LegalBasis,,,,,,2023-12-10,2024-08-27,sunset,,,,,,,,,,,,,,,,,,,
DataProcessingAgreement,Data Processing Agreement,"An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data",dpv:Contract,"dpv:LegalBasis,dpv:LegalMeasure",,,,"For specific role-based data processing agreements, see concepts for Processors and JointDataController agreements.",,2022-01-26,2024-12-17,modified,"Georg P. Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake",https://www.w3.org/2022/01/26-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ControllerDataSubjectAgreement,Controller-Data Subject Agreement,"An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data between a Data Controller and a Data Subject",dpv:DataSubjectContract,"dpv:LegalBasis,dpv:LegalMeasure",,,,,,2024-08-27,2024-08-27,modified,,,,,,,,,,,,,,,,,,,
ControllerProcessorAgreement,Controller-Processor Agreement,"An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data between a Data Controller and a Data Processor",dpv:DataProcessorContract,"dpv:LegalBasis,dpv:LegalMeasure",,,,,,2022-01-26,2024-08-27,modified,"Georg P. Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake",https://www.w3.org/2022/01/26-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
JointDataControllersAgreement,Joint Data Controllers Agreement,"An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data between Controllers within a Joint Controllers relationship",dpv:DataControllerContract,"dpv:LegalBasis,dpv:LegalMeasure",,,,,,2022-01-26,2024-08-27,modified,"Georg P. Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake",https://www.w3.org/2022/01/26-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SubProcessorAgreement,Sub-Processor Agreement,"An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data between a Data Processor and a Data (Sub-)Processor",dpv:DataProcessingAgreement,"dpv:LegalBasis,dpv:LegalMeasure",,,,,,2022-01-26,2024-08-27,modified,"Georg P. Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake",https://www.w3.org/2022/01/26-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ThirdPartyAgreement,Third-Party Agreement,"An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for carrying out processing of data between a Data Controller or Processor and a Third Party",dpv:ThirdPartyContract,"dpv:LegalBasis,dpv:LegalMeasure",,,,,,2022-02-09,2024-08-27,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ContractByNegotiationType,Contract by Negotiation Type,A generic concept representing contracts categorised based on their use or absence of negotiation in the contract forming process,dpv:Contract,dpv:LegalBasis,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,
StandardFormContract,Standard Form Contract,"A contract where the terms and conditions are determined by one or more of the parties, and the other parties have negligible or no ability to negotiate the terms and conditions",dpv:ContractByNegotiationType,dpv:LegalBasis,,,,"Such a contract results in the unempowered parties being in a ""take it or leave it"" position as they can only accept or reject the contract. Standard form contracts are also known as ""Adhesion contract"" or ""Boilerplate contract""",,2024-08-27,,accepted,,,,,,,,,,,,,,,,
ProviderStandardFormContract,Provider Standard Form Contract,"A contract where the terms and conditions are determined by parties in the role of a 'provider', and the other parties have negligible or no ability to negotiate the terms and conditions",dpv:StandardFormContract,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
ConsumerStandardFormContract,Consumer Standard Form Contract,"A contract where the terms and conditions are determined by parties in the role of a 'consumer' - whether an entity or an individual, and the other parties have negligible or no ability to negotiate the terms and conditions",dpv:StandardFormContract,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
NegotiatedContract,Negotiated Contract,A contract where the terms and conditions are determined with all parties having the ability to negotiate the terms and conditions,dpv:ContractByNegotiationType,dpv:LegalBasis,,,,"Negotiation here refers to the opportunity for a party on their own initiative to modify or dictate terms and conditions within a contract. If the party is provided a set of options to choose from or in other ways is dictated which terms and conditions can be present in the contract, neither of these should be considered a negotiation",,2024-08-27,,accepted,,,,,,,,,,,,,,,,
ContractByEntityType,Contract by Entity Type,"A generic concept representing contracts categorised by the type of entities involved - such as Businesses (B), Consumers (C), and Governments (G)",dpv:Contract,dpv:LegalBasis,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,
B2BContract,Business-to-Business Contract,A contract between two businesses,dpv:ContractByEntityType,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
B2CContract,Business-to-Consumer Contract,A contract between a business and a consumer where the business provides goods or services to the consumer,dpv:ContractByEntityType,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
B2B2CContract,Business-to-Business-to-Consumer Contract,A contract between two businesses who partner together to provide services to a consumer,"dpv:B2BContract,dpv:B2CContract",dpv:LegalBasis,,,,,,2024-08-27,,accepted,"Beatriz Esteves, Georg P. Krog",,,,,,,,,,,,,,,
C2CContract,Consumer-to-Consumer Contract,A contract between two consumers,dpv:ContractByEntityType,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
C2BContract,Consumer-to-Business Contract,A contract between a consumer and a business where the business purchases goods or services from the consumer,dpv:ContractByEntityType,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
G2BContract,Government-to-Business Contract,A contract between a government and a business,dpv:ContractByEntityType,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
G2GContract,Government-to-Government Contract,A contract between two governments or government departments or units,dpv:ContractByEntityType,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
G2CContract,Government-to-Consumer Contract,A contract between a government and consumers,dpv:ContractByEntityType,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
B2GContract,,,,,,,,,,,,,Georg P. Krog,
C2GContract,,,,,,,,,,,,,Georg P. Krog,
ContractByDomain,Contract by Domain,A generic concept representing contracts categorised by specific domains which dictate the drafting and interpretation of contracts,dpv:Contract,dpv:LegalBasis,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,
EmploymentContract,Employment Contract,A contract regarding employment between an employer and an employee,dpv:ContractByDomain,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
DistributionAgreement,Distribution Agreement,A contract regarding supply of data or technologies between a distributor and a supplier,dpv:ContractByDomain,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
LicenseAgreement,License Agreement,A Legal Document providing permission to utilise data or resource and outlining the conditions under which such use is considered valid,dpv:ContractByDomain,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
ServiceLevelAgreement,Service Level Agreement (SLA),A contract regarding the provision of a service which outlines the acceptable metrics and performance of the service for the consumer,dpv:ContractByDomain,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,
EULA,End User License Agreement (EULA),End User License Agreement is a contract entered into between a software (or service) developer or provider with the (end-)user,dpv:LicenseAgreement,dpv:LegalBasis,,,,,,2024-08-27,,accepted,,https://www.w3.org/2021/06/30-dpvcg-minutes.html,,,,,,,,,,,,,,
