Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
DGA specific statuses in dpv-DGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGALawfulness,DGA Lawfulness,Status or state associated with being lawful or legally compliant regarding DGA,,dpv:Lawfulness,,,,,,2024-07-21,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves",,,,,,,,,,,,,,,,,
DGACompliant,DGA Compliant,State of being lawful or legally compliant for DGA,eu-dga:DGALawfulness,dpv:Lawfulness,,,,,,2024-07-21,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves",,,,,,,,,,,,,,,,,
DGANonCompliant,DGA Non-compliant,State of being unlawful or legally non-compliant for DGA,eu-dga:DGALawfulness,dpv:Lawfulness,,,,,,2024-07-21,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves",,,,,,,,,,,,,,,,,
DGAComplianceUnknown,DGA Compliance Unknown,State where lawfulness or compliance with DGA is unknown,eu-dga:DGALawfulness,dpv:Lawfulness,,,,,,2024-07-21,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
