Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Data,,,,,,,,,,,,,,
ElectronicHealthRecord,Electronic Health Record (EHR),Information about electronic health record,pd:HealthRecord,dpv:PersonalData,now it is EHRData,,,,EHDS Art.33.1(a),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
EHR,Electronic Health Record (EHR),"Electronic health record (EHR) means a collection of electronic health data related to a natural person and collected in the health system, processed for the purpose of the provision of healthcare",sector-health:EHR,dpv:PersonalData,,,,This concept represents the EHR itself with EHRData referring to data within it,EHDS Art.2.2(j),2026-02-13,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
EHRData,Electronic Health Record (EHR) Data,Information about data from electronic health records,sector-health:EHRData,dpv:PersonalData,,,,This concept represents the data within EHR and not the EHR itself,EHDS Art.51.1(a),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
SocialData,Social Data,Information about social data impacting on health,pd:Health,dpv:PersonalData,now it SocioeconomicHealthDeterminant,,,,EHDS Art.33.1(b),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
SocioeconomicHealthDeterminant,Socioeconomic Health Determinant,Information about socioeconomic data impacting on health,sector-health:SocioeconomicHealthDeterminant,dpv:PersonalData,,,,,EHDS Art.51.1(b),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
EnvironmentalData,Environmental Data,Information about environmental data impacting on health,pd:Health,dpv:PersonalData,now it is EnvironmentalHealthDeterminant,,,,EHDS Art.33.1(b),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
EnvironmentalHealthDeterminant,Environmental Health Determinant,Information about environmental data impacting on health,sector-health:EnvironmentalHealthDeterminant,dpv:PersonalData,,,,,EHDS Art.51.1(b),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
BehaviouralData,Behavioural Data,Information about behavioural data impacting on health,pd:Health,dpv:PersonalData,now it is BehaviouralHealthDeterminant,,,,EHDS Art.33.1(b),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
BehaviouralHealthDeterminant,Behavioural Health Determinant,Information about behavioural data impacting on health,sector-health:BehaviouralHealthDeterminant,dpv:PersonalData,,,,,EHDS Art.51.1(b),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthcareNeedsAggregatedData,Healthcare Needs Aggregated Data,Information about aggregated data on healthcare needs,sector-health:HealthAggregatedData,dpv:AggregatedData,,,,,EHDS Art.51.1(c),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthcareResourcesAggregatedData,Healthcare Resources Aggregated Data,Information about aggregated data on resources allocated to healthcare,sector-health:HealthAggregatedData,dpv:AggregatedData,,,,,EHDS Art.51.1(c),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthcareProvisionAggregatedData,Healthcare Provision Aggregated Data,Information about aggregated data on the provision of and access to healthcare,sector-health:HealthAggregatedData,dpv:AggregatedData,,,,,EHDS Art.51.1(c),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthcareFinancingAggregatedData,Healthcare Financing Aggregated Data,Information about aggregated data on healthcare expenditure and financing,sector-health:HealthAggregatedData,dpv:AggregatedData,,,,,EHDS Art.51.1(c),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PathogenGenomicData,Pathogen Genomic Data,"Information about relevant pathogen genomic data, impacting on human health",,dpv:NonPersonalData,now it is PathogenData,,,This is classified as non-personal data according to EHDS Recital 39,EHDS Art.33.1(c),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
PathogenData,Pathogen Data,"Information about relevant pathogen data, impacting on human health",sector-health:PathogenData,dpv:NonPersonalData,,,,,EHDS Art.51.1(d),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthAdminData,Health-related Administrative Data,Information about health-related administrative data,sector-health:HealthAdminData,dpv:PersonalData,,,,,EHDS Art.51.1(e),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
ClaimData,Health-related Claim Data,Information about health-related claims data,eu-ehds:HealthAdminData,dpv:PersonalData,now it is ClaimAdminData,,,,EHDS Art.33.1(d),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
ClaimAdminData,Health-related Administrative Data on Claims,Information about health-related administrative data on claims,sector-health:ClaimAdminData,dpv:PersonalData,,,,,EHDS Art.51.1(e),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ReimbursementData,Health-related Reimbursement Data,Information about health-related reimbursement data,eu-ehds:HealthAdminData,dpv:PersonalData,now it is ReimbursementAdminData,,,,EHDS Art.33.1(d),2024-12-01,2026-02-04,deprecated,Beatriz Esteves,,,,,,,,,,,,,,,,
ReimbursementAdminData,Health-related Administrative Data on Reimbursements,Information about health-related administrative data on reimbursements,sector-health:ReimbursementAdminData,dpv:PersonalData,,,,,EHDS Art.51.1(e),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
DispensationAdminData,Health-related Administrative Data on Dispensations,Information about health-related administrative data on dispensations,sector-health:DispensationAdminData,dpv:PersonalData,,,,,EHDS Art.51.1(e),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
GenomicData,Genomic Data,Information about genomic data,sector-health:GenomicData,dpv:PersonalData,,,,,EHDS Art.51.1(f),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
EpigenomicData,Epigenomic Data,Information about epigenomic data,sector-health:EpigenomicData,dpv:PersonalData,,,,,EHDS Art.51.1(f),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ProteomicData,Proteomic Data,Information about proteomic data,sector-health:ProteomicData,dpv:PersonalData,,,,,EHDS Art.51.1(g),2024-12-01,2026-02-04,modified,Beatriz Esteves,,,,,,,,,,,,,,,,
TranscriptomicData,Transcriptomic Data,Information about transcriptomic data,sector-health:TranscriptomicData,dpv:PersonalData,,,,,EHDS Art.51.1(g),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
MetabolomicData,Metabolomic Data,Information about metabolomic data,sector-health:MetabolomicData,dpv:PersonalData,,,,,EHDS Art.51.1(g),2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
