Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
PublicInterestRelatedToHealth,Public Interest related to Health,Purposes associated with pursuing activities for reasons of public interest in the area of public and occupational health,,dpv:Purpose,,,,,EHDS Art.34.1(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ProtectAgainstCrossBorderThreatsToHealth,Protect against Cross-border Threats to Health,Purposes associated with the protection against serious cross-border threats to health,eu-ehds:PublicInterestRelatedToHealth,dpv:Purpose,,,,,EHDS Art.34.1(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PublicHealthSurveillance,Public Health Surveillance,Purposes associated with public health surveillance,eu-ehds:PublicInterestRelatedToHealth,dpv:Purpose,,,,,EHDS Art.34.1(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
EnsureQualitySafetyHealthcare,Ensure Quality and Safety of Healthcare,Purposes associated with ensuring high levels of quality and safety of healthcare,eu-ehds:PublicInterestRelatedToHealth,dpv:Purpose,,,,,EHDS Art.34.1(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
EnsureQualitySafetyMedicinalProducts,Ensure Quality and Safety of Medicinal Products,Purposes associated with ensuring high levels of quality and safety of medicinal products,eu-ehds:PublicInterestRelatedToHealth,dpv:Purpose,,,,,EHDS Art.34.1(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
EnsureQualitySafetyMedicalDevices,Ensure Quality and Safety of Medical Devices,Purposes associated with ensuring high levels of quality and safety of medical devices,eu-ehds:PublicInterestRelatedToHealth,dpv:Purpose,,,,,EHDS Art.34.1(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
SupportAuthoritiesRegulatoryActivities,Support Authorities in Regulatory Activities,Purposes associated with supporting authorities to carry out their regulatory tasks,dpv:LegalCompliance,dpv:Purpose,,,,,EHDS Art.34.1(b),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ProvideHealthcareOfficialStatistics,Provide Healthcare Official Statistics,"Purposes associated with facilitating the development, production and dissemination of reliable official statistics related to health or care sectors",eu-dga:ProvideOfficialStatistics,dpv:Purpose,,,,,EHDS Art.34.1(c),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ImproveHealthcareEducation,Improve Healthcare Education,Purposes associated with improving the provision of healthcare education,eu-dga:ImprovePublicServices,dpv:Purpose,,,,,EHDS Art.34.1(d),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthcareScientificResearch,Healthcare Scientific Research,Purposes associated with healthcare scientific research,eu-dga:ScientificResearch,dpv:Purpose,,,,,EHDS Art.34.1(e),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
