Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,,,
A3,A3 Right of natural persons to access their personal electronic health data,Right of natural persons to access personal electronic health data relating to them that belong to the priority categories referred to in Article 14 and are processed for the provision of healthcare through the electronic health data access services referred to in Article 4,,dpv:Right,,,,,EHDS Art.3,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A5,A5 Right of natural persons to insert information in their own EHR,Right of natural persons to insert information in their EHR through electronic health data access services or applications linked to those services,,dpv:Right,,,,,EHDS Art.5,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A6,A6 Right of natural persons to rectification,Right of natural persons to request online the rectification of their personal electronic health data,,dpv:Right,,,,,EHDS Art.6,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A7,A7 Right to data portability for natural persons,"Right of natural persons to give access to, or to request a healthcare provider to transmit, all or part of their personal electronic health data to another healthcare provider of their choice",,dpv:Right,,,,,EHDS Art.7,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A8,A8 Right to restrict access,Right of natural persons to restrict the access of health professionals and healthcare providers to all or parts of their personal electronic health data,,dpv:Right,,,,,EHDS Art.8,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A9,A9 Right to obtain information on accessing data,"Right of natural persons to obtain information, including through automatic notifications, on any access to their personal electronic health data through the health professional access service obtained in the context of healthcare",,dpv:Right,,,,,EHDS Art.9,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A10,A10 Right of natural persons to opt out from primary use,Right of natural persons to opt out from the access to their personal electronic health data registered in an EHR system through the electronic health data access services,,dpv:Right,,,,,EHDS Art.10,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A16-1,A16-1 Right of identification management,Right of natural persons to identify themselves electronically using any electronic identification means which are recognised pursuant to Article 6 of Regulation (EU) No 910/2014,,dpv:Right,,,,,EHDS Art.16.1,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A21,A21 Right to lodge a complaint with a digital health authority,Right of natural and legal persons to lodge a complaint with the competent digital health authority,,dpv:Right,,,,,EHDS Art.21,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A68-11,A68-11 Right to process in a secure processing environment,Right of health data users to access and process the electronic health data in a secure processing environment in accordance with the data permit issued to them,,dpv:Right,,,,,EHDS Art.68.11,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A71,A71 Right of natural persons to opt out from secondary use,"Right of natural persons to opt out at any time, and without providing any reason, from the processing of personal electronic health data relating to them for secondary use ",,dpv:Right,,,,,EHDS Art.71,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
A100,A100 Right to receive compensation,Right of natural and legal persons to receive compensation in accordance with EU and national law in case that they have suffered material or non-material damage as a result of an infringement of the EHDS Regulation,,dpv:Right,,,,,EHDS Art.100,2025-10-28,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,,
