Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
HumanSubject,Human Subject,The individual (or category of individuals) that is the subject within some context such as personal data (dpv:DataSubject) or technology (tech:Subject),dpv:LegalEntity,sc,,,,,,2024-12-17,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
DataSubject,Data Subject,The individual (or category of individuals) whose personal data is being processed,dpv:HumanSubject,sc,,,,"The term 'data subject' is specific to the GDPR, but is functionally equivalent to the term 'individual associated with data' and the ISO/IEC term 'PII Principle'","(GDPR Art.4-1g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/oj)",2019-04-05,2024-12-17,modified,"Axel Polleres, Javier Fernández",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Child,Child,A 'child' is a natural legal person who is below a certain legal age depending on the legal jurisdiction.,dpv:VulnerableHuman,dpv:HumanSubject,,,,"The legality of age defining a child varies by jurisdiction. In addition, 'child' is distinct from a 'minor'. For example, the legal age for consumption of alcohol can be 21, which makes a person of age 20 a 'minor' in this context. In other cases, 'minor' and 'child' are used interchangeably to refer to a person below some legally defined age.",,2020-11-25,2024-12-17,modified,Harshvardhan J. Pandit,https://www.w3.org/2020/11/25-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Adult,Adult,A natural person that is not a child i.e. has attained some legally specified age of adulthood,,dpv:HumanSubject,,,,,,2022-03-30,2024-12-17,modified,Georg P. Krog,https://www.w3.org/2022/03/30-dpvcg-minutes.html
VulnerableHuman,Vulnerable Human,Human(s) which should be considered 'vulnerable' within the context,,dpv:HumanSubject,,,,,,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
VulnerableDataSubject,Vulnerable Data Subject,Humans which should be considered 'vulnerable' and therefore would require additional measures and safeguards,dpv:VulnerableHuman,dpv:HumanSubject,,,,"This concept denotes a Data Subject or a group are vulnerable, but not what vulnerability they possess or its context. This information can be provided additionally as comments, or as separate concepts and relations. Proposals for this are welcome.",,2020-11-04,2024-12-17,modified,"Georg P. Krog, Paul Ryan, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
Patient,Patient,"Humans that receive medical attention, treatment, care, advice, or other health related services",,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Employee,Employee,Humans that are employees,,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Student,Student,Humans that are students,,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Citizen,Citizen,Humans that are citizens (for a jurisdiction),,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
NonCitizen,Non-Citizen,Humans that are not citizens (for a jurisdiction),,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Immigrant,Immigrant,Humans that are immigrants (for a jurisdiction),,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Tourist,Tourist,Humans that are tourists i.e. not citizens and not immigrants,,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Customer,Customer,Humans that purchase goods or services,,dpv:HumanSubject,,,,"note: for B2B relations where customers are organisations, this concept only applies for data subjects",,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Consumer,Consumer,Humans that consume goods or services for direct use,,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
User,User,Humans that use service(s),,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
JobApplicant,Job Applicant,Humans that apply for jobs or employments,,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Visitor,Visitor,Humans that are temporary visitors,,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Member,Member,"Humans that are members of a group, organisation, or other collectives",,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Applicant,Applicant,Humans that are applicants in some context,,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Subscriber,Subscriber,Humans that subscribe to service(s),,dpv:HumanSubject,,,,note: subscriber can be customer or consumer,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Client,Client,Humans that are clients or recipients of services,dpv:Customer,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
Participant,Participant,Humans that participate in some context such as volunteers in a function,,dpv:HumanSubject,,,,,,2022-04-06,2024-12-17,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Paul Ryan, Beatriz Esteves",https://www.w3.org/2022/04/06-dpvcg-minutes.html
MentallyVulnerableHuman,Mentally Vulnerable Human,Humans that are considered mentally vulnerable within the context,dpv:VulnerableHuman,dpv:HumanSubject,,,,,,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
MentallyVulnerableDataSubject,Mentally Vulnerable Data Subject,Data subjects that are considered mentally vulnerable,"dpv:VulnerableDataSubject,dpv:MentallyVulnerableHuman",dpv:HumanSubject,,,,,,2022-06-15,2024-12-17,modified,Georg P. Krog,https://www.w3.org/2022/06/15-dpvcg-minutes.html
AsylumSeeker,Asylum Seeker,Humans that are asylum seekers,dpv:VulnerableHuman,dpv:HumanSubject,,,,,,2022-06-15,2024-12-17,modified,Georg P. Krog,https://www.w3.org/2022/06/15-dpvcg-minutes.html
ElderlyHuman,,Humans that are considered elderly (i.e. based on age),dpv:VulnerableHuman,dpv:HumanSubject,,,,,,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ElderlyDataSubject,Elderly Data Subject,Data subjects that are considered elderly (i.e. based on age),dpv:VulnerableDataSubject,dpv:HumanSubject,,,,,,2022-06-15,2024-12-17,modified,Georg P. Krog,https://www.w3.org/2022/06/15-dpvcg-minutes.html
ParentOfHuman,,Parent(s) of humans,,dpv:HumanSubject,,,,,,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ParentOfDataSubject,Parent(s) of Data Subject,Parent(s) of data subjects such as children,dpv:ParentOfHuman,dpv:HumanSubject,,,,,,2022-08-03,2024-12-17,modified,Georg P. Krog,https://lists.w3.org/Archives/Public/public-dpvcg/2022Jul/0003.html
GuardianOfHuman,,Guardian(s) og humans,,dpv:HumanSubject,,,,,,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
GuardianOfDataSubject,Guardian(s) of Data Subject,Guardian(s) of data subjects such as children,dpv:GuardianOfHuman,dpv:HumanSubject,,,,,,2022-08-03,2024-12-17,modified,Georg P. Krog,https://lists.w3.org/Archives/Public/public-dpvcg/2022Jul/0003.html
