Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution
hasDataController,has data controller,Indicates association with Data Controller,dpv:Concept,dpv:DataController,dpv:hasEntity,,,,,2019-04-04,2020-11-04,accepted,"Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
hasJointDataControllers,has joint data controllers,Indicates inclusion or applicability of a Joint Data Controller,dpv:Concept,dpv:JointDataControllers,dpv:hasDataController,,,,,2022-02-09,,accepted,"Paul Ryan, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,
hasDataProcessor,has data processor,Indicates inclusion or applicability of a Data Processor,dpv:Concept,dpv:DataProcessor,dpv:hasRecipient,,,,,2022-02-09,,accepted,"Paul Ryan, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,
hasRecipient,has recipient,Indicates Recipient of Data,dpv:Concept,dpv:Recipient,dpv:hasEntity,,,,"(SPECIAL Project,https://specialprivacy.ercim.eu/)",2019-04-04,2020-11-04,accepted,"Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
hasRecipientDataController,has recipient data controller,Indicates inclusion or applicability of a Data Controller as a Recipient of persona data,dpv:Concept,dpv:DataController,dpv:hasRecipient,,,,,2022-02-09,,accepted,"Paul Ryan, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,
hasRecipientThirdParty,has recipient third party,Indicates inclusion or applicability of a Third Party as a Recipient of persona data,dpv:Concept,dpv:ThirdParty,dpv:hasRecipient,,,,,2022-02-09,,accepted,"Paul Ryan, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,
hasThirdParty,has third party,Indicates association with Third Party,dpv:Concept,dpv:ThirdParty,dpv:hasEntity,,,,,2025-02-02,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasDataExporter,has data exporter,Indicates inclusion or applicability of a LegalEntity in the role of Data Exporter,dpv:Concept,dpv:DataExporter,dpv:hasEntity,,,,,2022-02-09,,accepted,"Paul Ryan, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,
hasDataImporter,has data importer,Indicates inclusion or applicability of a LegalEntity in the role of Data Importer,dpv:Concept,dpv:DataImporter,dpv:hasRecipient,,,,,2022-02-09,,accepted,"Paul Ryan, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,
hasDataProtectionOfficer,has data protection officer,Specifies an associated data protection officer,dpv:Concept,dpv:DataProtectionOfficer,dpv:hasRepresentative,,,,,2022-03-02,,accepted,"Paul Ryan, Rob Brennan",https://www.w3.org/2022/03/02-dpvcg-minutes.html,,,,,,,,,,,,,
hasServiceProvider,has service provider,Indicates the entity that provides the associated service,dpv:Service,dpv:ServiceProvider,dpv:hasEntity,,,,,2024-04-20,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasServiceConsumer,has service consumer,Indicates the entity that consumes or receives the associated service,dpv:Service,dpv:ServiceConsumer,dpv:hasEntity,,,,,2024-04-20,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
