Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Organisation,Organisation,A general term reflecting a company or a business or a group acting as a unit,dpv:LegalEntity,sc,,,,,,2022-02-02,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/02/02-dpvcg-minutes.html,,,,,,,,,,,,,
IndustryConsortium,Industry Consortium,A consortium established and comprising on industry organisations,dpv:Organisation,sc,,,,,"(ADMS controlled vocabulary,http://purl.org/adms)",2022-02-02,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/02/02-dpvcg-minutes.html,,,,,,,,,,,,,
GovernmentalOrganisation,Governmental Organisation,An organisation managed or part of government,dpv:Organisation,sc,,,,,,2022-02-02,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/02/02-dpvcg-minutes.html,,,,,,,,,,,,,
NonGovernmentalOrganisation,Non-Governmental Organisation,An organisation not part of or independent from the government,dpv:Organisation,sc,,,,,"(ADMS controlled vocabulary,http://purl.org/adms)",2022-02-02,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/02/02-dpvcg-minutes.html,,,,,,,,,,,,,
ForProfitOrganisation,For-Profit Organisation,An organisation that aims to achieve profit as its primary goal,dpv:Organisation,sc,,,,,,2022-02-02,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/02/02-dpvcg-minutes.html,,,,,,,,,,,,,
NonProfitOrganisation,Non-Profit Organisation,An organisation that does not aim to achieve profit as its primary goal,dpv:Organisation,sc,,,,,"(ADMS controlled vocabulary,http://purl.org/adms)",2022-02-02,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/02/02-dpvcg-minutes.html,,,,,,,,,,,,,
AcademicScientificOrganisation,Academic or Scientific Organisation,"Organisations related to academia or scientific pursuits e.g. Universities, Schools, Research Bodies",dpv:Organisation,sc,,,,,"(ADMS controlled vocabulary,http://purl.org/adms)",2022-02-02,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/02/02-dpvcg-minutes.html,,,,,,,,,,,,,
InternationalOrganisation,International Organisation,"An organisation and its subordinate bodies governed by public international law, or any other body which is set up by, or on the basis of, an agreement between two or more countries",dpv:Organisation,sc,,,,,"(GDPR Art.4-26,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_26/oj)",2022-03-23,2020-10-05,accepted,"Julian Flake, Georg P. Krog",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,
OrganisationalUnit,Organisational Unit,Entity within an organisation that does not constitute as a separate legal entity,dpv:Entity,sc,,,,,,2022-03-23,,accepted,"Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,
CharityOrganisation,Charity Organisation,,dpv:LegalEntity,sc,,,,,,,,proposed,,,,,,,,,,,,,,,
PrivateSectorBody,Private Sector Body,,dpv:LegalEntity,sc,,,,,,,,proposed,,,,,,,,,,,,,,,
PublicSectorBody,Public Sector Body,,dpv:LegalEntity,sc,,,,,,,,proposed,,,,,,,,,,,,,,,
SMEOrganisation,SME Organisation,,dpv:LegalEntity,sc,,,,,,,,proposed,,,,,,,,,,,,,,,
StartupOrganisation,Startup Organisation,,dpv:LegalEntity,sc,,,,,,,,proposed,,,,,,,,,,,,,,,
ReligiousAssociations,Religious Associations,DISCUSS TBD,dpv:Organisation,sc,,,,,,,,proposed,,,,,,,,,,,,,,,
