Status,Notes,Term (ignore),Term,Label (de),Label (en),Definition (de),Definition (en),ParentType,ParentTerm,Source,Contributors,Created,
accepted,,DatenhaltendeStelle,HealthDataHolder,Datenhaltende Stelle,Health Data Holder,"Natürliche oder juristische Personen, die berechtigt oder verpflichtet sind, Gesundheitsdaten für Forschungszwecke zu verarbeiten",Natural or legal person that is authorised or obligated to process health data for research purposes,,sector-health:HealthDataHolder,[[GDNG]] § 2(3),Julian Flake,2025-10-13,
accepted,,Datenplattform,DataPlatform,Datenplattform,Data Platform,Zusammenschlüsse von datenhaltenden Stellen zu Datenplattformen,Networks of health data holders forming data platforms,sc,de-gdng:HealthDataHolder,[[GDNG]] § 2,"Julian Flake, Christian Draeger",2025-10-13,
accepted,,Dateninfrastruktur,DataInfrastructure,Dateninfrastruktur,Data Infrastructure,Zusammenschlüsse von datenhaltenden Stellen zu Dateninfrastrukturen,Networks of health data holders forming data infrastructures,sc,de-gdng:HealthDataHolder,[[GDNG]] § 2,"Julian Flake, Christian Draeger",2025-10-13,
accepted,,GesetzlichGeregelteDatenhaltendeStelle,RegulatedHealthDataHolder,Gesetzlich geregelte datenhaltende Stelle,Regulated Health Data Holder,"Solche datenhaltenden Stellen, die gesetzlich geregelt sind, wie das Forschungsdatenzentrum Gesundheit, das Zentrum für Krebregisterdaten beim RKI und die Plattform nach §64e Abs.9 des fünften Buches Sozialgesetzbuch","Data holders regulated by law. Examples are the German ""Health Data Lab"", the ""German Centre for Cancer Registry Data"" and the ""Model Project Genome Sequencing""",sc,de-gdng:HealthDataHolder,[[GDNG]] § 2(3),Julian Flake,2025-10-13,
accepted,,ForschungsdatenzentrumGesundheit,HealthDataLab,Forschungsdatenzentrum Gesundheit,Health Data Lab,Forschungsdatenzentrum Gesundheit nach § 303d des Fünften Buches Sozialgesetzbuch,Health Data Lab pursuant to § 303d of Fünftes Buch Sozialgesetzbuch,a,de-gdng:RegulatedHealthDataHolder,[[GDNG]] § 2,"Julian Flake, Christian Draeger",2025-10-13,
accepted,,ZentrumFuerKrebsregisterdaten,GermanCentreForCancerRegistryData,Zentrum für Krebsregisterdaten beim Robert-Koch-Institut,German Centre for Cancer Registry Data,Zentrum für Krebsregisterdaten nach § 1 Bundeskrebsregisterdaten­gesetz,German Centre for Cancer Registry Data pursuant § 1 Bundeskrebsregisterdatengesetz,a,de-gdng:RegulatedHealthDataHolder,[[GDNG]] § 2,"Julian Flake, Christian Draeger",2025-10-13,
accepted,,PlattformModellvorhabenGenomsequenzierung,ModelProjectGenomeSequencingPlatform,Plattform des Modellvorhabens Genomsequenzierung,Model Project Genome Sequencing Platform,"Plattform nach § 64e Modellvorhaben zur umfassenden Diagnostik und Therapiefindung mittels Genomsequenzierung bei seltenen und bei onkologischen Erkrankungen, Verordnungsermächtigung des Fünften Buches Sozialgesetzbuch",Model Project Platform pursuant to § 64e of Fünften Buches Sozialgesetzbuch,a,de-gdng:RegulatedHealthDataHolder,[[GDNG]] § 2,"Julian Flake, Christian Draeger",2025-10-13,
accepted,,Datennutzende,HealthDataUser,Datennutzende,Health Data User,"Natürliche und juristische Personen, die Zugang zu Gesundheitsdaten zu Forschungszwecken und weiteren Zwecken begehren oder erhalten haben",Natural or legal person that is requesting or entitled to process health data for research purposes,,sector-health:HealthDataUser,[[GDNG]] § 2,Julian Flake,2025-10-13,
accepted,,DatenverarbeitendeGesundheitseinrichtung,DataProcessingHealthcareFacility,Datenverarbeitende Gesundheitseinrichtung,Data Processing Healthcare Facility,"Einrichtung, in der für Zwecke der Gesundheitsvorsorge oder der Arbeitsmedizin, für die Beurteilung der Arbeitsfähigkeit des Beschäftigten, für die medizinische Diagnostik oder für Zwecke der Versorgung oder Behandlung im Gesundheits- oder Sozialbereich Daten von oder unter der Verantwortung von Angehörigen eines Heilberufs verarbeitet werden, der für die Berufsausübung oder die Führung der Berufsbezeichnung eine staatlich geregelte Ausbildung erfordert","Institution which process data for the purposes of preventative or occupational medicine, for the assessment of the employee's capacity to work, for medical diagnosis, or for the purposes of care or treatment in the health or social sector under the responsibility of members of a health profession, where such a profession requires state-regulated training for the exercise of the profession or the use of the professional title",,dpv:Organisation,[[GDNG]] § 2,"Julian Flake, Christian Draeger",2025-10-13,
accepted,,DatenzugangsUndKoordinierungsStelle,DataAccessAndCoordinationOffice,Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten (DACO),Data Access and Coordination Office (DACO),"Datenzugangs- und Koordinierungsstelle für Gesundheitsdaten (DACO), angesiedelt beim Bundesinstitut für Arzneimittel und Medizinprodukte (BfArM)","Data Access and Coordination Office for Health Data (DACO), based at the Federal Institute for Drugs and Medical Devices (BfArM)",a,dpv:Authority,[[GDNG]] § 3(1),Julian Flake,2025-10-13,
