Status,Notes,Source,Term (ignore),Term,Label (de),Label (en),Definition (de),Definition (en),ParentType,ParentTerm,Contributors,Created
"Weiterverarbeitung von Versorgungsdaten zur Qualitätssicherung, zur Förderung der Patientensicherheit und zu Forschungszwecken",,,,,,,,,,,,
accepted,,[[GDNG]] Art. 1 § 6,Weiterverabeitung,HealthcareDataProcessing,Weiterverarbeitung von Versorgungsdaten nach GDNG § 6,Processing of Healthcare Data pursuant to GDNG § 6,"Weiterverarbeitung von Versorgungsdaten zur Qualitätssicherung, zur Förderung der Patientensicherheit und zu Forschungszwecken.",,,dpv:processing,"Christian Draeger, Matthias Löbe, Christian Henke",2026-02-03
accepted,,[[GDNG]] Art. 1 § 6 Abs. 1,Qualitätssicherung,QualityAssurance,Qualitätssicherung und Förderung der Patientensicherheit.,,,,sc,dpv:Purpose,Julian Flake,2025-10-13
accepted,,[[GDNG]] Art. 1 § 6 Abs. 1,FörderungDerPatientensicherheit,PromotionOfPatientSafety,"medizinische, rehabilitative und pflegerische Forschung.",,,,sc,dpv:Purpose,Julian Flake,2025-10-13
accepted,,[[GDNG]] Art. 1 § 6 Abs. 1,Forschungszwecke,ResearchPurposes,"Statistische Zwecke, einschließlich der Gesundheitsberichterstattung.",,,,sc,dpv:Purpose,Julian Flake,2025-10-13
accepted,,[[GDNG]] Art. 1 § 6 Abs. 1,A1_P6_Abs1_Nr1,A1_P6_Abs1,,,Weiterverarbeitung zum Zwecke...,,sc,dpv:LegalBasis,,
accepted,Abgrenzung Transmit / Transfer in DPV und EHDS?,[[GDNG]] Art. 1 § 6 Abs. 3,Weitergabe,Transfer,Weitergabe ,Transfer,Weitergabe von personenbezogenen Daten an Dritte.,Transfer of personal data to a third party.,sc,dpv:Transfer,"Julian Flake, Christian Draeger, Matthias Löbe, Christian Henke",2026-02-06
accepted,definition missing,[[GDNG]] Art. 1 § 6 Abs. 3,Einwilligung,Consent,,Einwilligung,Consent,,sc,dpv:Consent,Julian Flake,2026-02-07
accepted,,[[GDNG]] Art. 1 § 6 Abs. 3,GesetzlicheVorschrift,LegalRequirement,"Weitergabe von personenbezogenen Daten an Dritte, sofern andere gesetzliche Vorschrift dies verlangt",,,,sc,dpv:LegalObligation,Julian Flake,2026-02-09
accepted,,[[GDNG]] Art. 1 § 6 Abs. 3,Erforderlichkeit,,,,,,,,,
accepted,zeilen 25-30,[[GDNG]] Art. 1 § 6 Abs. 3,VerarbeitungsAnforderungen,,Anforderungserfüllung nach §6 (1) (2) (4),,,,,,,
accepted,Interessensabwegung: https://dev.dpvcg.org/2.3-dev/dpv/modules/TOM#LegitimateInterestAssessment,[[GDNG]] Art. 1 § 6 Abs. 3,BerechtigtesInteresse,LegitimateInterest,,,,,sc,dpv:LegitimateInterest,Julian Flake,2026-02-10
accepted,,[[GDNG]] Art. 1 § 6 Abs. 3,ZustimmungDatenschutzaufsicht,,,,,,,,,
accepted,,[[GDNG]] Art. 1 § 6 Abs. 3,,A1_P6_Abs3-Consent,,,weitergabe an dritte,,,dpv:LegalBasis,,
accepted,,[[GDNG]] Art. 1 § 6 Abs. 3,,A1_P6_Abs3-LegalRequirement,,,weitergabe an dritte,,,dpv:LegalBasis,,
accepted,,[[GDNG]] Art. 1 § 6 Abs. 3,,A1_P6_Abs3-JointResearch,,,Weitergabe unter einhaltung von 1-4,,,dpv:LegalBasis,,
Ich habe die Actors doch schon jetzt verschoben -> siehe GDNG-actors (JF),,,,,,,,,,,,
proposed,,[[GDNG]] Art. 1 § 6 Abs. 1,Pseudonymisierung,Pseudonymization,,,,,sc,dpv:TechnicalOrganisationalMeasure,Julian Flake,2025-10-13
proposed,,"[[GDNG]] Art. 1 § 6 Abs. 1,2",Anonymisierung,Anonymization,,,"Daten selbst sind zu anoymisieren, sboald möglich; Die Weiterverarbeitungsergebnisse sind zu anonymisieren, sobald möglich",,sc,dpv:TechnicalOrganisationalMeasure,Julian Flake,2025-10-13
proposed,,[[GDNG]] Art. 1 § 6 Abs. 2,Weiterverarbeitungsergebnisse,,,,,,sc,dpv:Data,Julian Flake,2025-10-13
proposed,,[[GDNG]] Art. 1 § 6 Abs. 1,RechteUndRollenkonzept,RightsAndRolesConcept,,,,,sc,dpv:TechnicalOrganisationalMeasure,Julian Flake,2025-10-13
proposed,,[[GDNG]] Art. 1 § 6 Abs. 1,Löschung,Deletion,,,,,,,Julian Flake,2025-10-13
proposed,,[[GDNG]] Art. 1 § 6 Abs. 4,Informationspflicht,,Informationspflicht datenverarbeitender Gesundheitseinrichtungen,,,,,,,
proposed,,[[GDNG]] Art. 1 § 6 Abs. 1,BefugtePerson,AuthorizedPerson,,,,,sc,dpv:LegalEntity,Julian Flake,2025-10-13
