Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
DPIANecessityAssessment,DPIA Necessity Assessment,Process that determines whether a DPIA is necessary,dpv:DPIA,dpv:OrganisationalMeasure,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIAProcedure,DPIA Procedure,Process representing carrying out a DPIA,dpv:DPIA,dpv:OrganisationalMeasure,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIAOutcome,DPIA Outcome,Process representing determining outcome of a DPIA,dpv:DPIA,dpv:OrganisationalMeasure,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DPIANecessityStatus,DPIA Necessity Status,Status reflecting whether a DPIA is necessary,dpv:AuditStatus,sc,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIARequired,DPIA Required,Condition where a DPIA is required,,eu-gdpr:DPIANecessityStatus,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIANotRequired,DPIA Not Required,Condition where a DPIA is not required,,eu-gdpr:DPIANecessityStatus,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DPIARiskStatus,DPIA Risk Status,Status reflecting the status of risk associated with a DPIA,dpv:AuditStatus,sc,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIAIndicatesHighRisk,DPIA Indicates High Risk,DPIA identifying high risk levels,,eu-gdpr:DPIARiskStatus,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIAIndicatesLowRisk,DPIA Indicates Low Risk,DPIA identifying low risk levels,,eu-gdpr:DPIARiskStatus,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIAIndicatesNoRisk,DPIA Indicates No Risk,DPIA identifying no risk is present,,eu-gdpr:DPIARiskStatus,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DPIAOutcomeStatus,DPIA Outcome Status,Status reflecting the outcomes of a DPIA,dpv:AuditStatus,sc,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIAOutcomeDPAConsultation,DPIA Outcome DPA Consultation,DPIA outcome status indicating a DPA consultation is required,,eu-gdpr:DPIAOutcomeStatus,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIAOutcomeRisksMitigated,DPIA Outcome Risks Mitigated,DPIA outcome status indicating (all) risks have been mitigated,,eu-gdpr:DPIAOutcomeStatus,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
DPIAOutcomeRisksAcceptable,DPIA Outcome Risks Acceptable,DPIA outcome status indicating residual risks remain and are acceptable for continuation,,eu-gdpr:DPIAOutcomeStatus,,,,,,2022-10-30,,proposed,Harshvardhan J. Pandit,,,,,,,,,,,,,,
DPIAOutcomeHighResidualRisk,DPIA Outcome High Residual Risk,DPIA outcome status indicating high residual risk which are not acceptable for continuation,,eu-gdpr:DPIAOutcomeStatus,,,,,,2022-06-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DPIAProcessingRecommendation,DPIA Processing Recommendation,Recommendation from the DPIA regarding processing,dpv:AuditStatus,sc,,,,,,2022-10-22,,accepted,"Harshvardhan J. Pandit, Georg P Krog",,,,,,,,,,,,,,
DPIARecommendsProcessingContinue,DPIA Recommends Processing Continue,Recommendation from a DPIA that the processing may continue,,eu-gdpr:DPIAProcessingRecommendation,,,,,,2022-10-22,,accepted,"Harshvardhan J. Pandit, Georg P Krog",,,,,,,,,,,,,,
DPIARecommendsProcessingNotContinue,DPIA Recommends Processing Not Continue,Recommendation from a DPIA that the processing should not continue,,eu-gdpr:DPIAProcessingRecommendation,,,,,,2022-10-22,,accepted,"Harshvardhan J. Pandit, Georg P Krog",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DPIAConformity,DPIA Conformity,Conformity of a process with a DPIA,dpv:ConformanceStatus,sc,,,,,,2022-10-22,,accepted,"Harshvardhan J. Pandit, Georg P Krog",,,,,,,,,,,,,,
DPIAConformant,DPIA Conformant,Expressing the specified process is conformant with a DPIA,,eu-gdpr:DPIAConformity,,,,,,2022-10-22,,accepted,"Harshvardhan J. Pandit, Georg P Krog",,,,,,,,,,,,,,
DPIANonConformant,DPIA Non-Conformant,Expressing the specified process is not conformant with a DPIA,,eu-gdpr:DPIAConformity,,,,,,2022-10-22,,accepted,"Harshvardhan J. Pandit, Georg P Krog",,,,,,,,,,,,,,
