Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
DataBreach,Data Breach,"Data Breach' or ‘Personal Data Breach’ means a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to, personal data transmitted, stored or otherwise processed",risk:Incident,sc,,,,"GDPR's notion of data breach includes any incident that affects the confidentiality, integrity, and availability of personal data and its processing without distinguishing between internal or external actors involved in the incident",GDPR Article 4(12),2024-05-19,,accepted,,,,,,,,,,,,,,,,,
ConfidentialityBreach,Confidentiality Breach,A data breach where there is an unauthorised or accidental disclosure of or access to personal data,eu-gdpr:DataBreach,sc,,,,,EDPB Guidelines 9/2022 on personal data breach notification under GDPR,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
IntegrityBreach,Integrity Breach,A data breach where there is an unauthorised or accidental alteration of personal data,eu-gdpr:DataBreach,sc,,,,,EDPB Guidelines 9/2022 on personal data breach notification under GDPR,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
AvailabilityBreach,Availability Breach,A data breach where there is an accidental or unauthorised loss of access to or destruction of personal data,eu-gdpr:DataBreach,sc,,,,,EDPB Guidelines 9/2022 on personal data breach notification under GDPR,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
CrossBorderDataBreach,Cross-Border Data Breach,A data breach involving cross-border data subjects or processing operations,eu-gdpr:DataBreach,sc,,,,,EDPB Guidelines 9/2022 on personal data breach notification under GDPR,2024-05-19,,accepted,,,,,,,,,,,,,,,,,
DBIARiskStatus,DBIA Risk Status,Status reflecting the status of risk associated with a DBIA regarding rights and freedoms of natural persons,dpv:AuditStatus,sc,,,,,GDPR Article 33,2024-05-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
DBIAIndicatesHighRisk,DBIA Indicates High Risk,DBIA identifying high risk levels regarding rights and freedoms of natural persons,,eu-gdpr:DBIARiskStatus,,,,,GDPR Article 33,2024-05-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
DBIAIndicatesLowRisk,DBIA Indicates Low Risk,DBIA identifying low risk levels regarding rights and freedoms of natural persons,,eu-gdpr:DBIARiskStatus,,,,,GDPR Article 33,2024-05-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
DBIAIndicatesNoRisk,DBIA Indicates No Risk,DBIA identifying no risk is present regarding rights and freedoms of natural persons,,eu-gdpr:DBIARiskStatus,,,,,GDPR Article 33,2024-05-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
DataBreachNoticeRequirement,Data Breach Notice Requirement,Whether a Data Breach notification is required,dpv:AuditStatus,sc,,,,,GDPR Article 33,2024-05-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
