Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
A13,A13 Right to be Informed,information to be provided where personal data is directly collected from data subject,dpv:DataSubjectRight,dpv:Right,,,,,"(GDPR Art.13,https://eur-lex.europa.eu/eli/reg/2016/679/art_13/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A14,A14 Right to be Informed,information to be provided where personal data is collected from other sources,dpv:DataSubjectRight,dpv:Right,,,,,"(GDPR Art.14,https://eur-lex.europa.eu/eli/reg/2016/679/art_14/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A15,A15 Right of Access,Right of access,dpv:DataSubjectRight,dpv:Right,,,,,"(GDPR Art.15,https://eur-lex.europa.eu/eli/reg/2016/679/art_15/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A16,A16 Right to Rectification,Right to rectification,dpv:DataSubjectRight,dpv:Right,,,,,"GDPR Art.16,https://eur-lex.europa.eu/eli/reg/2016/679/art_16/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A17,A17 Right to Erasure,Right to erasure ('Right to be forgotten'),dpv:DataSubjectRight,dpv:Right,,,,,"GDPR Art.17,https://eur-lex.europa.eu/eli/reg/2016/679/art_17/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A18,A18 Right to Restrict Processing,Right to restriction of processing,dpv:DataSubjectRight,dpv:Right,,,,,"GDPR Art.18,https://eur-lex.europa.eu/eli/reg/2016/679/art_18/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A19,A19 Right to Rectification,Right to be notified in case of rectification or erasure of personal data or restriction of processing,dpv:DataSubjectRight,dpv:Right,,,,,"(GDPR Art.19,https://eur-lex.europa.eu/eli/reg/2016/679/art_19/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A20,A20 Right to Data Portability,Right to data portability,dpv:DataSubjectRight,dpv:Right,,,,,"GDPR Art.20,https://eur-lex.europa.eu/eli/reg/2016/679/art_20/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A21,A21 Right to object,Right to object to processing of personal data,dpv:DataSubjectRight,dpv:Right,,,,,"(GDPR Art.21,https://eur-lex.europa.eu/eli/reg/2016/679/art_21/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
A22,A22 Right to object to automated decision making,Right not to be subject to a decision based solely on automated processing including profiling,dpv:DataSubjectRight,dpv:Right,,,,,"(GDPR Art.22,https://eur-lex.europa.eu/eli/reg/2016/679/art_22/oj)",2020-11-04,,accepted,"Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
