Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Authorities,,,,,,,,,,,,,,
DataProtectionAuthority,Data Protection Authority,‘Supervisory Authority’ or 'Data Protection Authority' means an independent public authority which is established by a Member State pursuant to Article 51,dpv:DataProtectionAuthority,sc,,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-06-22,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
LeadSupervisoryAuthority,Lead Supervisory Authority,Authority with the primary responsibility for dealing with a cross-border data processing activity,eu-gdpr:DataProtectionAuthority,sc,,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
ConcernedSupervisoryAuthority,Concerned Supervisory Authority,Concerned Supervisory Authority' or 'supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal data because: (a) the controller or processor is established on the territory of the Member State of that supervisory authority; (b) data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing; or (c) a complaint has been lodged with that supervisory authority,eu-gdpr:DataProtectionAuthority,sc,,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
LocalSupervisoryAuthority,Local Supervisory Authority,Authority associated with the main or local establishment of an organisation,eu-gdpr:DataProtectionAuthority,sc,,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
Establishments,,,,,,,,,,,,,,
Establishment,Establishment,Establishment is a Legal Entity which implies the effective and real exercise of activities through stable arrangements (with a presumed parent or primary establishment),dpv:Organisation,sc,,,,,"GDPR Recital 22, GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
MainEstablishment,Main Establishment,"Main Establishment' means as regards a controller with establishments in more than one Member State, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented, in which case the establishment having taken such decisions is to be considered to be the main establishment; as regards a processor with establishments in more than one Member State, the place of its central administration in the Union, or, if the processor has no central administration in the Union, the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation;",eu-gdpr:Establishment,sc,,,,,"GDPR Art.4-16, GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
SingleEstablishment,Single Establishment,A legal entity that is established in only one Member State,eu-gdpr:Establishment,sc,,,,,GDPR Art.23,2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
DataSubject,Data Subject,"Data Subject' means a natural person who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person",dpv:DataSubject,sc,,,,,GDPR Art.4-1,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Controller,Controller,"‘Controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; where the purposes and means of such processing are determined by Union or Member State law, the controller or the specific criteria for its nomination may be provided for by Union or Member State law",dpv:DataController,sc,,,,,GDPR Art.4-7,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Processor,Processor,"‘Processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller",dpv:DataProcessor,sc,,,,,GDPR Art.4-8,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Recipient,Recipient,"‘Recipient’ means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not",dpv:Recipient,sc,,,,,GDPR Art.4-9,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ThirdParty,Third Party,"‘Third Party’ means a natural or legal person, public authority, agency or body other than the data subject, controller, processor and persons who, under the direct authority of the controller or processor, are authorised to process personal data",dpv:ThirdParty,sc,,,,,GDPR Art.4-10,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Representative,Representative,"Representative’ means a natural or legal person established in the Union who, designated by the controller or processor in writing pursuant to Article 27, represents the controller or processor with regard to their respective obligations under this Regulation",dpv:Representative,sc,,,,,GDPR Art.4-17,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
InternationalOrganisation,International Organisation,"‘International Organisation’ means an organisation and its subordinate bodies governed by public international law, or any other body which is set up by, or on the basis of, an agreement between two or more countries",dpv:InternationalOrganisation,sc,,,,,GDPR Art.4-26,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
