Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Incident,Incident,An actual or occurred event,dpv:RiskConcept,sc,,,,Incident is realised or materialised risk,,2024-02-14,2024-08-16,accepted,"Rob Brennan, Harshvardhan J. Pandit, Delaram Golpayegani, Julio Hernandez",,,,,,,,,,,,,,,,,,
ConfidentialityIncident,Confidentiality Incident,Incident where the confidentiality of information or system has been affected,risk:Incident,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IntegrityIncident,Integrity Incident,Incident where the integrity of information or system has been affected,risk:Incident,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
AvailabilityIncident,Availability Incident,Incident where the availability of information or system has been affected,risk:Incident,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
DeliberateIncident,Deliberate Incident,Incident caused due to deliberate actions of a human,risk:Incident,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
AccidentalIncident,Accidental Incident,Incident caused due to accidental actions arising from human or human-controlled situations,risk:Incident,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
EnvironmentalIncident,Environmental Incident,Incident caused due to environmental factors outside human controls,risk:Incident,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
CrossBorderIncident,Cross-Border Incident,Incident involving cross-border or multiple jurisdictions,risk:Incident,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentIdentifier,Incident Identifier,Identifier associated with an incident,dpv:Concept,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentReport,Incident Report,"Documented information about an incident, its handling, assessments,and notifications",dpv:RecordsOfActivities,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentSuspectedReport,Incident Suspected Report,A report describing the suspicion of an incident in the past or occurring,risk:IncidentReport,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentDetectionReport,Incident Detection Report,A report describing the detection of an incident,risk:IncidentReport,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentAssessmentReport,Incident Assessment Report,A report describing the assessment of an incident in terms of its effects or impacts,risk:IncidentReport,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentHandlingReport,Incident Handling Report,A report describing the response to or handling of an incident regarding the mitigation of its effects and the prevention of its recurrence,risk:IncidentReport,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentPreliminaryReport,Incident Preliminary Report,A report describing the preliminary investigation regarding an incident where the complete facts or extent of the incident may not be known,risk:IncidentReport,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentOngoingReport,Incident Ongoing Report,A report describing on ongoing investigation regarding an incident where facts and extent of the investigation are being investigated,risk:IncidentReport,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentConcludingReport,Incident Concluding Report,A report describing the conclusion of an investigation regarding an incident where all relevant facts are known,risk:IncidentReport,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentNotice,Incident Notice,Notice associated with an incident,dpv:Notice,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
IncidentRegister,Incident Register,"A register recording incidents, their reports, notifications, and other related activities",dpv:RecordsOfActivities,sc,,,,,,2024-05-19,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
IncidentImpactAssessment,Incident Impact Assessment,An impact assessment associated with an incident,dpv:ImpactAssessment,sc,,,,,,2024-05-19,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
IncidentMitigationMeasure,Incident Mitigation Measure,A mitigation measure taken in response specifically to mitigate an incident and prevent it from occurring again,dpv:RiskMitigationMeasure,sc,,,,,,2024-05-19,,accepted,,,,,,,,,,,,,,,,,,,
