Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
IncidentStatus,Incident Status,Status associated with an incident,dpv:Status,sc,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IncidentStatusUnknown,Incident Status Unknown,The status of a incident is unknown,,risk:IncidentStatus,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IncidentSuspected,Incident Suspected,"The state where a incident is suspected, but has not yet been confirmed. This can be due to lack of information, or because the process of detection and investigation is still ongoing",,risk:IncidentStatus,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IncidentNearMiss,Incident Near Miss,"The state where an incident was almost successful in taking place i.e. ""it came very close""",,risk:IncidentStatus,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IncidentOngoing,Incident Ongoing,The incident is ongoing i.e. still active,,risk:IncidentStatus,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IncidentHalted,Incident Halted,The incident has halted or paused with a high  likelihood of resuming or recurring,,risk:IncidentStatus,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IncidentConcluded,Incident Concluded,The incident has stopped or finished or concluded without any active mitigation and with a low likelihood of resuming or recurring,,risk:IncidentStatus,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IncidentTerminated,Incident Terminated,The incident has been stopped or terminated through the use of a mitigation or deterrent measure with a low likelihood of resuming or recurring,,risk:IncidentStatus,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IncidentMitigated,Incident Mitigated,The incident has been mitigated against future recurrences i.e. a measure has been applied to prevent the same or similar incident from recurring,,risk:IncidentStatus,,,,,,,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
InvestigationStatus,Investigation Status,Status associated with investigation of an incident,dpv:Status,sc,,,,,,,,,,
InvestigationCompleted,Investigation Completed,Status indicating the investigation has been completed,,risk:InvestigationStatus,,,,,,,,,,
InvestigationOngoing,Investigation Ongoing,Status indicating the investigation is ongoing,,risk:InvestigationStatus,,,,,,,,,,
InvestigationPreliminary,Investigation Preliminary,Status indicating the investigation is at a preliminary stage with limited findings,,risk:InvestigationStatus,,,,,,,,,,
InvestigationCompleted,Investigation Completed,Status indicating the investigation has been completed and findings are available,,risk:InvestigationStatus,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
