Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Location,Location,"A location is a position, site, or area where something is located",dpv:Concept,sc,,,,"Location may be geographic, physical, or virtual.",,2022-01-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,,,,,,
Law,Law,A law is a set of rules created by government or authorities,dpv:Concept,sc,,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,,,,,,
Country,Country,A political entity indicative of a sovereign or non-sovereign territorial state comprising of distinct geographical areas,dpv:Location,sc,,,,"The definition of country is not intended for political interpretation. DPVCG welcomes alternate definitions based in existing sources with global scope, such as UN or ISO.",,2022-01-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,,,,,,
SupraNationalUnion,Supranational Union,A political union of two or more countries with an establishment of common authority,dpv:Location,sc,,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,,,,,,
EconomicUnion,Economic Union,A political union of two or more countries based on economic or trade agreements,dpv:Location,sc,,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,,,,,,
Region,Region,A region is an area or site that is considered a location,dpv:Country,sc,,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,,,,,,
City,City,A region consisting of urban population and commerce,dpv:Region,sc,,,,,,2022-10-22,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,,
ThirdCountry,Third Country,Represents a country outside applicable or compatible jurisdiction as outlined in law,dpv:Country,sc,,,,,,2022-02-09,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,,,,,,
LocationFixture,Location Fixture,The fixture of location refers to whether the location is fixed ,dpv:Concept,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,,,
FixedLocation,Fixed Location,Location that is fixed i.e. known to occur at a specific place,,dpv:LocationFixture,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,,,
FixedSingularLocation,Fixed Singular Location,Location that is fixed at a specific place e.g. a city,dpv:FixedLocation,dpv:LocationFixture,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,,,
