Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
RightNonFulfilmentJustification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity could not be verified,RightNonFulfilmentJustification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request was excessive in scope,RightNonFulfilmentJustification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data subject already has been provided this information,,,,"Art.13-4, Art.14-5a",,,,,,,,,,,,,,,,,,,,,,,,,
This would result in a confidentiality breach,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
This would adversely affect rights of other data subjects or third parties,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Fulfilment would require extraordinary effort,,,,Art.14-5b,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would cause impairment to processing,,,,Art.14-5b,,,,,,,,,,,,,,,,,,,,,,,,,
Information to be provided is already disclosed in a Member State or Union law,,,,Art.14-5c,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would compromise existing confidentiality obligations,,,,Art.14-5d,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would compromise existing confidentiality regarding expression of opinion,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would compromise or hinder an existing investigation,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would compromise or hinder archiving purposes,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Information is legally exempt from disclosure,," Documents that have personal data of the data subject exempt from disclosure in court proceedings apply in relation to a Subject Access Request, this applies to both legal advice and litigation privilege",,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would pose a threat to safeguard national security,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would pose a threat to safeguard defense,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would pose a threat to safeguard public security,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would pose a threat to safeguard judicial independence or proceedings ,,,,Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfilment would be impossible,,,,Art.19,,,,,,,,,,,,,,,,,,,,,,,,,
Right fulfulment would interfere with necessary tasks carried out for public interest,,,,A.21-6,,,,,,,,,,,,,,,,,,,,,,,,,
"Task is necessary for entering into, or performance of a contract between data subject and controller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task is authorised by Member State or Union Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

TODO: Art.23-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
