Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
LegitimateInterestStatus,Legitimate InterestStatus,Status associated with use of Legitimate Interest as a legal basis,dpv:Status,sc,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
LegitimateInterestObjected,Legitimate InterestObjected,Status where the use of Legitimate Interest was objected to,,dpv:LegitimateInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
LegitimateInterestNotObjected,Legitimate InterestNotObjected,Status where the use of Legitimate Interest was not objected to,,dpv:LegitimateInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
LegitimateInterestInformed,Legitimate InterestInformed,Status where the Legitimate Interest was informed to the data subject or other relevant entities,,dpv:LegitimateInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
LegitimateInterestUninformed,Legitimate InterestUninformed,Status where the Legitimate Interest was not informed to the data subject or other relevant entities,,dpv:LegitimateInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
LegalObligationStatus,Legal ObligationStatus,Status associated with use of Legal Obligation as a legal basis,dpv:Status,sc,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
LegalObligationCompleted,Legal ObligationCompleted,Status where the legal obligation has been completed,,dpv:LegalObligationStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
LegalObligationOngoing,Legal ObligationOngoing,Status where the legal obligation is being fulfiled,,dpv:LegalObligationStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
LegalObligationPending,Legal ObligationPending,Status where the legal obligation has not been started,,dpv:LegalObligationStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
OfficialAuthorityExerciseStatus,Official Authority Exercise Status,Status associated with use of Official Authority as a legal basis,dpv:Status,sc,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
OfficialAuthorityExerciseCompleted,Official Authority Exercise Completed,Status where the official authority has been exercised to completion,,dpv:OfficialAuthorityExerciseStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
OfficialAuthorityExerciseOngoing,Official Authority Exercise Ongoing,Status where the official authority is being exercised,,dpv:OfficialAuthorityExerciseStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
OfficialAuthorityExercisePending,Official Authority Exercise Pending,Status where the official authority has not been exercised,,dpv:OfficialAuthorityExerciseStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
PublicInterestStatus,Public Interest Status,Status associated with use of Public Interest as a legal basis,dpv:Status,sc,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
PublicInterestCompleted,Public Interest Completed,Status where the public interest activity has been completed,,dpv:PublicInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
PublicInterestOngoing,Public Interest Ongoing,Status where the public interest activity is ongoing,,dpv:PublicInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
PublicInterestPending,Public Interest Pending,Status where the public interest activity has not started,,dpv:PublicInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
PublicInterestObjected,Public Interest Objected,Status where the public interest activity was objected to by the Data Subject or another relevant entity,,dpv:PublicInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
VitalInterestStatus,Vital Interest Status,Status associated with use of Vital Interest as a legal basis,dpv:Status,sc,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
VitalInterestCompleted,Vital Interest Completed,Status where the vital interest activity has been completed,,dpv:VitalInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
VitalInterestOngoing,Vital Interest Ongoing,Status where the vital interest activity is ongoing,,dpv:VitalInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
VitalInterestPending,Vital Interest Pending,Status where the vital interest activity has not started,,dpv:VitalInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
VitalInterestObjected,Vital Interest Objected,Status where the vital interest activity was objected to by the Data Subject or another relevant entity,,dpv:VitalInterestStatus,,,,,,2024-08-27,,accepted,,,,,,,,,,,,,,,,,,,
