preffix,namespace,comments,date,status-type,Comments,contributor,resolution
dpv,https://w3id.org/dpv/2.0#,DPV Specification,2024-06-12,approved,,,https://www.w3.org/2022/02/09-dpvcg-minutes.html
risk,https://w3id.org/dpv/2.0/risk#,"Risk Assessment, Management, and Controls",2024-06-12,approved,,,https://www.w3.org/2022/06/22-dpvcg-minutes.html
dex,https://w3id.org/dpv/2.0/examples#,Examples for DPV and associated vocabularies,2024-06-12,approved,,,
rights,https://w3id.org/dpv/2.0/rights#,Rights extension for DPV,2024-06-12,approved,,,
ucr,https://w3id.org/dpv/2.0/use-cases#,Use-Cases and Requirements for DPV,2024-06-12,approved,,,
nace,https://w3id.org/dpv/2.0/nace#,NACE vocabulary in RDFS,2024-06-12,approved,,,
eu-gdpr,https://w3id.org/dpv/2.0/legal/eu/gdpr#,EU-GDPR concepts extended DPV,2024-06-12,approved,,,
pd,https://w3id.org/dpv/2.0/pd#,Personal Data concepts extended DPV,2024-06-12,approved,,,
tech,https://w3id.org/dpv/2.0/tech#,Technology concepts extended DPV,2024-06-12,approved,,,
legal,https://w3id.org/dpv/2.0/legal#,Legal concepts extended DPV,2024-06-12,approved,,,
risk,https://w3id.org/dpv/2.0/risk#,Risk Management concepts extended DPV,2024-06-12,approved,,,
eu-rights,https://w3id.org/dpv/2.0/rights/eu#,EU-Rights concepts extended DPV,2024-06-12,approved,,,
eu-dga,https://w3id.org/dpv/2.0/legal/eu/dga#,EU-DGA concepts extended DPV,2024-06-12,approved,,,
eu-aiact,https://w3id.org/dpv/2.0/legal/eu/aiact#,EU-AI Act concepts extended DPV,2024-06-12,approved,,,
eu-nis2,https://w3id.org/dpv/2.0/legal/eu/nis2#,EU-NIS2 concepts extended DPV,2024-06-12,approved,,,
loc,https://w3id.org/dpv/2.0/loc#,Location concepts extended DPV,2024-06-12,approved,,,
legal-eu,https://w3id.org/dpv/2.0/legal/eu#,"Laws, Authorities, and other Legal concepts for European Union (EU) as Jurisdiction",2024-06-12,approved,,,
legal-de,https://w3id.org/dpv/2.0/legal/de#,"Laws, Authorities, and other Legal concepts for Germany (DE) as Jurisdiction",2024-06-12,approved,,,
legal-ie,https://w3id.org/dpv/2.0/legal/ie#,"Laws, Authorities, and other Legal concepts for Ireland (IE) as Jurisdiction",2024-06-12,approved,,,
legal-gb,https://w3id.org/dpv/2.0/legal/gb#,"Laws, Authorities, and other Legal concepts for United Kingdom (GB) as Jurisdiction",2024-06-12,approved,,,
legal-us,https://w3id.org/dpv/2.0/legal/us#,"Laws, Authorities, and other Legal concepts for United States of America (USA) as Jurisdiction",2024-06-12,approved,,,
legal-in,https://w3id.org/dpv/2.0/legal/in#,"Laws, Authorities, and other Legal concepts for India (IE) as Jurisdiction",2024-06-12,approved,,,
justifications,https://w3id.org/dpv/2.0/justifications#,Justifications for use with DPV concepts,2024-06-12,approved,,,
ai,https://w3id.org/dpv/2.0/ai#,AI Technology concepts extending DPV,2024-06-12,approved,,,
