Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
AdministrativeMeasure,,An organisational measure to administrate processes,,dpv:OrganisationalMeasure,,,,,,,,,,
AwarenessMeasure,,An organisational measure creates awareness regarding information and processes,,dpv:OrganisationalMeasure,,,,,,,,,,
TransparencyMeasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment,Assessment,"The document, plan, or process for assessment or determination towards a purpose e.g. assessment of legality or impact assessments",,dpv:OrganisationalMeasure,,,,,,2021-09-08,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/07/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
EffectivenessDeterminationProcedures,Effectiveness Determination Procedures,Procedures intended to determine effectiveness of other measures,dpv:Assessment,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LegitimateInterestAssessment,Legitimate Interest Assessment,Indicates an assessment regarding the use of legitimate interest as a lawful basis by the data controller,dpv:Assessment,dpv:OrganisationalMeasure,,,,,,2021-09-08,,accepted,"Georg P. Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2021/07/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ReviewImpactAssessment,Review Impact Assessment,"Procedures to review impact assessments in terms of continued validity, adequacy for intended purposes, and conformance of processes with findings","dpv:ReviewProcedure,dpv:ImpactAssessment",dpv:OrganisationalMeasure,,,,,,2022-10-22,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",https://www.w3.org/2022/10/19-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ComplianceAssessment,Compliance Assessment,"Assessment regarding compliance (e.g. internal policy, regulations)",dpv:Assessment,dpv:OrganisationalMeasure,,,,,,2024-04-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
LegalComplianceAssessment,Legal Compliance Assessment,Assessment regarding legal compliance,dpv:ComplianceAssessment,dpv:OrganisationalMeasure,,,,,,2024-04-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
ConformanceAssessment,Conformance Assessment,Assessment regarding conformance with standards or norms or guidelines or similar instruments,dpv:Assessment,dpv:OrganisationalMeasure,,,,,,2024-04-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,,,
GovernanceProcedures,Governance Procedures,"Procedures related to governance (e.g. organisation, unit, team, process, system)",,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
AIGovernance,AI Governance,"Procedures related to governance of AI, including its procurement, development, deployment, and assessments",dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,,2026-02-09,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
HumanOversight,Human Oversight,"Procedures related to implementing and ensuring human oversight, which includes ability for humans to oversee, understand, control, and reverse processes, and to have sufficient monitoring capability to detect and address anomalies, dysfunctions, or unexpected performance",dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,"DPV also provides a taxonomy for 'Entity Involvement' including specific forms of 'Human Involvement' which allow expressing the roles of humans in specific capacities such as oversight, controls, and whether they have the ability to do something or don't. The Human Oversight as an organisational measure represents the overall plans and procedures for implementation of such human involvement",,2026-02-09,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani",,,,,,,,,,,,,,,,,,
AssetManagementProcedures,Asset Management Procedures,Procedures related to management of assets,dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ComplianceMonitoring,Compliance Monitoring,"Monitoring of compliance (e.g. internal policy, regulations)",dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
StandardsConformance,Standards Conformance,Purposes associated with activities undertaken to ensure or achieve conformance with standards,dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,DGA 12.d,2024-04-14,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DisasterRecoveryProcedures,Disaster Recovery Procedures,Procedures related to management of disasters and recovery,dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IncidentManagementProcedures,Incident Management Procedures,Procedures related to management of incidents,dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
IncidentReportingCommunication,Incident Reporting Communication,Procedures related to management of incident reporting,dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ReviewProcedure,Review Procedure,"A procedure or process that reviews the correctness and validity of other procedures and policies e.g. to ensure continued validity, adequacy for intended purposes, and conformance of processes with findings",dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,,2022-10-22,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",https://www.w3.org/2022/10/19-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ApprovalProcedure,Approval Procedure,A procedure or process for determining and managing approvals for activities as part of governance,dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
Policy,Policy,"A guidance document outlining any of: procedures, plans, principles, decisions, intent, or protocols.",dpv:GovernanceProcedures,dpv:OrganisationalMeasure,,,,,,2021-09-08,,accepted,"Paul Ryan, David Hickey, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2021/07/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
InformationSecurityPolicy,Information Security Policy,Policy regarding security of information,dpv:Policy,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,2024-04-14,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LoggingPolicy,Logging Policy,Policy for logging of information,dpv:Policy,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,2024-04-14,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
MonitoringPolicy,Monitoring Policy,"Policy for monitoring (e.g. progress, performance)",dpv:Policy,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,2024-04-14,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RecertificationPolicy,Recertification Policy,Policy regarding repetition or renewal of existing certification(s),dpv:Policy,dpv:OrganisationalMeasure,,,,,,2019-04-05,2024-04-14,accepted,,https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
AcceptableUsePolicy,Acceptable Use Policy,"Acceptable Use Policy (AUP) refers to conditions, contexts, or uses which are considered acceptable with the implication that those not covered by such a policy are to be considered unacceptable",dpv:Policy,dpv:OrganisationalMeasure,,,,,,2025-06-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Delaram Golpayegani, Beatriz Esteves, Paul Ryan, Arthit Suriyawongkul, Julio Hernandez",,,,,,,,,,,,,,,,,,
DataProcessingPolicy,Data Processing Policy,Policy regarding data processing activities,dpv:Policy,dpv:OrganisationalMeasure,,,,"This only refers to the policy or plan or procedure describing how the data processing should be conducted. To represent the granular details, see further concepts e.g. dpv:DataStoragePolicy to describe policy regarding storage, or dpv:DataStorageCondition to represent information within the policy for how information should be stored",,2024-04-14,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
DataDeletionPolicy,Data Deletion Policy,Policy regarding deletion of data,dpv:DataProcessingPolicy,dpv:OrganisationalMeasure,,,,Deletion and Erasure are distinct activities where deletion refers to logical removal of data with the possibility of retrieval whereas erasure refers to destruction of data such that it cannot be retrieved. See dpv:DataErasurePolicy,,2024-04-14,,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataStoragePolicy,Data Storage Policy,"Policy regarding storage of data, including the manner, duration, location, and conditions for storage",dpv:DataProcessingPolicy,dpv:OrganisationalMeasure,,,,,,2024-04-14,,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataRestorationPolicy,Data Restoration Policy,Policy regarding restoration of data,dpv:DataProcessingPolicy,dpv:OrganisationalMeasure,,,,Restoration can refer to how data is restored from a backup,,2024-04-14,,accepted,"Georg P. Krog, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataReusePolicy,Data Reuse Policy,Policy regarding reuse of data i.e. using data for purposes other than its initial purpose,dpv:DataProcessingPolicy,dpv:OrganisationalMeasure,,,,"This policy can be used to describe the procedures associated with undertaking such reuse of data, for example to assess its legality and the compatibility of the initial and subsequent purposes",,2024-04-14,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
DataErasurePolicy,Data Erasure Policy,Policy regarding erasure of data,dpv:DataProcessingPolicy,dpv:OrganisationalMeasure,,,,Erasure or data destruction or secure removal of data refers to irreversible erasure of data. See dpv:DataDeletion for reversible or logical deletion of data,,2024-04-14,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
DataJurisdictionPolicy,Data Jurisdiction Policy,Policy specifying jurisdictional requirements for data processing,dpv:DataProcessingPolicy,dpv:OrganisationalMeasure,,,,"Jurisdictional requirements can refer to data being stored within specific jurisdictions, or that data must be in line with jurisdictional laws and norms",,2024-04-14,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
SecurityProcedure,Security Procedure,"Procedures associated with assessing, implementing, and evaluating security",,dpv:OrganisationalMeasure,,,,,,2022-08-24,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
SecurityRoleProcedures,Security Role Procedures,Procedures related to security roles,dpv:SecurityProcedure,dpv:OrganisationalMeasure,,,,,"(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
AuthorisationProcedure,Authorisation Procedure,Procedures for determining authorisation through permission or authority,dpv:SecurityProcedure,dpv:OrganisationalMeasure,,,,"non-technical authorisation procedures: How is it described on an organisational level, who gets access to the data",,2019-04-05,,accepted,"Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
