Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
EducationManagement,Education - Management,Purposes associated with running and management of educational organisations and services,,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationAccessManagement,Education - AccessManagement,"Purposes associated with determination and management of access to educational programs, resources, and services",sector:EducationManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStaffManagement,Education - Staff Management,Purposes associated with management of staff and related personnel in educational organisations,sector:EducationManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStaffPerformanceAssessment,Education - Staff Performance Assessment,Purposes associated with assessment of performance of staff and related personnel in the context of an educational organisation,"sector:EducationStaffManagement,dpv:PersonnelPerformanceMonitoring",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentManagement,Education - Student Management,Purposes associated with management of current and prospective students ,sector:EducationManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentAdmissionManagement,Education - Student Admission Management,Purposes associated with management of admission process for current and prospective students,"sector:EducationStudentManagement,sector:EducationAccessManagement",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentAdmissionScreening,Education - Student Admission Screening,"Purposes associated with screening and filtering students and prospective students for the purposes of admission to educational organisations, resources, and services","sector:EducationStudentAdmissionManagement,",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentEligibilityAssessment,Education - Student Eligibility Assessment,"Purposes associated with eligibility assessment of students and prospective students for the purposes of admission and access to educational institutes, resources, and services",sector:EducationStudentAdmissionManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentAllocation,Education - StudentAllocation,"Purposes associated with allocation of students to educational institutes, resources, and services",sector:EducationStudentManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentCourseAllocation,Education - Student Course Allocation,Purposes associated with allocation of students to specific courses in the context of educational services,sector:EducationStudentAllocation,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentProgramAllocation,Education - Student Program Allocation,Purposes associated with allocation of students to specific programs in the context of educational services,sector:EducationStudentAllocation,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentInstituteAllocation,Education - Student Institute Allocation,Purposes associated with allocation of students to specific educational or other institutes in the context of educational services,sector:EducationStudentAllocation,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentCourseRecommendation,Education - Student Course Recommendation,Purposes associated with providing recommendations to students regarding prospective courses for education,sector:EducationStudentAdmissionManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentProgramRecommendation,Education - Student Program Recommendation,Purposes associated with providing recommendations to students regarding prospective programs for education,sector:EducationStudentAdmissionManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentInstituteRecommendation,Education - Student Institute Recommendation,Purposes associated with providing recommendations to students regarding prospective institutes for education,sector:EducationStudentAdmissionManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentEnrollmentManagement,Education - Student Enrollment Management,"Purposes associated with enrollement of students and prospective students in educational courses, programs, and institutes",sector:EducationStudentAdmissionManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentSpecialNeedsManagement,Education - Student Special Needs Management,Purposes associated with determination and management of special needs of students and prospective students in the context of educational services and resources,sector:EducationStudentAdmissionManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentFeesManagement,Education - Student Fees Management,Purposes associated with management of fees from or for students in the context of educational resources and services,sector:EducationStudentAdmissionManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentFinancialBenefitsManagement,Education - Student Financial Benefits Management,Purposes associated with management of financial benefits for students in the context of educational resources and services,sector:EducationStudentAdmissionManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentPerformanceManagement,Education - Student Performance Management,Purposes associated with management of student performance in educational contexts,sector:EducationStudentManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentPerformanceMonitoring,Education - Student Performance Monitoring,Purposes associated with monitoring of student performance in educational contexts,sector:EducationStudentManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentPerformanceAssessment,Education - Student Performance Assessment,"Purposes associated with assessment of student performance, including through exams and assignments, in educational contexts",sector:EducationStudentManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentAcademicPotentialAssessment,Education - Student Academic Potential Assessment,"Purposes associated with assessment of academic potential as a measure of the capability of the student for specific academic or educational courses, programs, or services",sector:EducationStudentPerformanceAssessment,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentLearningNeedsAssessment,Education - Student Learning Needs Assessment,"Purposes associated with assessment of learning needs or a measure of what resources, services, and approaches are needed for a student to learn and gain specific knowledge or group of knowledge within an educational context",sector:EducationStudentPerformanceAssessment,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentLearningOutcomeAssessment,Education - Student Learning Outcome Assessment,Purposes associated with assessment of student performance in the context of meeting learning outcomes as set within the educational course or program ,sector:EducationStudentPerformanceAssessment,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentExamAssessment,Education - Student Exam Assessment,Purposes associated with assessment of student performance in the context of an educational exam,sector:EducationStudentEvaluateLearningOutcome,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentAssignmentAssessment,Education - Student Assignment Assessment,Purposes associated with assessment of student performance in the context of an educational assignment or task or other processes where the student is required to perform an activity which is then assessed,sector:EducationStudentEvaluateLearningOutcome,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationServiceProvision,Education - Service Provision,"Purposes associated with provision of educational services, including lectures, seminars, laboratory work, and other similar activities within the context of provision of education","sector:EducationManagement,dpv:ServiceProvision",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentAttendanceManagement,Education - Student Attendance Management,Purposes associated with undertaking and management of attendance of students within an educational context,sector:EducationServiceProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentResourceAccessManagement,Education - Student Resource Access Management,"Purposes associated with determining and managing access to students to specific resources within an educational context, such as laboratory equipment or library resources",sector:EducationServiceProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentContentDelivery,Education - Student Content Delivery,Purposes associated with delivery of content to student or group of students in the context of educational services,sector:EducationServiceProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentPersonalisedContentDelivery,Education - Student Personalised Content Delivery,Purposes associated with personalisation of the content delivery for an individual student or a group of students in the context of educational services,"sector:EducationServiceProvision,dpv:Personalisation",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentLearningFeedbackManagement,Education - Student Learning Feedback Management,"Purposes associated with creating, providing, and managing feedback for students regarding their learning potential and outcomes in the context of educational services",sector:EducationServiceProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentWellbeingManagement,Education - Student Wellbeing Management,Purposes associated with management of student wellbeing in an educational context,sector:EducationStudentManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentGuidanceManagement,Education - Student Guidance Management,"Purposes associated with providing and managing guidance, counselling, and other related services within the context of educational services",sector:EducationStudentWellbeingManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentSocialActivitiesManagement,Education - Student Social Activities Management,"Purposes associated with promotion, admission, and management of social activities for students within an educational context",sector:EducationStudentManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentIntegrityManagement,Education - Student Integrity Management,Purposes associated with integrity assessment and management of students and activities by students in an educational context,"sector:EducationStudentManagement,dpv:OrganisationRiskManagement",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EducationStudentPlagiarismDetection,Education - Student Plagiarism Detection,Purposes associated with determination of plagiarism demonstrated by a student or students or present within the work submitted by a student or students in an educational context,"sector:EducationStudentIntegrityManagement,dpv:FraudPreventionAndDetection",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
