Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
PublicServiceManagement,Pubilc Service Management,Purposes associated with management of public services,dpv:PublicBenefit,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PublicServiceEligibilityAssessment,Public Service Eligibility Assessment,Purposes associated with assessing the eligbility of a person to receive or continue to receive public services,sector-publicservices:PublicServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PublicServiceProvision,Public Service Provision,Purposes associated with provision of public services,"sector-publicservices:PublicServiceManagement,dpv:ServiceProvision",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PublicServiceDistributionManagement,Public Service Distribution Management,"Purposes associated with managing the distribution in relation to public services, such as increasing, decreasing, granting, revoking, or reducing the service or related benefits",sector-publicservices:PublicServiceProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PublicServiceFraudPreventionDetection,Public Service Fraud Prevention Detection,Purposes associated with fraud detection and prevention in relation to public services,"sector-publicservices:PublicServiceManagement,dpv:FraudPreventionAndDetection",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialWelfareManagement,Social Welfare Management,Purposes associated with management of social welfare,sector-publicservices:PublicServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialWelfareEligibilityAssessment,Social Welfare Eligibility Assessment,Purposes associated with assessment of eligibility of a person to receive or continue to receive social welfare,sector-publicservices:SocialWelfareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialWelfareProvision,Social Welfare Provision,Purposes associated with provision of social welfare,"sector-publicservices:SocialWelfareManagement,sector-publicservices:PublicServiceProvision",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialWelfareDistributionManagement,Social Welfare Distribution Management,"Purposes associated with managing the distribution in relation to social welfare, such as increasing, decreasing, granting, revoking, or reducing the service or related benefits",sector-publicservices:SocialWelfareProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialWelfareEnrollmentManagement,Social Welfare Enrollment Management,Purposes associated with enrollment and managing enrollment of persons for the purposes of providing social welfare,sector-publicservices:SocialWelfareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialWelfareRiskAssessment,Social Welfare Risk Assessment,Purposes associated with conducting risk and impact assessments in relation to use of social welfare,"sector-publicservices:SocialWelfareManagement,dpv:OrganisationRiskManagement,dpv:FraudPreventionAndDetection",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialAssistanceManagement,Social Assistance Management,Purposes associated with management of social assistance services,sector-publicservices:SocialWelfareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
HousingWelfareManagement,Housing Welfare Management,Purposes associated with management of housing as part of social assistance and welfare services,sector-publicservices:SocialAssistanceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialInsuranceManagement,Social Insurance Management,Purposes associated with management of social insurance as part of social assistance and welfare services,sector-publicservices:SocialAssistanceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SocialSecurityManagement,Social Security Management,Purposes associated with management of social security as part of social assistance and welfare services,sector-publicservices:SocialAssistanceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,dpv:CriminalOffencePrediction -> dpv:CrimeFirstOffencePrediction,,,,
,,,,,,,,,,,,,dpv:CriminalOffencePrediction -> dpv:CrimeRepeatOffencePrediction,
