Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
RiskAnalysis,RiskAnalysis,"A technique or method used to analyse and identify risk levels, sources, likelihoods, severities, and other necessary information required to conduct risk management procedures",dpv:RiskAssessment,sc,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
QualitativeRiskAnalysis,Qualitative Risk Analysis,A risk analysis technique that uses qualitative methods,risk:RiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
QuantitativeRiskAnalysis,Quantitative Risk Analysis,A risk analysis technique that uses quantitative methods,risk:RiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ALARP,ALARP,As Low as Resonably Possible (ALARP) - A criteria for deciding significance of risk and means of evaluating tolerability of risk,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ALARA,ALARA,As Low as Resonably Achievable (ALARP) - A criteria for deciding significance of risk and means of evaluating tolerability of risk,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
SFAIRP,SFAIRP,So far as is Resonably Practiceable (ALARP) - A criteria for deciding significance of risk and means of evaluating tolerability of risk,"risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
BayesianAnalysis,Bayesian Analysis,A means of making inference about model parameters using Bayes' theorem which has the capability of incorporating empirical data into prior judgements about probabilities,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
BayesianNetworks,Bayesian Networks,A graphical model of variables and their cause-effect relationships expressed using probabilities,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
InfluenceDiagrams,Influence Diagrams,"An extended version of Bayesian networks that includes variables representing uncertainties, consequences and actions",risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
BowTie,Bow Tie Analysis,"A diagrammatic way of describing the pathways from sources of risk to outcomes, and of reviewing controls","risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Brainstorming,Brainstorming,Technique used in workshops to encourage imaginative thinking,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
BusinessImpactAnalysis,Business Impact Analysis,"A process that analyses the consequences of a disruptive incident on the organization which determines the recovery priorities of an organization's products and services and, thereby, the priorities of the activities and resources which deliver them","risk:QualitativeRiskAnalysis,risk:QuantitativeRiskAnalysis",risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
CausalMapping,Causal Mapping,"A network diagram representing events, causes and effects and their relationships.",risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
CauseConsequenceAnalysis,Cause-Consequence Analysis,A combination of fault and event tree analysis that allows inclusion of time delays. Both causes and consequences of an initiating event are considered.,risk:QuantitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Checklists,Checklists,A checklist based on experience or on concepts and models that can be used to help identify risks or controls.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Classifications,Classifications,A classification list based on experience or on concepts and models that can be used to help identify risks or controls.,risk:QualitativeRiskAnalysis,risk:RiskAnalysis,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
