Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
ControlRiskSource,Control Risk Source,Risk Mitigation Measure that controls the Risk Source,,dpv:RiskMitigationMeasure,,,,,,2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
HaltSource,Halt Source,Risk Control that halts the risk source or prevents it from materialising,risk:ControlRiskSource,dpv:RiskMitigationMeasure,,,,,,2022-08-19,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RemoveSource,Remove Source,Risk Control that removes the risk source,risk:ControlRiskSource,dpv:RiskMitigationMeasure,,,,,,2022-08-20,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
AvoidSource,Avoid Source,Risk Control that avoids the risk source,risk:ControlRiskSource,dpv:RiskMitigationMeasure,,,,,,2022-08-21,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ReduceLikelihood,Reduce Likelihood,Risk Control that reduces the likelihood of an event,,dpv:RiskMitigationMeasure,,,,,,2022-08-22,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ReduceSeverity,Reduce Severity,Risk Control that reduces the severity of an event,,dpv:RiskMitigationMeasure,,,,,,2022-08-23,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ControlConsequence,Control Consequence,Risk Mitigation Measure that controls the Consequences,,dpv:RiskMitigationMeasure,,,,,,2022-08-24,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ChangeConsequence,Change Consequence,Risk Control that changes Consequence,risk:ControlConsequence,dpv:RiskMitigationMeasure,,,,,,2022-08-25,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RemoveConsequence,Remove Consequence,Risk Control that removes Consequence i.e. prevents it from materialising,risk:ControlConsequence,dpv:RiskMitigationMeasure,,,,,,2022-08-27,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ControlImpact,Control Impact,Risk Mitigation Measure that controls Impacts,risk:ControlConsequence,dpv:RiskMitigationMeasure,,,,,,2022-08-24,2023-07-31,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ChangeImpact,Change Impact,Risk Control that changes Impact,risk:ControlImpact,dpv:RiskMitigationMeasure,,,,,,2022-08-26,2023-07-31,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RemoveImpact,Remove Impact,Risk Control that removes Impact i.e. prevents it from materialising,risk:ControlImpact,dpv:RiskMitigationMeasure,,,,,,2022-08-28,2023-07-31,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ShareRisk,Share Risk,Risk Mitigation Measure that shares Risk e.g. amongst stakeholders,,dpv:RiskMitigationMeasure,,,,,,2022-08-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
