Term,Label,Definition,ParentTerm,ParentType,Value,Role,CIA,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,,,
RiskConceptPotentialRole,Risk Concept with Potential Role,Indicates a concept can potentially take on the specified specialised role within an use-case,dpv:RiskConcept,sc,,,,,,,,2024-12-17,,,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PotentialRisk,Potential Risk,Indicates a concept can potentially be a 'risk' concept within an use-case,dpv:RiskConcept,sc,,R,,,,PotentialRisk is a suggestion that the concept can be a 'risk' within an use-case - this suggestion is not exclusive and the concept may also be instances of other potential concepts to indicate the multiple possible roles a concept can take. This suggestion can be ignored if it is not applicable to the use-case,,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PotentialRiskSource,Potential RiskSource,Indicates a concept can potentially be a 'risk source' concept within an use-case,dpv:RiskConcept,sc,,S,,,,PotentialRiskSource is a suggestion that the concept can be a 'risk' within an use-case - this suggestion is not exclusive and the concept may also be instances of other potential concepts to indicate the multiple possible roles a concept can take. This suggestion can be ignored if it is not applicable to the use-case,,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PotentialConsequence,Potential Consequence,Indicates a concept can potentially be a 'consequence concept within an use-case,dpv:RiskConcept,sc,,C,,,,PotentialConsequence is a suggestion that the concept can be a 'risk' within an use-case - this suggestion is not exclusive and the concept may also be instances of other potential concepts to indicate the multiple possible roles a concept can take. This suggestion can be ignored if it is not applicable to the use-case,,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PotentialImpact,Potential Impact,Indicates a concept can potentially be a 'impact' concept within an use-case,dpv:RiskConcept,sc,,I,,,,PotentialImpact is a suggestion that the concept can be a 'risk' within an use-case - this suggestion is not exclusive and the concept may also be instances of other potential concepts to indicate the multiple possible roles a concept can take. This suggestion can be ignored if it is not applicable to the use-case,,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RiskConceptCIA,Risk Concept with CIA,"Indicats a concept is relevant to one of CIA (Confidentiality, Integrity, Availability) security classifications",dpv:RiskConcept,sc,,,,,,,,2024-12-17,,,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ConfidentialityConcept,Confidentiality Concept,Indicates a concept is relevant to 'Confidentiality' in CIA InfoSec model,dpv:RiskConcept,sc,,,C,,,"This concept allows indicating the applicability of Confidentiality dimension to concepts whether they are a risk source, risk, consequence, or impact",,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
IntegrityConcept,Integrity Concept,Indicates a concept is relevant to 'Integrity' in CIA InfoSec model,dpv:RiskConcept,sc,,,I,,,"This concept allows indicating the applicability of Integrity dimension to concepts whether they are a risk source, risk, consequence, or impact",,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
AvailabilityConcept,Availability Concept,Indicates a concept is relevant to 'Availability' in CIA InfoSec model,dpv:RiskConcept,sc,,,A,,,"This concept allows indicating the applicability of Impact dimension to concepts whether they are a risk source, risk, consequence, or impact",,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
TechnicalRiskConcept,Technical Risk Concept,"Risk concepts, including any potential risk sources, consequences, or impacts, that are technical in nature or relate to a technical or technological process",,dpv:RiskConcept,,"S,R,C,I",,,,,,2025-01-06,,accepted,,,,,,,,,,,,,,,,,,,
OrganisationalRiskConcept,Organisational Risk Concept,"Risk concepts, including any potential risk sources, consequences, or impacts, that are organisational in nature or relate to an organisational process",,dpv:RiskConcept,,"S,R,C,I",,,,Organisational in this context refers to an organisation which is not human but is managed by humans,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
SocietalRiskConcept,Societal Risk Concept,"Risk concepts, including any potential risk sources, consequences, or impacts, that are societal in nature or relate to a social setting or process",,dpv:RiskConcept,,"S,R,C,I",,,,"Societal in this context includes both individuals and groups in a social context, as well as wider implications for society - such as environmental impacts or economic consequences of inflation that can affect both human and non-human entities as part of the social structure",,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
LegalRiskConcept,Legal Risk Concept,"Risk concepts, including any potential risk sources, consequences, or impacts, that are legal in nature or relate to a legal system or process",,dpv:RiskConcept,,"S,R,C,I",,,,Legal in this context refers exclusively to the law applied within a jurisdiction and does not include internal policies or rules within an organisation,,2024-10-21,,accepted,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserRisks,User Risks,Concepts associated with risks that arise due to User or Human use,risk:OrganisationalRiskConcept,dpv:RiskConcept,,"S,R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Misuse,Misuse,Concept representing a misuse (of something),risk:UserRisks,dpv:RiskConcept,,"S,R,C",,,,,,2024-06-11,2024-08-16,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
IntentionalMisuse,Intentional Misuse,Concept represent an intentional misuse (of something),risk:Misuse,dpv:RiskConcept,,"S,R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
AccidentalMisuse,Accidental Misuse,Concept representing accidental misuse (of something),risk:Misuse,dpv:RiskConcept,,"S,R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
ErroneousUse,Erroneous Use,Concept representing erroneous use (of something),risk:UserRisks,dpv:RiskConcept,,"S,R,C",,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
HumanErrors,Human Errors,Concept representing activities that are errors caused by humans without intention and which was not caused by following rules or policies or instructions that were not from the person,risk:UserRisks,dpv:RiskConcept,,"S,R,C",,,,,"(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,

ExternalSecurityThreat,External Security Threat,Concepts associated with security threats that are likely to originate externally,risk:TechnicalRiskConcept,dpv:RiskConcept,,"S,R,C",,,,,,,,accepted,,,,,,,,,,,,,,,,,,,
SecurityAttack,Security Attack,Concept representing an attack on security with the aim of undermining it,risk:ExternalSecurityThreat,dpv:RiskConcept,,"S,R","C,I,A",,,,,,,accepted,,,,,,,,,,,,,,,,,,,
Cryptojacking,Cryptojacking,Concept representing Cryptojacking,risk:SecurityAttack,dpv:RiskConcept,,"S,R",A,,,,"(ENISA Threat Landscape 2021,https://www.enisa.europa.eu/publications/enisa-threat-landscape-2021)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
DenialServiceAttack,Denial of Service Attack (DoS),Concept representing Denial of Service Attack (DoS),risk:SecurityAttack,dpv:RiskConcept,,"S,R",A,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
DistributedDenialServiceAttack,Distributed Denial of Service Attack (DDoS),Concept representing Distributed Denial of Service Attack (DDoS),risk:DenialServiceAttack,dpv:RiskConcept,,"S,R",A,,,,"(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)",2022-08-17,2024-08-16,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/08/17-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
