Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Risk Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,
refersToRisk,refers to risk,Indicates the incident (subject) is a materialisation of the indicated risk (object),dpv:Incident,dpv:Risk,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
hasRiskSource,has risk source,Indicates the risk (subject) has the indicated risk source (object),dpv:Risk,risk:RiskSource,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
causedByThreat,caused by threat,Indicates the cause of associated context (subject) was the indicated threat (object),dpv:Concept,risk:Threat,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
hasThreatSource,has threat source,Indicates the threat (subject) has the indicated source (object),risk:Threat,risk:ThreatSource,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
isVulnerabilityOf,is vulnerability of,Indicates the vulnerability (subject) is associated with indicated context (object),risk:Vulnerability,dpv:Concept,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
hasVulnerability,has vulnerability,Indicates the associated context (subject) has indicated vulnerability (object),dpv:Concept,risk:Vulnerability,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
isExploitedBy,is exploited by,Indicates the vulnerability (subject) is exploited by the indicated threat (object),risk:Vulnerability,risk:Threat,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
exploitsVulnerability,exploits vulnerability,Indicates the threat (subject) exploits the indicated vulnerability (object),risk:Threat,risk:Vulnerability,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
causedByVulnerability,caused by vulnerability,Indicates the associated context (subject) is caused by the indicated vulnerability (object),dpv:Concept,risk:Vulnerability,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
Risk Management,,,,,,,,,,,,,,
hasRiskManagement,has risk management,Associates the risk management plan or process,dpv:Concept,risk:RiskManagement,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskAssessment,has risk assessment,Associates the risk assessment,dpv:Concept,risk:RiskAssessment,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskIdentification,has risk identification,Associates the risk identification plan or process or criteria,dpv:Concept,risk:RiskIdentification,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskAnalysis,has risk analysis,Associates the risk analysis,dpv:Concept,risk:RiskAnalysis,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskEvaluation,has risk evaluation,Associates the risk evaluation plan or process or criteria,dpv:Concept,risk:RiskEvaluation,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskAcceptance,has risk acceptance,Associates the risk acceptance plan or process or criteria,dpv:Concept,risk:RiskAcceptance,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskTreatment,has risk treatment,Associates the risk treatment plan or process or criteria,dpv:Concept,risk:RiskTreatment,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskPerception,has risk perception,Associates the risk perception plan or process or criteria,dpv:Concept,risk:RiskPerception,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskCriteria,has risk criteria,Associates the risk criteria,dpv:Concept,risk:RiskCriteria,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
hasRiskOwner,has risk owner,Indicates the risk owner,dpv:Concept,risk:RiskOwner,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
