Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
RiskManagementMethodology,Risk Management Methodology,"A risk management framework or methodology addresses the main functional components related to identification, assessment, treatment, and monitoring regarding risks",dpv:RiskManagementProcess,sc,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,deprecated,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC-ISM,ACSC-ISM,"The Australian Cyber Security Centre (ACSC) published the Australian Government Information Security Manual (ISM) which adopts the use of a risk management framework that draws from NIST 800-37, and includes six steps: define the system, select security controls, implement security controls, assess security controls, authorise the system and monitor the system",,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ANSI-ISA-62443-3-2-2020,ANSI/ISA-62443-3‑2-2020,"ANSI/ISA-62443-3-2-2020 standard, entitled ‘Security for industrial automation and control systems, Part 3-2: Security risk assessment for system design’, from the International Society of Automation (ISA), dedicates an entire part to the assessment of security risk for system design targeting Security and IT professionals",,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
BSI-200-2,BSI Standard 200-2,The BSI-Standard 200-2 (‘IT-Grundschutz Methodology’) provides a methodology for the management of information security which can be adapted to the requirements of organisations of various types and sizes,,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
CCRACII,CCRACII,"The Guide to Conducting Cybersecurity Risk Assessment for Critical Information Infrastructure (CCRACII) defines commonly used terms such as threat event, vulnerability, likelihood, impact and risk, roles, and responsibilities, in addition to a range for risk levels, ranging from low to very high with different level of risk toleranc",,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
CORAS,CORAS,The CORAS method was developed and is supported by SourceForge. It is a method for conducting the analysis and management of security risk. It provides a customised language for modelling threats and risks as well as detailed guidelines explaining how the language should be used to capture and model relevant information during the various stages of the security analysis,,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
CRAMM,CRAMM,CCTA Risk Assessment and Management Methodology (CRAMM) is a method that an analyst or group of analysts may use to evaluate the security and risk level of an organisation by analysing and combining the diverse knowledge distributed in the local corporate environment,,risk:RiskManagement,,,,,"(ENISA Risk Management Standards,https://www.enisa.europa.eu/publications/risk-management-standards)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
EBIOS,EBIOS,"Expression des Besoins et Identification des Objectifs de Sécurité (EBIOS) Risk Manager is an information security risk management method, created under the French General Secretariat of National Defence, consistent with ISO 31000 and ISO/IEC 27005, and enables the risk management requirements of ISO/IEC 27001 to be met",,risk:RiskManagement,,,,,"(ENISA Risk Management Standards,https://www.enisa.europa.eu/publications/risk-management-standards)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ERM-IF,ERM-IF,Enterprise Risk Management - Integrated Framework (ERM-IF) defines the essential components of enterprise risk management. It is based on a set of principles and concepts for the enterprise and has as its objective to offer a common language for enterprise risk,,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ETSI-TS-102-165-1,ETSI TS 102 165-1,"ETSI TS 102 165-1 offers methodology and pro-forma for threat, vulnerability and risk analysis (TVRA). According to ETSI TS 102 165-1, threat vulnerability and risk analysis (TVRA) is used to identify risk to an information system based upon the product of the likelihood of an attack and the impact that such an attack will have on the system",,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
EU-ITSRM,ITSRM²,ITSRM² IT Security Risk Management Methodology is a methodology provided by DG DIGIT and the European Commission as part of a set of standards for information security,,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
FAIR,FAIR,"The purpose of the FAIR (Factor Analysis of Information Risk) model is to help organisations understand, analyse, and measure information risk. The model provides an approach to quantify risk and defines the necessary building blocks for implementing effective cyber risk management programmes",,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
FAIR-Privacy,FAIR Privacy,"Factors Analysis in Information Risk (FAIR Privacy) is a quantitative privacy risk framework based on FAIR (Factors Analysis in Information Risk) that examines personal privacy risks (to individuals), not organisational risks",,risk:RiskManagement,,,,,"(ENISA Risk Management Standards,https://www.enisa.europa.eu/publications/risk-management-standards)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
GCSOS,GCSOS,The Guidelines on Cyber Security Onboard Ships (GCSOS) guidelines explain why and how cyber risks should be managed in a shipping context. They outline the risk assessment process with an explanation of the part played by each component of cyber risk and offer advice on how to respond to and recover from cyber incidents,,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
HITRUST-CSF,HITRUST-CSF,The HITRUST Cyber-Security Framework (CSF) is a framework created by security industry experts to safeguard sensitive information and manage information risk for organisations across all industries and throughout the third-party supply chain,,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IMO-MSC-FAL1-CIRC3,IMO MSC-FAL.1/CIRC.3,The official International Maritime Organization guidelines IMO MSC-FAL.1/CIRC.3 provide a high-level approach to the management pf maritime cyber risk which refers to the extent a technology asset is exposed to risks during an event that could result in shipping-related operational failure,,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IRAM2,IRAM2,"Information Risk Assessment Methodology (IRAM2) supports risk assessment and treatment and entails a six-phase process, and is is implemented by an automated toolset",,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IS-BM,IS-BM,"The IS risk analysis method is based on a business model using a quantitative approach. The values of IS assets come from their importance towards operational continuity, as well as from their replacement costs",,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ISACA-RISK-IT,ISACA-RISK-IT,"The ISACA Risk IT Framework provides a set of guiding principles and supporting practices for enterprise management, combined to deliver a comprehensive process model for governing and managing IT risk",,risk:RiskManagement,,,,,"(ENISA Compendium of Risk Management Frameworks with Potential Interoperability,https://www.enisa.europa.eu/publications/compendium-of-risk-management-frameworks)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
