Term,dct:alternative,dct:title,dct:identifier,dct:description,dct:publisher,dct:issued,dct:replaces,dct:isVersionOf,dct:requires,dct:subject,dct:coverage,source,status,contributor,resolution
,ISO Catalogue,https://www.iso.org/committee/45020/x/catalogue/,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ISO/IEC JTC 1/SC 27,https://www.iso.org/committee/45306/x/catalogue/p/1/u/0/w/0/d/0 scrape hyperlinks,,,,,,,,,,,,,
ISO-IEC-TR-5895-2022,ISO/IEC TR 5895:2022,ISO/IEC TR 5895:2022 Cybersecurity - Multi-party coordinated vulnerability disclosure and handling,5895,,,,,,,,,https://www.iso.org/standard/81807.html,,,
ISO-IEC-7064-2003,ISO/IEC 7064:2003,ISO/IEC 7064:2003 Information technology - Security techniques - Check character systems,7064,,,,,,,,,https://www.iso.org/standard/31531.html,,,
ISO-IEC-9796-2-2010,ISO/IEC 9796-2:2010,ISO/IEC 9796-2:2010 Information technology - Security techniques - Digital signature schemes giving message recovery - Part 2: Integer factorization based mechanisms,9796,,,,,,,,,https://www.iso.org/standard/54788.html,,,
ISO-IEC-9796-3-2006,ISO/IEC 9796-3:2006,ISO/IEC 9796-3:2006 Information technology - Security techniques - Digital signature schemes giving message recovery - Part 3: Discrete logarithm based mechanisms,9796,,,,,,,,,https://www.iso.org/standard/42228.html,,,
ISO-IEC-9797-1-2011,ISO/IEC 9797-1:2011,ISO/IEC 9797-1:2011 Information technology - Security techniques - Message Authentication Codes (MACs) - Part 1: Mechanisms using a block cipher,9797,,,,,,,,,https://www.iso.org/standard/50375.html,,,
ISO-IEC-9797-2-2021,ISO/IEC 9797-2:2021,ISO/IEC 9797-2:2021 Information security - Message authentication codes (MACs) - Part 2: Mechanisms using a dedicated hash-function,9797,,,,,,,,,https://www.iso.org/standard/75296.html,,,
ISO-IEC-9797-3-2011,ISO/IEC 9797-3:2011,ISO/IEC 9797-3:2011 Information technology - Security techniques - Message Authentication Codes (MACs) - Part 3: Mechanisms using a universal hash-function,9797,,,,,,,,,https://www.iso.org/standard/51619.html,,,
ISO-IEC-9797-3-2011-Amd-1-2020-,ISO/IEC 9797-3:2011/Amd 1:2020,ISO/IEC 9797-3:2011/Amd 1:2020 Information technology - Security techniques - Message Authentication Codes (MACs) - Part 3: Mechanisms using a universal hash-function - Amendment 1,9797,,,,,,,,,https://www.iso.org/standard/76351.html,,,
