Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Status,Status,The status or state of something,dpv:Context,sc,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ActivityStatus,Activity Status,Status associated with activity operations and lifecycles,dpv:Status,sc,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ActivityProposed,Activity Proposed,State of an activity being proposed without any concrete plans for implementation,,dpv:ActivityStatus,,,,,,2022-05-18,2024-05-19,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ActivityPlanned,Activity Planned,State of an activity being planned with concrete plans for implementation,,dpv:ActivityStatus,,,,,,2024-05-19,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ActivityOngoing,Activity Ongoing,State of an activity occurring in continuation i.e. currently ongoing,,dpv:ActivityStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ActivityHalted,Activity Halted,"State of an activity that was occurring in the past, and has been halted or paused or stopped",,dpv:ActivityStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ActivityCompleted,Activity Completed,State of an activity that has completed i.e. is fully in the past,,dpv:ActivityStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ActivityNotCompleted,Activity Not Completed,"State of an activity that could not be completed, but has reached some end state",,dpv:ActivityStatus,,,,This relates to a 'Stop' state as distinct from a 'Halt' state. It makes no comments on whether the Activity can be resumed or continued towards completion.,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ComplianceStatus,Compliance Status,"Status associated with Compliance with some norms, objectives, or requirements",dpv:Status,sc,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
Compliant,Compliant,State of being fully compliant,,dpv:ComplianceStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
Incompliant,Incompliant,State of not being compliant,,dpv:ComplianceStatus,,,,Duplicate of NonCompliant and ViolationOfCompliance,,2022-05-18,,deprecated,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html
PartiallyCompliant,Partially Compliant,"State of partially being compliant i.e. only some objectives have been met, and others have not been in violation",,dpv:ComplianceStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
NonCompliant,Non Compliant,"State of non-compliance where objectives have not been met, but have not been violated",,dpv:ComplianceStatus,,,,Changed from not compliant for consistency in commonly used terms,,2022-05-18,2022-09-07,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ComplianceViolation,Compliance Violation,State where compliance cannot be achieved due to requirements being violated,,dpv:ComplianceStatus,,,,"Changed from ""violation of compliance"" for consistency with other terms",,2022-05-18,2022-09-07,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ComplianceUnknown,Compliance Unknown,State where the status of compliance is unknown,,dpv:ComplianceStatus,,,,,,2022-09-07,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
ComplianceIndeterminate,Compliance Indeterminate,"State where the status of compliance has not been fully assessed, evaluated, or determined",,dpv:ComplianceStatus,,,,,,2022-09-07,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Lawfulness,Lawfulness,Status associated with expressing lawfulness or legal compliance,dpv:ComplianceStatus,sc,,,,,,2022-10-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/10/19-dpvcg-minutes.html,,,,,,,,,,,,,,,
Lawful,Lawful,State of being lawful or legally compliant,,dpv:Lawfulness,,,,,,2022-10-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/10/19-dpvcg-minutes.html,,,,,,,,,,,,,,,
Unlawful,Unlawful,State of being unlawful or legally non-compliant,,dpv:Lawfulness,,,,,,2022-10-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/10/19-dpvcg-minutes.html,,,,,,,,,,,,,,,
LawfulnessUnknown,Lawfulness Unknown,State of the lawfulness not being known,,dpv:Lawfulness,,,,,,2022-10-19,2025-08-06,modified,"Harshvardhan J. Pandit, Arthit Suriyawongkul",https://www.w3.org/2022/10/19-dpvcg-minutes.html
AuditStatus,Audit Status,Status associated with Auditing or Investigation,dpv:Status,sc,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
AuditApproved,Audit Approved,State of being approved through the audit,,dpv:AuditStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
AuditConditionallyApproved,Audit Conditionally Approved,State of being conditionally approved through the audit,,dpv:AuditStatus,,,,"A ""conditional approval"" is intended to reflect states where the audit has identified further changes which must be implemented before considering the audit has been 'passed', without requiring another audit to validate them. This is distinct from the case where an audit has state 'rejected', which means changes must be made and submitted for review. The requirements of a 'conditional acceptance' are expected to be minor or not significant enough to warrant another audit to review them.",,2022-06-29,,accepted,Paul Ryan,https://www.w3.org/2022/06/29-dpvcg-minutes.html,,,,,,,,,,,,,,,
AuditRejected,Audit Rejected,State of not being approved or being rejected through the audit,,dpv:AuditStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
AuditRequested,Audit Requested,State of an audit being requested whose outcome is not yet known,,dpv:AuditStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
AuditNotRequired,Audit Not Required,State where an audit is determined as not being required,,dpv:AuditStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
AuditRequired,Audit Required,State where an audit is determined as being required but has not been conducted,,dpv:AuditStatus,,,,,,2022-05-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/05/30-dpvcg-minutes.html,,,,,,,,,,,,,,,
ConformanceStatus,Conformance Status,"Status associated with conformance to a standard, guideline, code, or recommendation",dpv:Status,sc,,,,,,2022-10-22,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Conformant,Conformant,State of being conformant,,dpv:ConformanceStatus,,,,,,2022-10-22,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
NonConformant,NonConformant,State of being non-conformant,,dpv:ConformanceStatus,,,,,,2022-10-22,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestStatus,Request Status,Status associated with requests,dpv:Status,sc,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestInitiated,Request Initiated,State of a request being initiated,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestAcknowledged,Request Acknowledged,State of a request being acknowledged,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestAccepted,Request Accepted,State of a request being accepted towards fulfilment,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestRejected,Request Rejected,State of a request being rejected towards non-fulfilment,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestFulfilled,Request Fulfilled,State of a request being fulfilled,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestUnfulfilled,Request Unfulfilled,State of a request being unfulfilled,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestRequiresAction,Request Requires Action,State of a request requiring an action to be performed from another party,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestRequiredActionPerformed,Request Required Action Performed,State of a request's required action having been performed by the other party,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestActionDelayed,Request Action Delayed,State of a request being delayed towards fulfilment,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RequestStatusQuery,Request Status Query,State of a request's status being queried,,dpv:RequestStatus,,,,,,2022-11-30,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
EntityInformedStatus,Entity Informed Status,Status indicating whether an entity is informed or uninformed about specified context,dpv:Status,sc,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
EntityInformed,Entity Informed,Status indicating entity has been informed about specified context,dpv:EntityInformedStatus,a,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
DataSubjectInformed,Data Subject Informed,Status indicating DataSubject has been informed about the specified context,dpv:EntityInformed,dpv:EntityInformedStatus,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
ControllerInformed,Controller Informed,Status indicating Controller has been informed about the specified context,dpv:EntityInformed,dpv:EntityInformedStatus,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
RecipientInformed,Recipient Informed,Status indicating Recipient has been informed about the specified context,dpv:EntityInformed,dpv:EntityInformedStatus,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
AuthorityInformed,Authority Informed,Status indicating Authority has been informed about the specified context,dpv:EntityInformed,dpv:EntityInformedStatus,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
EntityUninformed,Entity Uninformed,Status indicating entity is uninformed i.e. has been not been informed about specified context,dpv:EntityInformedStatus,sc,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
DataSubjectUninformed,Data Subject Uninformed,Status indicating DataSubject is uninformed i.e. has not been informed about the specified context,dpv:EntityUninformed,dpv:EntityInformedStatus,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
ControllerUninformed,Controller Uninformed,Status indicating Controller is uninformed i.e. has not been informed about the specified context,dpv:EntityUninformed,dpv:EntityInformedStatus,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
RecipientUninformed,Recipient Uninformed,Status indicating Recipient is uninformed i.e. has not been informed about the specified context,dpv:EntityUninformed,dpv:EntityInformedStatus,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
AuthorityUninformed,Authority Uninformed,Status indicating Authority is uninformed i.e. has not been informed about the specified context,dpv:EntityUninformed,dpv:EntityInformedStatus,,,,,,2024-05-10,,accepted,"Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,,,
