Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Capability,,,,,,,,,,,,,,
AudioCapability,Audio Capability,Capabilities related to the processing and generation of audio,,ai:Capability,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
SoundSourceSeparation,Sound Source Separation,Capability for extracting individual sound from audio recordings,ai:AudioCapability,ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SoundSynthesis,Sound Synthesis,Capability for generation of artificial sound,"ai:AudioCapability,ai:ContentGeneration",ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SpeakerRecognition,Speaker Recognition,Capability of recognising speaker(s) in audio recordings,"ai:AudioProcessing,ai:HumanOrientedCapability",ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SpeechRecognition,Speech Recognition,Capability of converting a speech signal to a representation of the content of the speech,"ai:AudioProcessing,ai:HumanOrientedCapability",ai:Capability,,,,,ISO/IEC 22989:2022 3.6.17,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SpeechSynthesis,Speech Synthesis,Capability for generation of artificial speech,"ai:AudioCapability,ai:ContentGeneration",ai:Capability,,,,,ISO/IEC 22989:2022 3.6.18,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
HumanOrientedCapability,Human-Oriented Capability,Capabilities that are inherently about humans or oriented towards human characteristics and activities,,ai:Capability,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
HumanIdentification,Human Identification,Capability of a system that aims to identify a human whether at an individual or group level,ai:HumanOrientedCapability,ai:Capability,,,,,,2026-02-09,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
BehaviourAnalysis,Behaviour Analysis,Capability of a system in analysing people's behaviour,ai:HumanOrientedCapability,ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
BiometricCapability,Biometric Capability,Capability involving processing of biometric data or related to biometrics,ai:HumanOrientedCapability,ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
BiometricCategorisation,Biometric Categorisation,Capability involving assigning natural persons to specific categories based on their biometric data,ai:BiometricCapability,ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
BiometricIdentification,Biometric Identification,"Capability involving automated recognition of physical, physiological and behavioural human features such as the face, eye movement, body shape, voice, prosody, gait, posture, heart rate, blood pressure, odour, keystrokes characteristics, for the purpose of establishing an individual’s identity by comparing biometric data of that individual to stored biometric data of individuals in a reference database, irrespective of whether the individual has given its consent or not","ai:BiometricCapability,ai:HumanIdentification",ai:Capability,,,,,"(The AI Act Recital 15,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401689#rct_15)",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
RemoteBiometricIdentification,Remote Biometric Identification,Capability involving biometric identification carried out remotely,ai:BiometricIdentification,ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
LocalBiometricIdentification,Local Biometric Identification,Capability involving biometric identification carried out locally,ai:BiometricIdentification,ai:Capability,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RealTimeBiometricIdentification,Real-Time Biometric Identification,Capability involving biometric identification carried out in real-time or instantaneously,ai:BiometricIdentification,ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
PostTimeBiometricIdentification,Post-Time Biometric Identification,Capability involving biometric identification carried out later or not in real-time or non-instantaneously,ai:BiometricIdentification,ai:Capability,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
EmotionRecognition,Emotion Recognition,"Capability for identifying and categorising emotions expressed in a piece of text, speech, video or image or combination thereof",ai:HumanOrientedCapability,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.3,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
BiometricEmotionRecognition,Biometric Emotion Recognition,Capability for recognising emotions based on biometrics information,ai:EmotionRecognition,ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
LieDetection,Lie Detection,"Capability to detect lies in the context of human speech, behaviour, information, or activities",ai:HumanOrientedCapability,ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
Profiling,Profiling,Capability where AI is used to construct a profile of an individual (human) or a group of individuals,"dpv:Profiling,ai:HumanOrientedCapability",ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
PersonalityTraitAnalysis,Personality Trait Analysis,Capability for determining and analysing people's personality traits,ai:HumanOrientedCapability,ai:Capability,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ComputationalCreativity,Computational Creativity,"computer systems that emulate human creative processes and produce artistic, design output that simulates innovation and originality",ai:HumanOrientedCapability,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ComputerVision,Computer Vision,"Capability of a functional unit to acquire, process and interpret data representing images or video",,ai:Capability,,,,,ISO/IEC 22989:2022 3.7.1,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ActionRecognition,Action Recognition,Capability to recognise actions,"ai:ComputerVision,ai:BiometricCapability",ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
FaceRecognition,Face Recognition,"Capability involving automatic pattern recognition for comparing stored images of human faces with the image of an actual face, indicating any matching, if it exists, and any data, if they exist, identifying the person to whom the face belongs","ai:ComputerVision,ai:BiometricCapability",ai:Capability,,,,"EU Vocabularies' AI taxonomy defines 'Facial Recognition as ""computer vision technology employing biometric analysis and mapping of facial characteristics for facial identification purposes, recognising and verifying an individual's identity"", which not only refers to the capability for face recognition but also indicates the *purposes* for which this is being used. In DPV, such purposes are defined separately within the main DPV",ISO/IEC 22989:2022 3.7.2,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
GestureRecognition,Gesture Recognition,Capability for recognising human gestures,"ai:ComputerVision,ai:BiometricCapability",ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ObjectRecognition,Object Recognition,Capability to recognise objects,ai:ComputerVision,ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ObjectDetection,Object Detection,"computer vision technology that detects instances of semantic objects in digital images and videos, covering domains like face detection and pedestrian detection, with applications spanning image retrieval and video surveillance",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ImageRecognition,Image Recognition,"Capability for image classification process that classifies object(s), pattern(s) or concept(s) in an image",ai:ComputerVision,ai:Capability,,,,,ISO/IEC 22989:2022 3.7.4,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
PerceptionBasedAI,Perception-based AI,Capability of using agents to interpret and understand information from their environment through sensory inputs,ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
RemoteSensing,Remote Sensing ,"Capability for acquisition of information about an object or phenomenon without physical contact, typically using aerial sensor technologies",ai:PerceptionBasedAI,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
PatternRecognition,Pattern Recognition,"Capability for automated identification of patterns and regularities in data, utilising algorithms to detect patterns or regularities for categorising data into distinct groups, encompassing diverse applications such as image analysis, speech processing, and biometric authentication",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
VisualRecognition,Visual Recognition,"Capability that identifies and categorises objects, scenes, activities, and other visual elements in images or video, and includes image classification, object detection, scene understanding, and visual pattern recognition",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
MotionAnalysis,Motion Analysis,"Capability of deriving meaningful information about motion from visual data, including tracking objects across frames, analysing trajectories, estimating velocity and acceleration, and interpreting the meaning of motion patterns",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ImageClassification,Image Classification,"Capability of categorising and labelling groups of pixels or vectors within an image based on particular rules, involving the assignment of images to predefined classes or categories",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
InformationRetrieval,Information Retrieval (IR),"Capability for retrieving relevant documents or parts of documents from a dataset, typically based on keyword or natural language queries",,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.4,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
