Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
ModelTraining,Model Training,Process to determine or to improve the parameters of a machine learning model based on a machine learning technique by using training data,dpv:Transform,dpv:Processing,,,,,,2025-04-24,2026-02-03,modified,"Scott Kellum, Harshvardhan J. Pandit, Delaram Golpayegani, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,,,,
ModelFineTuning,Model Fine-Tuning,Process where a pre-trained model is further refined through the use of a smaller training dataset,"dpv:Transform,ai:ModelTraining",dpv:Processing,,,,,,2025-10-28,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
DataOperation,DataOperation,Processing of data for the development or use of AI models,,dpv:Processing,,,,,,2025-10-28,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataCollection,Data Collection,"Processing operation where data is collected, e.g. in a raw or unrefined form",dpv:Collect,ai:DataOperation,,,,,,2025-10-29,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataPreparation ,Data Preparation ,"Processing operation where data is prepared, e.g. organising and transforming it to make it ready for use","dpv:Organise,dpv:Transform",ai:DataOperation,,,,,,2025-10-30,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataAnnotation,Data Annotation,"Processing operation where data is annoated, e.g. by adding additional metadata or context to make it useful","dpv:Obtain,ai:Preparation",ai:DataOperation,,,,,,2025-10-31,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataLabelling,Data Labelling,"Processing operation where data annotation is carried out through labelling, e.g. by assigning tags or categories","dpv:Obtain,ai:Annotation",ai:DataOperation,,,,,,2025-11-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataCleaning,Data Cleaning,"Processing operation where data is cleaned, e.g. by detecting and removing errors or unwanted records","dpv:Transform,ai:DataPreparation ",ai:DataOperation,,,,,,2025-11-02,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataUpdating,Data Updating,"Processing operation where data is updated, e.g. by adding the latest records","dpv:Obtain,ai:DataPreparation ",ai:DataOperation,,,,,,2025-11-03,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataEnrichment,Data Enrichment,"Processing operation where data is enriced, e.g. by adding additional data that increases its value or usefulness","dpv:Obtain,ai:DataPreparation ",ai:DataOperation,,,,,,2025-11-04,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataAggregation,Data Aggregation,"Processing operation where data is aggregated, e.g. by combining multiple records into one",dpv:Transform,ai:DataOperation,,,,,,2025-11-05,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
