Term,Label,Definition,ParentTerm,ParentType,Value,Role,CIA,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
RiskConcept,RiskConcept,"Risk concepts such as risk sources, risks, consequences, and impacts associated specifically with development, use, or operation of AI",dpv:RiskConcept,sc,,"S,R",,,,,,2024-04-28,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
DataRisk,Data Risk,Risk associated with data used or produced or otherwise involved in the context of AI,ai:RiskConcept,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataRisk,Input Data Risk,Risks and risk concepts related to input data,ai:DataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataIncomplete,Input Data Incomplete,Concept representing input data being incomplete,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataInaccurate,Input Data Inaccurate,Concept representing input data being inaccurate,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataInconsistent,Input Data Inconsistent,Concept representing input data being inconsistent,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataOutdated,Input Data Outdated,Concept representing input data being outdated,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataNoise,Input Data Noise,Concept representing input data being noisy,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,2025-07-30,modified,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataSparse,Input Data Sparse,Concept representing input data being sparse,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InputDataUnstructured,Input Data Unstructured,Concept representing input data being unstructured,ai:InputDataRisk,dpv:RiskConcept,,"S,R",,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
