Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
AISystem,,,,,,,,,,,,,,
AGI,Artificial General Intelligence (AGI),Type of AI system that addresses a broad range of tasks with a satisfactory level of performance,ai:AISystem,sc,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
CognitiveComputing,Cognitive Computing,Category of AI systems that enables people and machines to interact more naturally,ai:AISystem,sc,,,,,ISO/IEC 22989:2022 3.1.8,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ExpertSystem,Expert System,"AI system that accumulates, combines and encapsulates knowledge provided by a human expert or experts in a specific domain to infer solutions to problems",ai:AISystem,sc,,,,,ISO/IEC 22989:2022 3.1.13,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
IntelligentControlSystem,Intelligent Control System,Category of AI systems which implement intelligent control principles for real-world applications by using AI capabilities and techniques,ai:AISystem,sc,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
NarrowAI,Narrow AI,Type of AI system that is focused on defined tasks to address a specific problem i.e. it addresses a narrow scope of tasks and problems,ai:AISystem,sc,,,,,ISO/IEC 22989:2022 3.1.24,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
Robot,Robot,"An automation system with actuators that performs intended tasks in the physical world, by means of sensing its environment and a software control system",ai:AISystem,sc,,,,,ISO/IEC 22989:2022 3.1.29,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
IndustrialRobot,Industrial Robot,A robot or robotic system for use in industrial automation applications,ai:Robot,sc,,,,,ISO/IEC 22989:2022 3.1.29,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ServiceRobot,Service Robot,A robot or robotic system in personal use or professional use that performs useful tasks for humans or equipment,ai:Robot,sc,,,,,"ISO/IEC 22989:2022 3.1.29, ISO 8373:2021 3.7",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SocialRobot,Social Robot,A robot or robotic system with social interaction functions,ai:Robot,sc,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
FrugalAISystem,Frugal AI System,"AI systems intended to be more efficient, cost-effective, and accessible while maintaining or even improving their performance",ai:AISystem,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
GPAI,General-Purpose AI System (GPAI),"Artificial intelligence system based on a general-purpose model and capable of serving a variety of purposes, either in direct use or integrated with other AI systems",ai:AISystem,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ReasoningSystem,Reasoning System,"Artificial intelligence systems that uses available information to generate predictions, make inferences and draw conclusions, involving the representation of data in machine-processable form and application of logic to arrive at decisions",ai:AISystem,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-18,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ExpertSystem,Expert System,"Artificial intelligence system emulating human expert decision-making abilities, addressing complex problems through reasoning across knowledge bases primarily represented as if-then rules, and comprising two sub-systems: an inference engine for applying rules to known facts and deducing new facts, and a knowledge base containing facts and rules; potentially featuring explanation and debugging capabilities",ai:AISystem,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-19,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
RoboticProcessAutomation,Robotic Process Automation,"Technology focused on automation of repetitive, routine, rule-based human tasks",ai:AISystem,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-20,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Robotics,Robotics,"The science of designing, engineering and using robots, i.e. machines controlled by computers which perform jobs automatically",ai:AISystem,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-21,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
EdgeAI,Edge AI,"The deployment and execution of AI and ML models on Edge devices, including smartphones, IoT sensors, industrial controllers, and other resource-constrained devices located at the Edge of the network and closer to the data sources",ai:AISystem,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-22,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
CyberphysicalSystem,Cyber-physical System,"Engineered system built from, and depending upon, the seamless integration of computation and physical components",ai:AISystem,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-23,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Model,,,,,,,,,,,,,,
GPAIModel,General Purpose AI Model,A model that displays generality in terms of capabilities and potential applications,ai:Model,sc,,,,,EU AI Act,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
MachineLearningModel,Machine Learning Model,Mathematical construct that generates an inference or prediction based on input data or information,ai:Model,sc,,,,,ISO/IEC 22989:2022 3.3.7,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TrainedModel,Trained Model,Model resulted from model training,ai:Model,sc,,,,,"ISO/IEC 22989:2022 3.1.29, ISO 8373:2021 3.7",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
LLM,Large Language Model (LLM) ,Deep learning model that uses artificial neural networks trained on vast amounts of data to understand and generate natural language and other types of content to perform a wide range of tasks,ai:Model,sc,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
MachineLearningPlatform,Machine Learning Platform,"Technology platform for developing, deploying, and managing machine learning models and resources",tech:Platform,dpv:Technology,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
Proposed for v2.2,,,,,,,,,,,,,,
MultiAgentSystem,,,,,,,,,,,,,,
