Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Technique,,,,,,,,,,,,,,
TrainingTechnique,Training Technique,Process to determine or to improve the parameters of a machine learning model based on a machine learning algorithm by using training data,dpv:Use,dpv:Processing,,,,,ISO/IEC 22989:2022 3.3.15,2025-07-31,,accepted,,,,,,,,,,,,,,,,,,,
MachineLearning,Machine Learning,"Process of optimising model parameters through computational techniques, such that the model's behaviour reflects the data or experience",,ai:Technique,,,,,ISO/IEC 22989:2022 3.3.5,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
FrugalMachineLearning,Frugal Machine Learning,"Machine learning techniques that aim to make models more efficient, cost-effective, and accessible while maintaining or even improving their performance",ai:MachineLearning,ai:TrainingTechnique,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DeepLearning,Deep Learning,Approach to creating rich hierarchical representations through the training of neural networks with many hidden layers,ai:MachineLearning,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.4.4,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
TransferLearning,TransferLearning,a technique in machine learning in which knowledge learned from a task is re-used in order to boost performance on a related task,ai:DeepLearning,ai:TrainingTechnique,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ReinforcementLearning,Reinforcement Learning,Learning of an optimal sequence of actions to maximise a reward through interaction with an environment,ai:MachineLearning,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.3.9,2025-07-31,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SemiSupervisedLearning,Semi Supervised Learning,Machine learning that makes use of both labelled and unlabelled data during training,ai:MachineLearning,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.3.11,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SupervisedLearning,Supervised Learning,Machine learning that makes only use of labelled data during training,ai:MachineLearning,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.3.11,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
UnsupervisedLearning,Unsupervised Learning,Machine learning that makes only use of unlabelled data during training,ai:MachineLearning,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.3.17,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SelfSupervisedLearning,Self-Supervised Learning ,"Machine learning approach that uses unsupervised learning for tasks that typically require supervision, generating implicit labels from unstructured data, where models are trained on a task using the data itself to provide supervisory signals, often used in neural networks to exploit inherent structures or relationships within input data to generate training signals",ai:MachineLearning,ai:TrainingTechnique,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DecisionTree,Decision Tree,Technique for which inference is encoded as paths from the root to a leaf node in a tree structure,ai:MachineLearning,ai:Technique,,,,,ISO/IEC 22989:2022 3.3.2,2025-07-31,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
GeneticAlgorithm,Genetic Algorithm,Algorithm which simulates natural selection by creating and evolving a population of individuals (solutions) for optimization problems,ai:MachineLearning,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.1.15,2025-07-31,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SupportVectorMachine,Support Vector Machine,A machine learning algorithm that finds decision boundaries with maximal margins,ai:MachineLearning,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.3.13,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,
NeuralNetwork,Neural Network,"Network of one or more layers of neurons connected by weighted links with adjustable weights, which takes input data and produces an output",ai:MachineLearning,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.4.8,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,
FeedForwardNeuralNetwork,Feed Forward Neural Network,Neural network where information is fed from the input layer to the output layer in one direction only,ai:NeuralNetwork,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.4.6,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,
ConvolutionalNeuralNetwork,Convolutional Neural Network (CNN),Feed forward neural network using convolution in at least one of its layers,ai:NeuralNetwork,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.4.2,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,
RecurrentNeuralNetwork,Recurrent Neural Network (RNN),Neural network in which outputs from both the previous layer and the previous processing step are fed into the current layer,ai:NeuralNetwork,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.4.10,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,
LongShortTermMemory,Long Short-Term Memory (LSTM),Type of recurrent neural network that processes sequential data with a satisfactory performance for both long and short span dependencies,ai:NeuralNetwork,ai:TrainingTechnique,,,,,ISO/IEC 22989:2022 3.4.7,2024-12-01,2025-07-31,modified,Delaram Golpayegani,,,,,,,,,,,,,,
ReasoningTechnique,Reasoning Technique,Refers to reasoning techniques,,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
StatisticalTechnique,Statistical Technique,Refers to techniques that are based on statistics,,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
