Term,Label,Definition,ParentTerm,ParentType,RelatedTerms,Relation,Source,Usage,Created,Modified,Contributors,Status,AIActRiskLevel,,,,,,,,,,,,,,,,,,
Annex I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HighRiskAISystem-A6-1,High Risk AI System per Article 6(1),"
High-risk AI system according to Article 6(1) of the AI Act which refers to sectorial laws in Annex I",eu-aiact:HighRiskAISystem,sc,,,AIA(Art.6(1)),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-1,High-Risk AI System - Annex I(1) ,"High-risk AI system according to Annex I, point 1: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by Directive 2006/42/EC of the European Parliament and of the Council of 17 May 2006 on machinery, and amending Directive 95/16/EC (OJ L 157, 9.6.2006, p. 24) ","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-2,High-Risk AI System - Annex I(2) ,"High-risk AI system according to Annex I, point 2: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by Directive 2009/48/EC of the European Parliament and of the Council of 18 June 2009 on the safety of toys (OJ L 170, 30.6.2009, p. 1) 
","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-3,High-Risk AI System - Annex I(3),"High-risk AI system according to Annex I, point 3: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by Directive 2013/53/EU of the European Parliament and of the Council of 20 November 2013 on recreational craft and personal watercraft and repealing Directive 94/25/EC (OJ L 354, 28.12.2013, p. 90); 
","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-4,High-Risk AI System - Annex I(4),"High-risk AI system according to Annex I, point 4: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by Directive 2014/33/EU of the European Parliament and of the Council of 26 February 2014 on the harmonisation of the laws of the Member States relating to lifts and safety components for lifts (OJ L 96, 29.3.2014, p. 251)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-5,High-Risk AI System - Annex I(5),"High-risk AI system according to Annex I, point 5: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by Directive 2014/34/EU of the European Parliament and of the Council of 26 February 2014 on the harmonisation of the laws of the Member States relating to equipment and protective systems intended for use in potentially explosive atmospheres (OJ L 96, 29.3.2014, p. 309); 
","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-6,High-Risk AI System - Annex I(6),"High-risk AI system according to Annex I, point 6: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by Directive 2014/53/EU of the European Parliament and of the Council of 16 April 2014 on the harmonisation of the laws of the Member States relating to the making available on the market of radio equipment and repealing Directive 1999/5/EC (OJ L 153, 22.5.2014, p. 62)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-7,High-Risk AI System - Annex I(7),"High-risk AI system according to Annex I, point 7: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by  Directive 2014/68/EU of the European Parliament and of the Council of 15 May 2014 on the harmonisation of the laws of the Member States relating to the making available on the market of pressure equipment (OJ L 189, 27.6.2014, p. 164)","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
HighRiskAISystem-AnnexI-8,High-Risk AI System - Annex I(8),"High-risk AI system according to Annex I, point 8: AI system that is intended to be used as a safety component of a product, or the AI system is itself a product, covered by Regulation (EU) 2016/424 of the European Parliament and of the Council of 9 March 2016 on cableway installations and repealing Directive 2000/9/EC (OJ L 81, 31.3.2016, p. 1) 
","eu-aiact:HighRiskAISystem-A6-1
",eu-aiact:HighRiskAISystem,,,AIA(Anx.I),,2026-02-09,,"Delaram Golpayegani, Harshvardhan J. Pandit",accepted,RiskLevelHigh-A6-1,,,,,,,,,,,,,,,,,,
