Term,Label,Definition,ParentTerm,ParentType,RelatedTerms,Relation,Source,Usage,Created,Contributors,Status,AIActRiskLevel,,,,,,,,,,,,,,,
ProhibitedAISystem-A5-1-a, Prohibited AI System - Article 5(1a),"Prohibited AI system according to Article 5(1a) of the AI Act, indicating an AI system that deploys subliminal techniques beyond a person’s consciousness or purposefully manipulative or deceptive techniques, with the objective, or the effect of materially distorting the behaviour of a person or a group of persons by appreciably impairing their ability to make an informed decision, thereby causing them to take a decision that they would not have otherwise taken in a manner that causes or is reasonably likely to cause that person, another person or group of persons significant harm. ",,eu-aiact:ProhibitedAISystem,,,AIA(Art.5(1a)),,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
ProhibitedAISystem-A5-1-b, Prohibited AI System - Article 5(1b) ,"Prohibited AI system according to Article 5(1b) of the AI Act, indicating an AI system that exploits any of the vulnerabilities of a natural person or a specific group of persons due to their age, disability or a specific social or economic situation, with the objective, or the effect, of materially distorting the behaviour of that person or a person belonging to that group in a manner that causes or is reasonably likely to cause that person or another person significant harm. ",,eu-aiact:ProhibitedAISystem,,,AIA(Art.5(1b)),,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
ProhibitedAISystem-A5-1-c, Prohibited AI System - Article 5(1c),"Prohibited AI system according to Article 5(1c) of the AI Act, indicating AI systems that evaluate or classify of natural persons or groups of persons over a certain period of time based on their social behaviour or known, inferred or predicted personal or personality characteristics, with the social score leading to either or both of the following:  (i) detrimental or unfavourable treatment of certain natural persons or groups of persons in social contexts that are unrelated to the contexts in which the data was originally generated or collected; (ii) detrimental or unfavourable treatment of certain natural persons or groups of persons that is unjustified or disproportionate to their social behaviour or its gravity;",,eu-aiact:ProhibitedAISystem,,,AIA(Art.5(1c)),,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
ProhibitedAISystem-A5-1-d, Prohibited AI System -  Article 5(1d),"Prohibited AI system according to Article 5(1d) of the AI Act, indicating AI system used for making risk assessments of natural persons in order to assess or predict the risk of a natural person committing a criminal offence, based solely on the profiling of a natural person or on assessing their personality traits and characteristics; this prohibition shall not apply to AI systems used to support the human assessment of the involvement of a person in a criminal activity, which is already based on objective and verifiable facts directly linked to a criminal activity ",,eu-aiact:ProhibitedAISystem,,,AIA(Art.5(1d)),,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
ProhibitedAISystem-A5-1-e,Prohibited AI System - Article 5(1e),"Prohibited AI system according to Article 5(1e) of the AI Act, indicating AI systems that create or expand facial recognition databases through the untargeted scraping of facial images from the internet or CCTV footage ",,eu-aiact:ProhibitedAISystem,,,AIA(Art.5(1e)),,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
ProhibitedAISystem-A5-1-f,Prohibited AI System - Article 5(1f),"Prohibited AI system according to Article 5(1f) of the AI Act, indicating  AI systems that infer emotions of a natural person in the areas of workplace and education institutions, except where the use of the AI system is
intended to be put in place or into the market for medical or safety reasons",,eu-aiact:ProhibitedAISystem,,,AIA(Art.5(1f)),,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
ProhibitedAISystem-A5-1-g, Prohibited AI System - Article 5(1g),"Prohibited AI system / risk level according to Article 5(1g) of the AI Act, indicating biometric categorisation systems that categorise individually natural persons based on their biometric data to deduce or infer their race, political
opinions, trade union membership, religious or philosophical beliefs, sex life or sexual orientation; this prohibition does
not cover any labelling or filtering of lawfully acquired biometric datasets, such as images, based on biometric data or
categorizing of biometric data in the area of law enforcement. ",,eu-aiact:ProhibitedAISystem,,,AIA(Art.5(1g)),,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
ProhibitedAISystem-A5-1-h, Prohibited AI System - Article 5(1h),"Prohibited AI system according to Article 5(1h) of the AI Act,  the use of ‘real-time’ remote biometric identification systems in publicly accessible spaces for the purposes of law enforcement, unless and in so far as such use is strictly necessary for one of the following objectives:
(i) the targeted search for specific victims of abduction, trafficking in human beings or sexual exploitation of human
beings, as well as the search for missing persons;
(ii) the prevention of a specific, substantial and imminent threat to the life or physical safety of natural persons or
a genuine and present or genuine and foreseeable threat of a terrorist attack;
(iii) the localisation or identification of a person suspected of having committed a criminal offence, for the purpose of
conducting a criminal investigation or prosecution or executing a criminal penalty for offences referred to in
Annex II and punishable in the Member State concerned by a custodial sentence or a detention order for
a maximum period of at least four years.",,eu-aiact:ProhibitedAISystem,,,AIA(Art.5(1h)),,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
,,,,,,,,,2026-02-09,Delaram Golpayegani,accepted,RiskLevelProhibited,,,,,,,,,,,,,,,
ProhibitionExemptedAISystem-A5-1-h-i, Prohibition Exempted  AI System - Article 5(1hi),"AI system used for ‘real-time’ remote biometric identification systems in publicly accessible spaces for the purposes of law enforcement, unless and in so far as such use is strictly necessary for the targeted search for specific victims of abduction, trafficking in human beings or sexual exploitation of human beings, as well as the search for missing persons;",,eu-aiact:ProhibitionExemptedAISystem,,,AIA(Art.5(1hi)),,2026-02-09,Delaram Golpayegani,proposed,RiskLevelPermitted,,,,,,,,,,,,,,,
