Term,Label,Definition,ParentTerm,ParentType,RelatedTerms,Relation,Source,Usage,Created,Contributors,Status,,,,,,,,,,,,,,,,
RiskLevel,Risk Level,Enumeration of AI Act's risk-based categorisation which determines the prohibitions and obligations for AI systems,dpv:RiskLevel,sc,,,AI Act,,2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
RiskLevelProhibited,Risk Level - Prohibited,"Risk Level prohibiting ""AI practices"" as defined in the AI Act",,eu-aiact:RiskLevel,,,AIA(Art.5),,2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
RiskLevelPermitted,Risk Level - Permitted,"Concept representing ""AI practices"" are permitted i.e. not prohibited under the AI Act",,eu-aiact:RiskLevel,,,,The permitted risk level is useful for representing outcomes of assessments determining whether something is prohibited,2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
RiskLevelHigh,Risk Level - High,"Risk Level categorising an AI system as ""high-risk"" as defined in the AI Act",eu-aiact:RiskLevelPermitted,eu-aiact:RiskLevel,,,AIA(Art.6),,2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
RiskLevelHighAnnexI,Risk Level - High per Annex I,"Risk Level categorising an AI system as ""high-risk"" as defined in the AI Act Annex I",eu-aiact:RiskLevelHigh,eu-aiact:RiskLevel,,,AIA(Anx.I),,2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
RiskLevelHighAnnexIII,Risk Level - High per Annex III,"Risk Level categorising an AI system as ""high-risk"" as defined in the AI Act Annex III",eu-aiact:RiskLevelHigh,eu-aiact:RiskLevel,,,AIA(Anx.III),,2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
RiskLevelNotHigh,Risk Level - Not High,"Risk Level categorising an AI system as not being ""high-risk"" as defined in the AI Act",eu-aiact:RiskLevelPermitted,eu-aiact:RiskLevel,,,,"The ""not high"" risk level is useful for indicating the outcomes of assessments determining whether something is high-risk",2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
RiskLevelTransparencyRequired,Risk Level - Transparency Required,Risk Level categorising an AI system as not high-risk but where transparency is require as defined in the AI Act,eu-aiact:RiskLevelNotHigh,eu-aiact:RiskLevel,,,AIA(Art.50),,2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
RiskLevelMinimal,Risk Level - Minimal,Risk Level categorising an AI system as not being prohibited or high-risk or transparency required as defined in the AI Act,eu-aiact:RiskLevelNotHigh,eu-aiact:RiskLevel,,,,"The minimal risk level does not indicate there is no risk, but instead indicates that it is not sufficient to be regulated under the categorisations of the AI Act",2025-04-03,"Delaram Golpayegani, Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",accepted,,,,,,,,,,,,,,,,
"note: scope of AI Act is a separate concept, and should not be mixed with risk levels. Scope is what determines whether something is subject to being regulated under the Act. Risk Level then indicates to what degree or for which obligations.",,,,,,,,,,,,,,,,,,,,,,,,,,,
