Term,Label,Definition,ParentTerm,ParentType,RelatedTerms,Relation,Source,Usage,Created,Contributors,Status,,,,,,,,,,,,,,,,
statuses,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Status of the AI system (on the market, or in service; no longer placed on the market/inservice, recalled); - ANNEX VIII (6)",,,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
MarketPlacementStatus,Market Placement Status,Status associated with whether the AI system or GPAI Model has been 'first' made available on the market,tech:MarketAvailabilityStatus,sc,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
PlacedOnMarket,Placed on Market,Status indicating the first making available of an AI system or a general purpose AI model on the market,,eu-aiact:MarketPlacementStatus,,,AIA (Art. 3(9)),,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
PlacedOnEUMarket,Placed on EU Market,Status indicating the first making available of an AI system or a general purpose AI model on the Union market,eu-aiact:PlacedOnMarket,eu-aiact:MarketPlacementStatus,,,AIA (Art. 3(9)),,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
MarketAvailabilityStatus,Market Availability Status,Status associated with whether the AI system or GPAI Model is available for distribution or use on the market in the course of a commercial activity,tech:MarketAvailabilityStatus,sc,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AvailableOnMarket,Available on Market,"Status associated with supply of an AI system or a general purpose AI model for distribution or use on the market in the course of a commercial activity, whether in return for payment or free of charge",,eu-aiact:MarketAvailabilityStatus,,,AIA (Art. 3(10)),,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AvailableOnEUMarket,Available on EU Market,"Status associated with supply of an AI system or a general purpose AI model for distribution or use on the Union market in the course of a commercial activity, whether in return for payment or free of charge",eu-aiact:AvailableOnMarket,eu-aiact:MarketAvailabilityStatus,,,AIA (Art. 3(10)),,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AvailableOnNonEUMarket,Available on Non-EU Market,"Status associated with supply of an AI system or a general purpose AI model for distribution or use on any market except the Union market in the course of a commercial activity, whether in return for payment or free of charge",eu-aiact:AvailableOnMarket,eu-aiact:MarketAvailabilityStatus,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
NotAvailableOnMarket,Not Available on Market,not available on a market anywhere in EU or otherwise,,eu-aiact:MarketAvailabilityStatus,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
ServiceSupplyStatus,Service Supply Status,Status associated with whether the AI system has been supplied for use or put in to service or been recalled or withdrawn,tech:ProvisionStatus,sc,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
PutIntoService,Put in to Service,Status associated with the supply of an AI system for first use directly to the deployer or for own use for its intended purpose,,eu-aiact:ServiceSupplyStatus,,,AIA (Art. 3(11)),,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
NotPutIntoService,Not Put in to Service,Status associated with an AI system that has not been put into service,,eu-aiact:ServiceSupplyStatus,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
PutIntoServiceInEU,Put in to Service In EU,Status associated with the supply of an AI system for first use directly to the deployer or for own use in the Union for its intended purpose,eu-aiact:PutIntoService,eu-aiact:ServiceSupplyStatus,,,AIA (Art. 3(11)),,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
RecalledFromService,Recalled from Service,An AI System that is returned to the provider or taken out of service or use,,eu-aiact:ServiceSupplyStatus,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
WithdrawnFromService,Withdrawn from Service,An AI System that is prevented to be made available in the supply chain,,eu-aiact:ServiceSupplyStatus,,,,,2024-05-17,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChangeDescription,Change Description,A description of the change associated with the AI System,dpv:Context,sc,,,,,2024-12-01,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
